,Effective Federal Funds Rate: Month Average
Region,United States
Subnational,
Frequency,Monthly
Unit,% pa
Source,Federal Reserve Board
Status,Active
Series ID,42590301 (UMAA)
SR Code,SR660520
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,07/1954
Last Obs. Date,09/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
Mean,4.5999896972924175
Variance,12.938635686038708
Standard Deviation,3.5970315102927173
Skewness,1.058908557857558
Kurtosis,1.5594918692979096
Coefficient Variation,0.7819651231849394
Min,0.04863636
Max,19.06545455
Median,4.1695
No. of Obs,831
07/1954,0.75142857
08/1954,1.20772727
09/1954,1.0395
10/1954,0.8455
11/1954,0.82842105
12/1954,1.28863636
01/1955,1.36809524
02/1955,1.25157895
03/1955,1.30863636
04/1955,1.39809524
05/1955,1.40047619
06/1955,1.64904762
07/1955,1.678
08/1955,1.94130435
09/1955,2.17095238
10/1955,2.241
11/1955,2.34894737
12/1955,2.4725
01/1956,2.43190476
02/1956,2.49684211
03/1956,2.49714286
04/1956,2.6047619
05/1956,2.75
06/1956,2.69047619
07/1956,2.74428571
08/1956,2.70695652
09/1956,2.92105263
10/1956,2.95545455
11/1956,2.82
12/1956,2.90473684
01/1957,2.785
02/1957,3
03/1957,2.94952381
04/1957,3
05/1957,3
06/1957,3
07/1957,2.98636364
08/1957,3.23954545
09/1957,3.45
10/1957,3.5
11/1957,3.23611111
12/1957,2.97619048
01/1958,2.62545455
02/1958,1.51368421
03/1958,1.24428571
04/1958,1.28
05/1958,0.59095238
06/1958,0.926
07/1958,0.62090909
08/1958,1.50714286
09/1958,1.69095238
10/1958,1.73434783
11/1958,2.25
12/1958,2.39333333
01/1959,2.48238095
02/1959,2.39473684
03/1959,2.75714286
04/1959,2.94318182
05/1959,2.82142857
06/1959,3.35227273
07/1959,3.45652174
08/1959,3.5
09/1959,3.72619048
10/1959,3.97727273
11/1959,4
12/1959,3.98863636
01/1960,3.9875
02/1960,3.94736842
03/1960,3.7826087
04/1960,3.88095238
05/1960,3.8452381
06/1960,3.20454545
07/1960,3.1375
08/1960,2.92391304
09/1960,2.54761905
10/1960,2.4
11/1960,2.3625
12/1960,1.9375
01/1961,1.30380952
02/1961,2.61842105
03/1961,1.98913043
04/1961,1.4375
05/1961,2.02272727
06/1961,1.625
07/1961,1.175
08/1961,2.04347826
09/1961,1.9625
10/1961,2.25
11/1961,2.55
12/1961,2.275
01/1962,2.02272727
02/1962,2.38888889
03/1962,2.85227273
04/1962,2.79761905
05/1962,2.43181818
06/1962,2.70238095
07/1962,2.69047619
08/1962,2.94565217
09/1962,2.89473684
10/1962,2.91
11/1962,2.94210526
12/1962,2.91631579
01/1963,2.89272727
02/1963,3
03/1963,2.97666667
04/1963,2.86952381
05/1963,3
06/1963,2.9875
07/1963,2.96636364
08/1963,3.48363636
09/1963,3.469
10/1963,3.49478261
11/1963,3.47058824
12/1963,3.32761905
01/1964,3.48863636
02/1964,3.47368421
03/1964,3.39818182
04/1964,3.45545455
05/1964,3.49428571
06/1964,3.5
07/1964,3.39130435
08/1964,3.5
09/1964,3.42857143
10/1964,3.29190476
11/1964,3.515
12/1964,3.80681818
01/1965,3.85
02/1965,3.95888889
03/1965,4.03956522
04/1965,4.08863636
05/1965,4.0845
06/1965,4.01545455
07/1965,4.0747619
08/1965,4.11818182
09/1965,3.95619048
10/1965,4.05714286
11/1965,4.092
12/1965,4.26909091
01/1966,4.32428571
02/1966,4.58947368
03/1966,4.64391304
04/1966,4.64380952
05/1966,4.83571429
06/1966,5.13227273
07/1966,5.176
08/1966,5.4473913
09/1966,5.31095238
10/1966,5.4625
11/1966,5.7375
12/1966,5.39285714
01/1967,4.86904762
02/1967,4.98611111
03/1967,4.5
04/1967,4.0315
05/1967,3.92681818
06/1967,3.96681818
07/1967,3.7815
08/1967,3.88173913
09/1967,3.9945
10/1967,3.87095238
11/1967,4.139
12/1967,4.496
01/1968,4.60454545
02/1968,4.68578947
03/1968,5.01904762
04/1968,5.73952381
05/1968,6.09318182
06/1968,6.083
07/1968,6.03636364
08/1968,6.03090909
09/1968,5.7515
10/1968,5.90434783
11/1968,5.71
12/1968,5.90809524
01/1969,6.30909091
02/1969,6.557
03/1969,6.72904762
04/1969,7.36
05/1969,8.47714286
06/1969,8.61428571
07/1969,8.455
08/1969,9.01190476
09/1969,9.05952381
10/1969,8.80681818
11/1969,8.72058824
12/1969,8.85818182
01/1970,8.95904762
02/1970,8.97421053
03/1970,7.71045455
04/1970,8.08590909
05/1970,7.85904762
06/1970,7.54045455
07/1970,7.12608696
08/1970,6.62142857
09/1970,6.26380952
10/1970,6.17863636
11/1970,5.58684211
12/1970,4.84772727
01/1971,4.2955
02/1971,3.66111111
03/1971,3.70869565
04/1971,4.16636364
05/1971,4.659
06/1971,4.91181818
07/1971,5.3
08/1971,5.57045455
09/1971,5.52285714
10/1971,5.20578947
11/1971,4.8895
12/1971,4.08826087
01/1972,3.54380952
02/1972,3.2955
03/1972,3.84478261
04/1972,4.1695
05/1972,4.26409091
06/1972,4.46818182
07/1972,4.5195
08/1972,4.82434783
09/1972,4.825
10/1972,5.0805
11/1972,5.047
12/1972,5.326
01/1973,5.95545455
02/1973,6.53736842
03/1973,7.04090909
04/1973,7.12238095
05/1973,7.81818182
06/1973,8.49285714
07/1973,10.43238095
08/1973,10.45
09/1973,10.71263158
10/1973,9.96761905
11/1973,10.09190476
12/1973,9.87
01/1974,9.62954545
02/1974,8.96315789
03/1974,9.33571429
04/1974,10.48227273
05/1974,11.26454545
06/1974,11.8555
07/1974,12.87954545
08/1974,11.97363636
09/1974,11.305
10/1974,10.05727273
11/1974,9.42578947
12/1974,8.42619048
01/1975,7.18590909
02/1975,6.19631579
03/1975,5.45619048
04/1975,5.51909091
05/1975,5.22666667
06/1975,5.52809524
07/1975,6.08227273
08/1975,6.12571429
09/1975,6.2247619
10/1975,5.815
11/1975,5.15277778
12/1975,5.19636364
01/1976,4.83761905
02/1976,4.75526316
03/1976,4.83826087
04/1976,4.83727273
