,Policy Rate: Month End: Effective Federal Funds Rate
Region,United States
Subnational,
Frequency,Monthly
Unit,% pa
Source,Federal Reserve Board
Status,Active
Series ID,211485902 (UMADAAAAA)
SR Code,SR4003742
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,07/1954
Last Obs. Date,09/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
Mean,4.689290012033699
Variance,13.94912491699654
Standard Deviation,3.734852730295606
Skewness,1.0836549433562728
Kurtosis,1.6082204209083857
Coefficient Variation,0.7964644371986361
Min,0.04
Max,22
Median,4.18
No. of Obs,831
07/1954,0.25
08/1954,1.44
09/1954,1.44
10/1954,1.13
11/1954,1.38
12/1954,1.44
01/1955,1.44
02/1955,1.44
03/1955,1.44
04/1955,1.69
05/1955,1.69
06/1955,1.69
07/1955,1.75
08/1955,2
09/1955,2.19
10/1955,2.25
11/1955,2.44
12/1955,2.5
01/1956,2.5
02/1956,2.5
03/1956,2.5
04/1956,2.75
05/1956,2.75
06/1956,2.75
07/1956,2.69
08/1956,3
09/1956,3
10/1956,3
11/1956,3
12/1956,3
01/1957,3
02/1957,3
03/1957,2.94
04/1957,3
05/1957,3
06/1957,3
07/1957,2.88
08/1957,3.5
09/1957,3.5
10/1957,3.5
11/1957,3
12/1957,3
01/1958,1.5
02/1958,0.5
03/1958,0.5
04/1958,0.25
05/1958,0.13
06/1958,0.5
07/1958,0.38
08/1958,1.75
09/1958,1.5
10/1958,2
11/1958,2.5
12/1958,2.38
01/1959,2.5
02/1959,2.5
03/1959,3
04/1959,3
05/1959,3.25
06/1959,3
07/1959,3.5
08/1959,3.5
09/1959,3
10/1959,4
11/1959,4
12/1959,4
01/1960,4
02/1960,4
03/1960,4
04/1960,4
05/1960,3.5
06/1960,3.5
07/1960,3.25
08/1960,3
09/1960,3
10/1960,2.75
11/1960,0.25
12/1960,3
01/1961,2.25
02/1961,2
03/1961,2
04/1961,0.5
05/1961,1
06/1961,0.5
07/1961,2.5
08/1961,1.75
09/1961,1.5
10/1961,2
11/1961,1.75
12/1961,2.5
01/1962,1.5
02/1962,2.75
03/1962,2.75
04/1962,2.5
05/1962,2.75
06/1962,2.75
07/1962,2.75
08/1962,3
09/1962,2.75
10/1962,3
11/1962,2.88
12/1962,3
01/1963,3
02/1963,3
03/1963,3
04/1963,3
05/1963,3
06/1963,3
07/1963,3.5
08/1963,3.5
09/1963,3.5
10/1963,3.5
11/1963,3.5
12/1963,3.25
01/1964,3.5
02/1964,3.5
03/1964,3.5
04/1964,3.5
05/1964,3.5
06/1964,3.5
07/1964,3.5
08/1964,3.5
09/1964,2.75
10/1964,3.5
11/1964,4
12/1964,4
01/1965,4
02/1965,4
03/1965,4
04/1965,4.13
05/1965,4.13
06/1965,4.13
07/1965,4.13
08/1965,4
09/1965,4.13
10/1965,4.13
11/1965,4.13
12/1965,4.63
01/1966,4.5
02/1966,4.63
03/1966,4.75
04/1966,4.63
05/1966,4.75
06/1966,5.5
07/1966,5.75
08/1966,4.5
09/1966,5.75
10/1966,5.75
11/1966,5.75
12/1966,5
01/1967,4
02/1967,4.75
03/1967,4.5
04/1967,4
05/1967,4.13
06/1967,3.5
07/1967,3.75
08/1967,4
09/1967,3.75
10/1967,4.13
11/1967,4.5
12/1967,4.5
01/1968,4.75
02/1968,4.75
03/1968,5.25
04/1968,6.25
05/1968,6.13
06/1968,5.5
07/1968,6
08/1968,5.75
09/1968,5.5
10/1968,6
11/1968,6
12/1968,4
01/1969,6.38
02/1969,7
03/1969,6.25
04/1969,8
05/1969,9.38
06/1969,7.5
07/1969,8.75
08/1969,9.75
09/1969,8.5
10/1969,9
11/1969,9.25
12/1969,5
01/1970,9.38
02/1970,8.5
03/1970,7.5
04/1970,8.5
05/1970,7.88
06/1970,5.75
07/1970,6.75
08/1970,6.5
09/1970,5
10/1970,6.13
11/1970,5.5
12/1970,3
01/1971,4
02/1971,3.38
03/1971,4.5
04/1971,4.25
05/1971,4.88
06/1971,4.75
07/1971,5.5
08/1971,5.75
09/1971,5.38
10/1971,5.13
11/1971,4.25
12/1971,3
01/1972,3.13
02/1972,3.25
03/1972,4
04/1972,4.31
05/1972,4.75
06/1972,4.5
07/1972,4.5
08/1972,5.13
09/1972,4.88
10/1972,4.88
11/1972,5.19
12/1972,5.5
01/1973,6.5
02/1973,7.5
03/1973,7.38
04/1973,7.63
05/1973,8.13
06/1973,8.88
07/1973,11.22
08/1973,11.22
09/1973,10.82
10/1973,10.61
11/1973,10.34
12/1973,9.83
01/1974,9.31
02/1974,8.87
03/1974,9.95
04/1974,11
05/1974,11.64
06/1974,13.31
07/1974,12.06
08/1974,11.6
09/1974,11.11
10/1974,9.66
11/1974,9.47
12/1974,3.87
01/1975,6.76
02/1975,6.07
03/1975,5.39
04/1975,7.03
05/1975,5.23
06/1975,5.97
07/1975,6.23
08/1975,6.13
09/1975,6.22
10/1975,5.65
11/1975,5.29
12/1975,5.37
01/1976,4.84
02/1976,4.89
03/1976,5.07
04/1976,5.1
05/1976,5.67
06/1976,5.71
07/1976,5.32
08/1976,5.31
09/1976,5.31
10/1976,5.02
11/1976,4.69
12/1976,4.17
01/1977,4.65
02/1977,4.73
03/1977,4.72
04/1977,5.12
05/1977,5.47
06/1977,5.64
07/1977,5.86
08/1977,6.03
09/1977,6.46
10/1977,6.6
11/1977,6.56
12/1977,6.53
01/1978,6.79
02/1978,6.83
03/1978,6.97
04/1978,7.25
05/1978,7.43
06/1978,8.01
07/1978,8
08/1978,8.4
09/1978,8.9
10/1978,9.35
11/1978,9.94
12/1978,10.84
01/1979,10.57
02/1979,10.24
03/1979,10.07
04/1979,10.43
05/1979,10.31
06/1979,10.54
07/1979,10.81
08/1979,11.29
09/1979,12.16
10/1979,14.82
11/1979,13.96
12/1979,14.77
01/1980,13.4
02/1980,16.33
03/1980,19.85
04/1980,14.64
05/1980,11.06
06/1980,10.44
07/1980,9.93
08/1980,10.74
09/1980,13.19
10/1980,13.77
11/1980,18.56
12/1980,22
01/1981,17.25
