,Central Bank Policy Rate: End of Period
Region,Nigeria
Subnational,
Frequency,Monthly
Unit,% pa
Source,International Monetary Fund
Status,Active
Series ID,227294501
SR Code,SR2903452
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/2007
Last Obs. Date,04/2023
Last Update Time,05/07/2023
Series remarks,
Suggestions,
Mean,11.52423469387755
Variance,7.026653257456824
Standard Deviation,2.650783517652248
Skewness,-0.5275105543911305
Kurtosis,0.06866835800728843
Coefficient Variation,0.2300181823839914
Min,6
Max,18
Median,12
No. of Obs,196
01/2007,10
02/2007,10
03/2007,10
04/2007,10
05/2007,10
06/2007,8
07/2007,8
08/2007,8
09/2007,8
10/2007,9
11/2007,9
12/2007,9.5
01/2008,9.5
02/2008,9.5
03/2008,9.5
04/2008,10
05/2008,10
06/2008,10.25
07/2008,10.25
08/2008,10.25
09/2008,9.75
10/2008,9.75
11/2008,9.75
12/2008,9.75
01/2009,9.75
02/2009,9.75
03/2009,9.75
04/2009,8
05/2009,8
06/2009,8
07/2009,6
08/2009,6
09/2009,6
10/2009,6
11/2009,6
12/2009,6
01/2010,6
02/2010,6
03/2010,6
04/2010,6
05/2010,6
06/2010,6
07/2010,6
08/2010,6
09/2010,6.25
10/2010,6.25
11/2010,6.25
12/2010,6.25
01/2011,6.5
02/2011,6.5
03/2011,7.5
04/2011,7.5
05/2011,8
06/2011,8
07/2011,8.75
08/2011,8.75
09/2011,9.25
10/2011,12
11/2011,12
12/2011,12
01/2012,12
02/2012,12
03/2012,12
04/2012,12
05/2012,12
06/2012,12
07/2012,12
08/2012,12
09/2012,12
10/2012,12
11/2012,12
12/2012,12
01/2013,12
02/2013,12
03/2013,12
04/2013,12
05/2013,12
06/2013,12
07/2013,12
08/2013,12
09/2013,12
10/2013,12
11/2013,12
12/2013,12
01/2014,12
02/2014,12
03/2014,12
04/2014,12
05/2014,12
06/2014,12
07/2014,12
08/2014,12
09/2014,12
10/2014,12
11/2014,13
12/2014,13
01/2015,13
02/2015,13
03/2015,13
04/2015,13
05/2015,13
06/2015,13
07/2015,13
08/2015,13
09/2015,13
10/2015,13
11/2015,11
12/2015,11
01/2016,11
02/2016,11
03/2016,12
04/2016,12
05/2016,12
06/2016,12
07/2016,14
08/2016,14
09/2016,14
10/2016,14
11/2016,14
12/2016,14
01/2017,14
02/2017,14
03/2017,14
04/2017,14
05/2017,14
06/2017,14
07/2017,14
08/2017,14
09/2017,14
10/2017,14
11/2017,14
12/2017,14
01/2018,14
02/2018,14
03/2018,14
04/2018,14
05/2018,14
06/2018,14
07/2018,14
08/2018,14
09/2018,14
10/2018,14
11/2018,14
12/2018,14
01/2019,14
02/2019,14
03/2019,13.5
04/2019,13.5
05/2019,13.5
06/2019,13.5
07/2019,13.5
08/2019,13.5
09/2019,13.5
10/2019,13.5
11/2019,13.5
12/2019,13.5
01/2020,13.5
02/2020,13.5
03/2020,13.5
04/2020,13.5
05/2020,12.5
06/2020,12.5
07/2020,12.5
08/2020,12.5
09/2020,11.5
10/2020,11.5
11/2020,11.5
12/2020,11.5
01/2021,11.5
02/2021,11.5
03/2021,11.5
04/2021,11.5
05/2021,11.5
06/2021,11.5
07/2021,11.5
08/2021,11.5
09/2021,11.5
10/2021,11.5
11/2021,11.5
12/2021,11.5
01/2022,11.5
02/2022,11.5
03/2022,11.5
04/2022,11.5
05/2022,13
06/2022,13
07/2022,14
08/2022,14
09/2022,15.5
10/2022,15.5
11/2022,16.5
12/2022,16.5
01/2023,17.5
02/2023,17.5
03/2023,18
04/2023,18
