,Central Bank Policy Rate: End of Period
Region,Poland
Subnational,
Frequency,Monthly
Unit,% pa
Source,International Monetary Fund
Status,Active
Series ID,230605201
SR Code,SR3326113
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/1998
Last Obs. Date,08/2022
Last Update Time,10/10/2022
Series remarks,
Suggestions,
Mean,5.65945945945946
Variance,29.816333944113637
Standard Deviation,5.460433494157185
Skewness,1.5990464663433104
Kurtosis,1.695472847616228
Coefficient Variation,0.9648330433802093
Min,0.1
Max,24
Median,4
No. of Obs,296
01/1998,23.5
02/1998,24
03/1998,24
04/1998,23
05/1998,21.5
06/1998,21.5
07/1998,19
08/1998,19
09/1998,18
10/1998,17
11/1998,17
12/1998,15.5
01/1999,13
02/1999,13
03/1999,13
04/1999,13
05/1999,13
06/1999,13
07/1999,13
08/1999,13
09/1999,14
10/1999,14
11/1999,16.5
12/1999,16.5
01/2000,16.5
02/2000,17.5
03/2000,17.5
04/2000,17.5
05/2000,17.5
06/2000,17.5
07/2000,17.5
08/2000,19
09/2000,19
10/2000,19
11/2000,19
12/2000,19
01/2001,19
02/2001,19
03/2001,17
04/2001,17
05/2001,17
06/2001,15.5
07/2001,15.5
08/2001,14.5
09/2001,14.5
10/2001,13
11/2001,11.5
12/2001,11.5
01/2002,10
02/2002,10
03/2002,10
04/2002,9.5
05/2002,9
06/2002,8.5
07/2002,8.5
08/2002,8
09/2002,7.5
10/2002,7
11/2002,6.75
12/2002,6.75
01/2003,6.5
02/2003,6.25
03/2003,6
04/2003,5.75
05/2003,5.5
06/2003,5.25
07/2003,5.25
08/2003,5.25
09/2003,5.25
10/2003,5.25
11/2003,5.25
12/2003,5.25
01/2004,5.25
02/2004,5.25
03/2004,5.25
04/2004,5.25
05/2004,5.25
06/2004,5.25
07/2004,6
08/2004,6.5
09/2004,6.5
10/2004,6.5
11/2004,6.5
12/2004,6.5
01/2005,6.5
02/2005,6.5
03/2005,6
04/2005,5.5
05/2005,5.5
06/2005,5
07/2005,4.75
08/2005,4.75
09/2005,4.5
10/2005,4.5
11/2005,4.5
12/2005,4.5
01/2006,4.5
02/2006,4.25
03/2006,4
04/2006,4
05/2006,4
06/2006,4
07/2006,4
08/2006,4
09/2006,4
10/2006,4
11/2006,4
12/2006,4
01/2007,4
02/2007,4
03/2007,4
04/2007,4.25
05/2007,4.25
06/2007,4.5
07/2007,4.5
08/2007,4.75
09/2007,4.75
10/2007,4.75
11/2007,5
12/2007,5
01/2008,5.25
02/2008,5.5
03/2008,5.75
04/2008,5.75
05/2008,5.75
06/2008,6
07/2008,6
08/2008,6
09/2008,6
10/2008,6
11/2008,5.75
12/2008,5
01/2009,4.25
02/2009,4
03/2009,3.75
04/2009,3.75
05/2009,3.75
06/2009,3.5
07/2009,3.5
08/2009,3.5
09/2009,3.5
10/2009,3.5
11/2009,3.5
12/2009,3.5
01/2010,3.5
02/2010,3.5
03/2010,3.5
04/2010,3.5
05/2010,3.5
06/2010,3.5
07/2010,3.5
08/2010,3.5
09/2010,3.5
10/2010,3.5
11/2010,3.5
12/2010,3.5
01/2011,3.75
02/2011,3.75
03/2011,3.75
04/2011,4
05/2011,4.25
06/2011,4.5
07/2011,4.5
08/2011,4.5
09/2011,4.5
10/2011,4.5
11/2011,4.5
12/2011,4.5
01/2012,4.5
02/2012,4.5
03/2012,4.5
04/2012,4.5
05/2012,4.75
06/2012,4.75
07/2012,4.75
08/2012,4.75
09/2012,4.75
10/2012,4.75
11/2012,4.5
12/2012,4.25
01/2013,4
02/2013,3.75
03/2013,3.25
04/2013,3.25
05/2013,3
06/2013,2.75
07/2013,2.5
08/2013,2.5
09/2013,2.5
10/2013,2.5
11/2013,2.5
12/2013,2.5
01/2014,2.5
02/2014,2.5
03/2014,2.5
04/2014,2.5
05/2014,2.5
06/2014,2.5
07/2014,2.5
08/2014,2.5
09/2014,2.5
10/2014,2
11/2014,2
12/2014,2
01/2015,2
02/2015,2
03/2015,1.5
04/2015,1.5
05/2015,1.5
06/2015,1.5
07/2015,1.5
08/2015,1.5
09/2015,1.5
10/2015,1.5
11/2015,1.5
12/2015,1.5
01/2016,1.5
02/2016,1.5
03/2016,1.5
04/2016,1.5
05/2016,1.5
06/2016,1.5
07/2016,1.5
08/2016,1.5
09/2016,1.5
10/2016,1.5
11/2016,1.5
12/2016,1.5
01/2017,1.5
02/2017,1.5
03/2017,1.5
04/2017,1.5
05/2017,1.5
06/2017,1.5
07/2017,1.5
08/2017,1.5
09/2017,1.5
10/2017,1.5
11/2017,1.5
12/2017,1.5
01/2018,1.5
02/2018,1.5
03/2018,1.5
04/2018,1.5
05/2018,1.5
06/2018,1.5
07/2018,1.5
08/2018,1.5
09/2018,1.5
10/2018,1.5
11/2018,1.5
12/2018,1.5
01/2019,1.5
02/2019,1.5
03/2019,1.5
04/2019,1.5
05/2019,1.5
06/2019,1.5
07/2019,1.5
08/2019,1.5
09/2019,1.5
10/2019,1.5
11/2019,1.5
12/2019,1.5
01/2020,1.5
02/2020,1.5
03/2020,1
04/2020,0.5
05/2020,0.1
06/2020,0.1
07/2020,0.1
08/2020,0.1
09/2020,0.1
10/2020,0.1
11/2020,0.1
12/2020,0.1
01/2021,0.1
02/2021,0.1
03/2021,0.1
04/2021,0.1
05/2021,0.1
06/2021,0.1
07/2021,0.1
08/2021,0.1
09/2021,0.1
10/2021,0.5
11/2021,1.25
12/2021,1.75
01/2022,2.25
02/2022,2.75
03/2022,3.5
04/2022,4.5
05/2022,5.25
06/2022,6
07/2022,6.5
08/2022,6.5
