,Policy Rate: Month End: Repo Rate
Region,Romania
Subnational,
Frequency,Monthly
Unit,% pa
Source,National Bank of Romania
Status,Active
Series ID,139664908
SR Code,SR2347199
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/2003
Last Obs. Date,09/2023
Last Update Time,30/09/2023
Series remarks,
Suggestions,
Mean,6.478915662650603
Variance,27.639926642052075
Standard Deviation,5.257368794563691
Skewness,1.4114316655431185
Kurtosis,1.367152695414756
Coefficient Variation,0.8114581310065762
Min,1.25
Max,21.25
Median,5.25
No. of Obs,249
01/2003,19.25
02/2003,19
03/2003,18.5
04/2003,18.5
05/2003,18.25
06/2003,18.25
07/2003,18.25
08/2003,19.25
09/2003,19.25
10/2003,20.25
11/2003,21.25
12/2003,21.25
01/2004,21.25
02/2004,21.25
03/2004,21.25
04/2004,21.25
05/2004,21.25
06/2004,20.75
07/2004,20
08/2004,18.75
09/2004,18.75
10/2004,18.75
11/2004,17.75
12/2004,17
01/2005,16.5
02/2005,15.75
03/2005,14.5
04/2005,12.5
05/2005,12.5
06/2005,12.5
07/2005,12.5
08/2005,8.5
09/2005,7.5
10/2005,7.5
11/2005,7.5
12/2005,7.5
01/2006,7.5
02/2006,8.5
03/2006,8.5
04/2006,8.5
05/2006,8.5
06/2006,8.75
07/2006,8.75
08/2006,8.75
09/2006,8.75
10/2006,8.75
11/2006,8.75
12/2006,8.75
01/2007,8.75
02/2007,8
03/2007,7.5
04/2007,7.5
05/2007,7.25
06/2007,7
07/2007,7
08/2007,7
09/2007,7
10/2007,7
11/2007,7.5
12/2007,7.5
01/2008,8
02/2008,9
03/2008,9.5
04/2008,9.5
05/2008,9.75
06/2008,10
07/2008,10
08/2008,10.25
09/2008,10.25
10/2008,10.25
11/2008,10.25
12/2008,10.25
01/2009,10.25
02/2009,10
03/2009,10
04/2009,10
05/2009,9.5
06/2009,9.5
07/2009,9
08/2009,8.5
09/2009,8
10/2009,8
11/2009,8
12/2009,8
01/2010,7.5
02/2010,7
03/2010,6.5
04/2010,6.5
05/2010,6.25
06/2010,6.25
07/2010,6.25
08/2010,6.25
09/2010,6.25
10/2010,6.25
11/2010,6.25
12/2010,6.25
01/2011,6.25
02/2011,6.25
03/2011,6.25
04/2011,6.25
05/2011,6.25
06/2011,6.25
07/2011,6.25
08/2011,6.25
09/2011,6.25
10/2011,6.25
11/2011,6
12/2011,6
01/2012,5.75
02/2012,5.5
03/2012,5.25
04/2012,5.25
05/2012,5.25
06/2012,5.25
07/2012,5.25
08/2012,5.25
09/2012,5.25
10/2012,5.25
11/2012,5.25
12/2012,5.25
01/2013,5.25
02/2013,5.25
03/2013,5.25
04/2013,5.25
05/2013,5.25
06/2013,5.25
07/2013,5
08/2013,4.5
09/2013,4.5
10/2013,4.25
11/2013,4
12/2013,4
01/2014,3.75
02/2014,3.5
03/2014,3.5
04/2014,3.5
05/2014,3.5
06/2014,3.5
07/2014,3.5
08/2014,3.25
09/2014,3.25
10/2014,3
11/2014,2.75
12/2014,2.75
01/2015,2.5
02/2015,2.25
03/2015,2.25
04/2015,2
05/2015,1.75
06/2015,1.75
07/2015,1.75
08/2015,1.75
09/2015,1.75
10/2015,1.75
11/2015,1.75
12/2015,1.75
01/2016,1.75
02/2016,1.75
03/2016,1.75
04/2016,1.75
05/2016,1.75
06/2016,1.75
07/2016,1.75
08/2016,1.75
09/2016,1.75
10/2016,1.75
11/2016,1.75
12/2016,1.75
01/2017,1.75
02/2017,1.75
03/2017,1.75
04/2017,1.75
05/2017,1.75
06/2017,1.75
07/2017,1.75
08/2017,1.75
09/2017,1.75
10/2017,1.75
11/2017,1.75
12/2017,1.75
01/2018,2
02/2018,2.25
03/2018,2.25
04/2018,2.25
05/2018,2.5
06/2018,2.5
07/2018,2.5
08/2018,2.5
09/2018,2.5
10/2018,2.5
11/2018,2.5
12/2018,2.5
01/2019,2.5
02/2019,2.5
03/2019,2.5
04/2019,2.5
05/2019,2.5
06/2019,2.5
07/2019,2.5
08/2019,2.5
09/2019,2.5
10/2019,2.5
11/2019,2.5
12/2019,2.5
01/2020,2.5
02/2020,2.5
03/2020,2
04/2020,2
05/2020,2
06/2020,1.75
07/2020,1.75
08/2020,1.5
09/2020,1.5
10/2020,1.5
11/2020,1.5
12/2020,1.5
01/2021,1.25
02/2021,1.25
03/2021,1.25
04/2021,1.25
05/2021,1.25
06/2021,1.25
07/2021,1.25
08/2021,1.25
09/2021,1.25
10/2021,1.5
11/2021,1.75
12/2021,1.75
01/2022,2
02/2022,2.5
03/2022,2.5
04/2022,3
05/2022,3.75
06/2022,3.75
07/2022,4.75
08/2022,5.5
09/2022,5.5
10/2022,6.25
11/2022,6.75
12/2022,6.75
01/2023,7
02/2023,7
03/2023,7
04/2023,7
05/2023,7
06/2023,7
07/2023,7
08/2023,7
09/2023,7
