date,term_premium,risk_premium,stock_prices_mom_percent_change,stock_prices_mom24mma_percent_change,stock_market_volatility,current_account_balance_change_yryr_percent,current_account_balance_over_gdp,one_day_repo_rate_avg,one_day_repo_rate_eop,policy_rate_fed_funds_rate_differential_avg,policy_rate_fed_funds_rate_differential_eop,velocity_of_money_mo12m_percent_change,portfolio_flows,foreign_exchange_reserve_change_yryr_percent,fer_gdp_ma3,broad_money_mo12m_percent_change
1995-01-01,NA,NA,NA,NA,NA,70.6785793398804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-02-01,NA,NA,NA,NA,NA,59.8504582730342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-03-01,NA,NA,NA,NA,NA,56.6882148184983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-04-01,NA,NA,NA,NA,NA,77.6673866090713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-05-01,NA,NA,NA,NA,NA,-43.0259146341463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-06-01,NA,NA,NA,NA,NA,-14.3747708104144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-07-01,NA,NA,NA,NA,NA,-26.6751918158568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-08-01,NA,NA,NA,NA,NA,-45.4649542965097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-09-01,NA,NA,NA,NA,NA,-71.2921457805496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-10-01,NA,NA,NA,NA,NA,-117.617052286391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-11-01,NA,NA,NA,NA,NA,-262.044173472909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995-12-01,NA,NA,NA,NA,NA,725.438596491228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-01-01,NA,NA,NA,NA,NA,24.8712956954359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-02-01,NA,NA,NA,NA,NA,-69.8041464224281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-03-01,NA,NA,NA,NA,NA,-117.454776261504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996-04-01,NA,NA,NA,NA,NA,-165.299051787017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
