date,term_premium,risk_premium,stock_prices_mom_percent_change,stock_prices_mom24mma_percent_change,stock_market_volatility,reer,current_account_balance_change_yryr_percent,current_account_balance_over_gdp,one_day_repo_rate_avg,one_day_repo_rate_eop,policy_rate_fed_funds_rate_differential_avg,policy_rate_fed_funds_rate_differential_eop,velocity_of_money_mo12m_percent_change,portfolio_flows,foreign_exchange_reserve_change_yryr_percent,fer_gdp_ma3,broad_money_mo12m_percent_change
1995-01-01,NA,NA,NA,NA,NA,68.89740248,NA,NA,31,31,25.14,25.14,NA,NA,NA,NA,NA
1995-02-01,NA,NA,NA,NA,NA,69.26388526,NA,NA,31.857142857142858,34,25.75714285714286,27.9,NA,NA,NA,NA,NA
1995-03-01,NA,NA,NA,NA,NA,69.72677135,NA,NA,34,34,27.7,27.7,NA,NA,NA,NA,NA
1995-04-01,NA,NA,NA,NA,NA,69.55926813,NA,NA,34,34,27.4,27.4,NA,NA,NA,NA,NA
1995-05-01,NA,NA,NA,NA,NA,71.81545665,NA,NA,33.61290322580645,30,27.442903225806447,23.83,NA,NA,NA,NA,NA
1995-06-01,NA,NA,NA,NA,NA,73.69358682,NA,NA,30,30,23.89,23.89,NA,NA,NA,NA,NA
1995-07-01,NA,NA,NA,NA,NA,73.0705769,NA,NA,30,30,24.03,24.03,NA,NA,NA,NA,NA
1995-08-01,NA,NA,NA,NA,NA,73.67916908,NA,NA,30,30,24.07,24.07,NA,NA,NA,NA,NA
1995-09-01,NA,NA,NA,NA,NA,74.85140469,NA,NA,29.133333333333333,28,22.933333333333337,21.8,NA,NA,NA,NA,NA
1995-10-01,NA,NA,NA,NA,NA,75.05154437,NA,NA,28,28,22.03,22.03,NA,NA,NA,NA,NA
1995-11-01,NA,NA,NA,NA,NA,75.09160476,NA,NA,28,28,21.89,21.89,NA,NA,NA,NA,NA
1995-12-01,NA,NA,NA,NA,NA,75.82196301,NA,NA,28,28,23.27,23.27,NA,NA,NA,NA,NA
1996-01-01,NA,NA,NA,NA,NA,77.51041163,NA,NA,26.451612903225808,26,20.741612903225807,20.29,NA,NA,NA,NA,NA
1996-02-01,NA,NA,NA,NA,NA,77.59258708,NA,NA,26,26,19.95,19.95,NA,NA,NA,NA,NA
1996-03-01,NA,NA,NA,NA,NA,77.98038322,NA,NA,26,26,20.75,20.75,NA,NA,NA,NA,NA
1996-04-01,NA,NA,NA,NA,NA,78.78668333,NA,NA,26,26,20.5,20.5,NA,NA,NA,NA,NA
1996-05-01,NA,NA,NA,NA,NA,79.21991467,NA,NA,26,26,20.69,20.69,NA,NA,NA,NA,NA
1996-06-01,NA,NA,NA,NA,NA,78.56536908,NA,NA,26,26,21,21,NA,NA,NA,NA,NA
1996-07-01,NA,NA,NA,NA,NA,78.6168292,NA,NA,25.516129032258064,25,18.766129032258064,18.25,NA,NA,NA,NA,NA
1996-08-01,NA,NA,NA,NA,NA,78.30174731,NA,NA,25,25,19.72,19.72,NA,NA,NA,NA,NA
1996-09-01,NA,NA,NA,NA,NA,78.35355593,NA,NA,25,25,18.91,18.91,NA,NA,NA,NA,NA
1996-10-01,NA,NA,NA,NA,NA,78.75324503,NA,NA,25,25,19.37,19.37,NA,NA,NA,NA,NA
1996-11-01,NA,NA,NA,NA,NA,79.07992733,NA,NA,25,25,19.56,19.56,NA,NA,NA,NA,NA
1996-12-01,NA,NA,NA,NA,NA,80.25444374,NA,NA,25,25,18.74,18.74,NA,NA,NA,NA,NA
1997-01-01,NA,NA,NA,NA,NA,81.04032749,NA,NA,25,25,19.63,19.63,NA,NA,NA,NA,NA
1997-02-01,NA,NA,NA,NA,NA,82.1816146,NA,NA,25,25,19.5,19.5,NA,NA,NA,NA,NA
1997-03-01,NA,NA,NA,NA,NA,82.49972521,NA,NA,25,25,19.5,19.5,NA,NA,NA,NA,NA
1997-04-01,NA,NA,NA,NA,NA,82.36578864,NA,NA,25,25,19.18,19.18,NA,NA,NA,NA,NA
1997-05-01,NA,NA,NA,NA,NA,81.16469095,NA,NA,25,25,19.42,19.42,NA,NA,NA,NA,NA
1997-06-01,NA,NA,NA,NA,NA,81.40701138,NA,NA,25,25,18.13,18.13,NA,NA,NA,NA,NA
1997-07-01,NA,NA,NA,NA,NA,80.10054107,NA,NA,25,25,19.04,19.04,NA,NA,NA,NA,NA
1997-08-01,NA,NA,NA,NA,NA,80.62492209,NA,NA,26.806451612903224,27,21.286451612903225,21.48,NA,NA,NA,NA,NA
1997-09-01,NA,NA,NA,NA,NA,80.06415119,NA,NA,27,27,21.19,21.19,NA,NA,NA,NA,NA
1997-10-01,NA,NA,NA,NA,NA,80.28945325,NA,NA,27,27,21.44,21.44,NA,NA,NA,NA,NA
1997-11-01,NA,NA,NA,NA,NA,78.45715065,NA,NA,27,27,21.5,21.5,NA,NA,NA,NA,NA
1997-12-01,NA,NA,NA,NA,NA,80.84368667,NA,NA,27,27,21.16,21.16,NA,NA,NA,NA,NA
1998-01-01,NA,NA,NA,NA,NA,83.5926994,NA,NA,27,27,21.52,21.52,NA,NA,NA,NA,NA
1998-02-01,NA,NA,NA,NA,NA,84.74531505,NA,NA,26.77777777777778,24,21.107777777777777,18.33,NA,NA,NA,NA,NA
1998-03-01,NA,NA,NA,NA,NA,87.27074422,NA,NA,24,24,18.12,18.12,NA,NA,NA,NA,NA
1998-04-01,NA,NA,NA,NA,NA,88.23825632,NA,NA,23.714285714285715,23,18.124285714285715,17.41,NA,NA,NA,NA,NA
