,Bank Lending Rate: Daily: Hungary
Region,Hungary
Subnational,
Frequency,Monthly
Unit,% pa
Source,CEIC Data
Status,Active
Series ID,403687037
SR Code,SR197144647
Trade Code,
Mnemonic,
Function Description,AGGREGATE(Monthly; Last day of month; Avg; No)
First Obs. Date,01/2000
Last Obs. Date,09/2023
Last Update Time,11/10/2023
Series remarks,
Suggestions,
Mean,7.224369734588602
Variance,26.363128309485358
Standard Deviation,5.134503706249062
Skewness,0.9088188927156066
Kurtosis,1.3939376090082982
Coefficient Variation,0.7107199513427799
Min,0.9
Max,25
Median,7.09166666666667
No. of Obs,285
01/2000,15.1693548387097
02/2000,14.0258620689655
03/2000,13.6048387096774
04/2000,13.2
05/2000,13
06/2000,13
07/2000,13
08/2000,12.8064516129032
09/2000,12.75
10/2000,13.4274193548387
11/2000,13.75
12/2000,13.75
01/2001,13.5564516129032
02/2001,13.2857142857143
03/2001,13.25
04/2001,13.25
05/2001,13.25
06/2001,13.25
07/2001,13.25
08/2001,13.25
09/2001,13.075
10/2001,12.9435483870968
11/2001,12.45
12/2001,11.5725806451613
01/2002,10.8951612903226
02/2002,10.3214285714286
03/2002,10
04/2002,10
05/2002,10.1612903225806
06/2002,10.5
07/2002,10.8709677419355
08/2002,11
09/2002,10.5
10/2002,10.5
11/2002,10.3
12/2002,9.75806451612903
01/2003,9.46774193548387
02/2003,9.21428571428571
03/2003,7.5
04/2003,7.5
05/2003,7.5
06/2003,8.96666666666667
07/2003,10.5
08/2003,10.5
09/2003,10.5
10/2003,10.5
11/2003,10.8
12/2003,13.5
01/2004,13.5
02/2004,13.5
03/2004,13.4274193548387
04/2004,13.0416666666667
05/2004,12.5483870967742
06/2004,12.5
07/2004,12.5
08/2004,12.258064516129
09/2004,12
10/2004,11.7903225806452
11/2004,11.3666666666667
12/2004,10.8225806451613
01/2005,10.3870967741935
02/2005,9.8125
03/2005,9.21774193548387
04/2005,8.70833333333333
05/2005,8.43548387096774
06/2005,8.16666666666667
07/2005,7.89516129032258
08/2005,7.60483870967742
09/2005,7.15833333333333
10/2005,7
11/2005,7
12/2005,7
01/2006,7
02/2006,7
03/2006,7
04/2006,7
05/2006,7
06/2006,7.09166666666667
07/2006,7.36290322580645
08/2006,7.79838709677419
09/2006,8.33333333333333
10/2006,8.80645161290323
11/2006,9
12/2006,9
01/2007,9
02/2007,9
03/2007,9
04/2007,9
05/2007,9
06/2007,8.96666666666667
07/2007,8.75
08/2007,8.75
09/2007,8.7
10/2007,8.5
11/2007,8.5
12/2007,8.5
01/2008,8.5
02/2008,8.5
03/2008,8.5
04/2008,9.01666666666667
05/2008,9.29032258064516
06/2008,9.5
07/2008,9.5
08/2008,9.5
09/2008,9.5
10/2008,10.3064516129032
11/2008,11.9
12/2008,10.9838709677419
01/2009,10.3064516129032
02/2009,10
03/2009,10
04/2009,10
05/2009,10
06/2009,10
07/2009,9.87096774193548
08/2009,8.88709677419355
09/2009,8.46666666666667
10/2009,7.80645161290323
11/2009,7.5
12/2009,7.41935483870968
01/2010,7.20161290322581
02/2010,6.94642857142857
03/2010,6.73387096774194
04/2010,6.475
05/2010,6.25
06/2010,6.25
07/2010,6.25
08/2010,6.25
09/2010,6.25
10/2010,6.25
11/2010,6.25833333333333
12/2010,6.58870967741936
01/2011,6.80645161290323
02/2011,7
03/2011,7
04/2011,7
05/2011,7
06/2011,7
07/2011,7
08/2011,7
09/2011,7
10/2011,7
11/2011,7.01666666666667
12/2011,7.67741935483871
01/2012,8
02/2012,8
03/2012,8
04/2012,8
05/2012,8
06/2012,8
07/2012,8
08/2012,7.9758064516129
09/2012,7.70833333333333
10/2012,7.49193548387097
11/2012,7.225
12/2012,6.89516129032258
01/2013,6.73387096774194
02/2013,6.48214285714286
03/2013,6.20967741935484
04/2013,5.94166666666667
05/2013,5.7258064516129
06/2013,5.45833333333333
07/2013,5.18548387096774
08/2013,4.9741935483871
09/2013,4.76
10/2013,4.58709677419355
11/2013,4.37333333333334
12/2013,4.10967741935484
01/2014,3.9516129032258
02/2014,3.79642857142857
03/2014,3.68064516129032
04/2014,3.59666666666667
05/2014,3.48709677419355
06/2014,3.38
07/2014,3.24193548387097
08/2014,3.1
09/2014,3.1
10/2014,3.1
11/2014,3.1
12/2014,3.1
01/2015,3.1
02/2015,3.1
03/2015,3.06612903225807
04/2015,2.905
05/2015,2.7758064516129
06/2015,2.615
07/2015,2.45161290322581
08/2015,2.35
09/2015,2.3
10/2015,2.1
11/2015,2.1
12/2015,2.1
01/2016,2.1
02/2016,2.1
03/2016,1.91129032258065
04/2016,1.43
05/2016,1.26612903225806
06/2016,1.15
07/2016,1.15
08/2016,1.15
09/2016,1.15
10/2016,1.13064516129032
11/2016,1.01
12/2016,0.9
01/2017,0.9
02/2017,0.9
03/2017,0.9
04/2017,0.9
05/2017,0.9
06/2017,0.9
07/2017,0.9
08/2017,0.9
09/2017,0.9
10/2017,0.9
11/2017,0.9
12/2017,0.9
01/2018,0.9
02/2018,0.9
03/2018,0.9
04/2018,0.9
05/2018,0.9
06/2018,0.9
07/2018,0.9
08/2018,0.9
09/2018,0.9
10/2018,0.9
11/2018,0.9
12/2018,0.9
01/2019,0.9
02/2019,0.9
03/2019,0.9
04/2019,0.9
05/2019,0.9
06/2019,0.9
07/2019,0.9
08/2019,0.9
09/2019,0.9
10/2019,0.9
11/2019,0.9
12/2019,0.9
01/2020,0.9
02/2020,0.9
03/2020,0.9
04/2020,1.62833333333333
05/2020,1.85
06/2020,1.85
07/2020,1.85
08/2020,1.85
09/2020,1.85
10/2020,1.85
11/2020,1.85
12/2020,1.85
01/2021,1.85
02/2021,1.85
03/2021,1.85
04/2021,1.85
05/2021,1.85
06/2021,1.85
07/2021,1.88870967741936
08/2021,2.21774193548387
09/2021,2.495
10/2021,2.65806451612903
11/2021,2.89
12/2021,4.26451612903226
01/2022,4.49677419354839
02/2022,5.00714285714286
03/2022,6.43225806451613
04/2022,7.53333333333334
05/2022,8.4
06/2022,8.99
07/2022,11.6370967741935
08/2022,13.2822580645161
09/2022,14.375
10/2022,21.0161290322581
11/2022,25
12/2022,25
01/2023,25
02/2023,25
03/2023,25
04/2023,24.25
05/2023,20.241935483871
06/2023,19.1666666666667
07/2023,18.3064516129032
08/2023,17.4354838709677
09/2023,16.1666666666667
