Date,Rate
2000-01,15.1693548387097
2000-02,14.0258620689655
2000-03,13.6048387096774
2000-04,13.2
2000-05,13.0
2000-06,13.0
2000-07,13.0
2000-08,12.8064516129032
2000-09,12.75
2000-10,13.4274193548387
2000-11,13.75
2000-12,13.75
2001-01,13.5564516129032
2001-02,13.2857142857143
2001-03,13.25
2001-04,13.25
2001-05,13.25
2001-06,13.25
2001-07,13.25
2001-08,13.25
2001-09,13.075
2001-10,12.9435483870968
2001-11,12.45
2001-12,11.5725806451613
2002-01,10.8951612903226
2002-02,10.3214285714286
2002-03,10.0
2002-04,10.0
2002-05,10.1612903225806
2002-06,10.5
2002-07,10.8709677419355
2002-08,11.0
2002-09,10.5
2002-10,10.5
2002-11,10.3
2002-12,9.75806451612903
2003-01,9.46774193548387
2003-02,9.21428571428571
2003-03,7.5
2003-04,7.5
2003-05,7.5
2003-06,8.96666666666667
2003-07,10.5
2003-08,10.5
2003-09,10.5
2003-10,10.5
2003-11,10.8
2003-12,13.5
2004-01,13.5
2004-02,13.5
2004-03,13.4274193548387
2004-04,13.0416666666667
2004-05,12.5483870967742
2004-06,12.5
2004-07,12.5
2004-08,12.258064516129
2004-09,12.0
2004-10,11.7903225806452
2004-11,11.3666666666667
2004-12,10.8225806451613
2005-01,10.3870967741935
2005-02,9.8125
2005-03,9.21774193548387
2005-04,8.70833333333333
2005-05,8.43548387096774
2005-06,8.16666666666667
2005-07,7.89516129032258
2005-08,7.60483870967742
2005-09,7.15833333333333
2005-10,7.0
2005-11,7.0
2005-12,7.0
2006-01,7.0
2006-02,7.0
2006-03,7.0
2006-04,7.0
2006-05,7.0
2006-06,7.09166666666667
2006-07,7.36290322580645
2006-08,7.79838709677419
2006-09,8.33333333333333
2006-10,8.80645161290323
2006-11,9.0
2006-12,9.0
2007-01,9.0
2007-02,9.0
2007-03,9.0
2007-04,9.0
2007-05,9.0
2007-06,8.96666666666667
2007-07,8.75
2007-08,8.75
2007-09,8.7
2007-10,8.5
2007-11,8.5
2007-12,8.5
2008-01,8.5
2008-02,8.5
2008-03,8.5
2008-04,9.01666666666667
2008-05,9.29032258064516
2008-06,9.5
2008-07,9.5
2008-08,9.5
2008-09,9.5
2008-10,10.3064516129032
2008-11,11.9
2008-12,10.9838709677419
2009-01,10.3064516129032
2009-02,10.0
2009-03,10.0
2009-04,10.0
2009-05,10.0
2009-06,10.0
2009-07,9.87096774193548
2009-08,8.88709677419355
2009-09,8.46666666666667
2009-10,7.80645161290323
2009-11,7.5
2009-12,7.41935483870968
2010-01,7.20161290322581
2010-02,6.94642857142857
2010-03,6.73387096774194
2010-04,6.475
2010-05,6.25
2010-06,6.25
2010-07,6.25
2010-08,6.25
2010-09,6.25
2010-10,6.25
2010-11,6.25833333333333
2010-12,6.58870967741936
2011-01,6.80645161290323
2011-02,7.0
2011-03,7.0
2011-04,7.0
2011-05,7.0
2011-06,7.0
2011-07,7.0
2011-08,7.0
2011-09,7.0
2011-10,7.0
2011-11,7.01666666666667
2011-12,7.67741935483871
2012-01,8.0
2012-02,8.0
2012-03,8.0
2012-04,8.0
2012-05,8.0
2012-06,8.0
2012-07,8.0
2012-08,7.9758064516129
2012-09,7.70833333333333
2012-10,7.49193548387097
2012-11,7.225
2012-12,6.89516129032258
2013-01,6.73387096774194
2013-02,6.48214285714286
2013-03,6.20967741935484
2013-04,5.94166666666667
