,Bank Lending Rate: Month Avg: Poland
Region,Poland
Subnational,
Frequency,Monthly
Unit,% pa
Source,CEIC Data
Status,Active
Series ID,384229237
SR Code,SR197145357
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/2005
Last Obs. Date,08/2023
Last Update Time,29/09/2023
Series remarks,
Suggestions,
Mean,5.285848214285716
Variance,3.6215822369474706
Standard Deviation,1.90304551625742
Skewness,0.17745685724909346
Kurtosis,-1.0185503531082762
Coefficient Variation,0.3600265159173855
Min,1.98
Max,9.24
Median,5.67
No. of Obs,224
01/2005,8.34
02/2005,8.08
03/2005,7.74
04/2005,7.34
05/2005,7.12
06/2005,6.83
07/2005,6.43
08/2005,6.46
09/2005,6.42
10/2005,6.96
11/2005,6.27
12/2005,6.4
01/2006,6.07
02/2006,5.63
03/2006,5.89
04/2006,5.86
05/2006,5.67
06/2006,5.7
07/2006,5.67
08/2006,5.76
09/2006,5.79
10/2006,5.75
11/2006,5.77
12/2006,5.58
01/2007,5.8
02/2007,5.81
03/2007,5.7
04/2007,5.91
05/2007,5.94
06/2007,6.01
07/2007,6.33
08/2007,6.23
09/2007,6.58
10/2007,6.37
11/2007,6.67
12/2007,7.19
01/2008,6.94
02/2008,7.25
03/2008,7.33
04/2008,7.81
05/2008,7.74
06/2008,8.27
07/2008,8.1
08/2008,8.15
09/2008,8.33
10/2008,8.37
11/2008,8.42
12/2008,8.33
01/2009,7.78
02/2009,7.05
03/2009,6.44
04/2009,6.36
05/2009,6.62
06/2009,6.95
07/2009,6.6
08/2009,6.43
09/2009,6.5
10/2009,6.35
11/2009,6.34
12/2009,6.53
01/2010,6.63
02/2010,6.56
03/2010,6.71
04/2010,6.61
05/2010,6.43
06/2010,6.2
07/2010,6.23
08/2010,6.32
09/2010,5.85
10/2010,6.06
11/2010,5.87
12/2010,5.9
01/2011,6.47
02/2011,6.55
03/2011,6.11
04/2011,6.46
05/2011,6.37
06/2011,6.61
07/2011,6.61
08/2011,6.74
09/2011,6.63
10/2011,6.56
11/2011,7.53
12/2011,6.6
01/2012,6.75
02/2012,6.52
03/2012,6.36
04/2012,6.68
05/2012,6.9
06/2012,6.78
07/2012,6.85
08/2012,6.71
09/2012,6.76
10/2012,6.84
11/2012,6.7
12/2012,6.19
01/2013,6.17
02/2013,5.67
03/2013,5.42
04/2013,5.14
05/2013,4.96
06/2013,5.08
07/2013,4.68
08/2013,4.51
09/2013,4.44
10/2013,4.46
11/2013,4.26
12/2013,4.43
01/2014,4.21
02/2014,4.65
03/2014,4.3
04/2014,4.51
05/2014,4.39
06/2014,4.18
07/2014,4.43
08/2014,4.35
09/2014,4.05
10/2014,4.17
11/2014,3.7
12/2014,3.54
01/2015,3.68
02/2015,3.66
03/2015,3.27
04/2015,3.55
05/2015,3.45
06/2015,3.57
07/2015,3.47
08/2015,3.47
09/2015,3.54
10/2015,3.62
11/2015,3.53
12/2015,3.56
01/2016,3.34
02/2016,3.37
03/2016,3.28
04/2016,3.5
05/2016,3.41
06/2016,3.61
07/2016,3.68
08/2016,3.55
09/2016,3.54
10/2016,3.72
11/2016,3.5
12/2016,3.57
01/2017,3.64
02/2017,3.72
03/2017,3.73
04/2017,3.8
05/2017,3.56
06/2017,3.75
07/2017,3.63
08/2017,3.68
09/2017,3.83
10/2017,3.72
11/2017,3.68
12/2017,3.66
01/2018,3.57
02/2018,3.64
03/2018,3.44
04/2018,3.66
05/2018,3.51
06/2018,3.44
07/2018,3.63
08/2018,3.61
09/2018,3.45
10/2018,3.56
11/2018,3.57
12/2018,3.48
01/2019,3.62
02/2019,3.6
03/2019,3.69
04/2019,3.58
05/2019,3.65
06/2019,3.42
07/2019,3.85
08/2019,3.7
09/2019,3.63
10/2019,3.47
11/2019,3.6
12/2019,3.64
01/2020,3.64
02/2020,3.49
03/2020,3.54
04/2020,2.71
05/2020,2.69
06/2020,2.41
07/2020,2.31
08/2020,2.14
09/2020,2.43
10/2020,2.2
11/2020,2.1
12/2020,2.4
01/2021,1.98
02/2021,2.09
03/2021,2.1
04/2021,2.06
05/2021,2.25
06/2021,2.33
07/2021,2.2
08/2021,2.13
09/2021,2.18
10/2021,2.38
11/2021,3.07
12/2021,3.83
01/2022,4.26
02/2022,4.74
03/2022,5.83
04/2022,6.56
05/2022,7.58
06/2022,8.35
07/2022,8.75
08/2022,8.7
09/2022,8.98
10/2022,8.88
11/2022,8.94
12/2022,8.74
01/2023,9.17
02/2023,8.59
03/2023,8.75
04/2023,8.68
05/2023,9.24
06/2023,8.92
07/2023,8.81
08/2023,8.64
