,Date,Bank Lending Rate: Month Avg: Egypt,mo12m_change
0,12/2022,13.3,2.6
1,12/2021,9.5,-1.5
2,12/2020,9.7,-2.8
3,12/2019,13.8,1.6
4,12/2018,17.8,5.2
5,12/2017,19.8,7.1
6,12/2016,16.3,2.96
7,12/2015,11.8,-1.67
8,12/2014,11.8,-1.84
9,12/2013,11.9,-1.48
10,12/2012,12.2,-1.28
11,12/2011,11.8,-1.51
12,12/2010,10.7,-2.2
13,12/2009,11.0,-2.4
14,12/2008,12.5,-3.0
15,12/2007,12.2,-3.3
16,12/2006,12.6,-4.4
17,12/2005,12.7,-4.75
18,12/2004,13.34,-5.73
19,12/2003,13.47,-7.09
20,12/2002,13.64,-5.36
21,12/2001,13.38,-5.62
22,12/2000,13.4775,-3.52
23,12/1999,13.31,-3.69
24,12/1998,12.9,-2.1
25,12/1997,13.4,-1.6
26,12/1996,15.5,0.5
27,12/1995,15.5,0.5
28,12/1994,17.0,2.0
29,12/1993,17.45,2.45
30,12/1992,19.07,5.07
31,12/1991,20.56,8.56
32,12/1990,19.0,7.5
33,12/1989,19.0,9.7
34,12/1988,17.0,7.2
35,12/1987,17.0,2.6
36,12/1986,15.0,-3.1
37,12/1985,15.0,-4.7
38,12/1984,15.0,-1.0
39,12/1983,15.0,3.4
40,12/1982,15.0,3.2
41,12/1981,15.0,2.9
42,12/1980,14.0,1.9
43,12/1979,12.0,0.6
44,11/2022,11.5,0.6
45,11/2021,9.3,-2.0
46,11/2020,9.8,-2.7
47,11/2019,14.4,2.2
48,11/2018,18.1,5.5
49,11/2017,19.7,7.1
50,11/2016,16.0,2.67
51,11/2015,11.6,-1.97
52,11/2014,11.8,-1.93
53,11/2013,12.1,-0.81
54,11/2012,12.1,-1.25
55,11/2011,11.4,-1.72
56,11/2010,10.9,-2.5
57,11/2009,11.3,-1.5
58,11/2008,12.5,-3.5
59,11/2007,12.2,-3.67
60,11/2006,12.6,-3.65
61,11/2005,12.6,-5.07
62,11/2004,13.33,-6.12
63,11/2003,13.5725,-7.58
64,11/2002,13.73,-5.27
65,11/2001,12.91,-6.09
66,11/2000,13.35,-3.65
67,11/1999,13.12,-3.88
68,11/1998,13.4,-1.6
69,11/1997,12.8,-2.2
70,11/1996,16.0,1.0
71,11/1995,15.87,0.87
72,11/1994,16.25,1.25
73,11/1993,17.67,2.67
74,11/1992,19.45,5.45
75,11/1991,21.15,9.15
76,11/1990,19.0,7.8
77,11/1989,19.0,9.7
78,11/1988,17.0,7.0
79,11/1987,17.0,2.3
80,11/1986,15.0,-2.8
81,11/1985,15.0,-4.6
82,11/1984,15.0,1.1
83,11/1983,15.0,3.5
84,11/1982,15.0,3.3
85,11/1981,15.0,2.8
86,11/1980,14.0,2.0
87,11/1979,12.0,0.7
88,10/2022,11.2,0.2
89,10/2021,9.3,-2.1
90,10/2020,10.0,-2.4
91,10/2019,14.7,2.5
92,10/2018,17.8,5.2
93,10/2017,19.6,7.69
94,10/2016,13.9,0.48
95,10/2015,11.5,-2.06
96,10/2014,11.7,-1.97
97,10/2013,12.2,-0.64
98,10/2012,12.0,-1.26
99,10/2011,11.3,-1.18
100,10/2010,11.0,-2.0
101,10/2009,11.4,-2.9
102,10/2008,12.4,-3.1
103,10/2007,12.2,-3.8
104,10/2006,12.6,-3.65
105,10/2005,11.91,-5.97
106,10/2004,13.42,-6.43
107,10/2003,13.556,-6.75
108,10/2002,13.67,-5.33
109,10/2001,12.84,-6.16
110,10/2000,13.26,-3.74
111,10/1999,12.48,-4.52
112,10/1998,13.0,-2.0
113,10/1997,14.3,-0.7
114,10/1996,15.5,0.5
115,10/1995,16.0,1.0
116,10/1994,16.25,1.25
117,10/1993,17.88,2.88
118,10/1992,19.85,5.85
119,10/1991,20.31,8.31
120,10/1990,19.0,8.5
121,10/1989,19.0,9.7
122,10/1988,17.0,6.9
123,10/1987,17.0,1.9
124,10/1986,15.0,-2.3
125,10/1985,15.0,-4.6
126,10/1984,15.0,1.1
127,10/1983,15.0,3.4
128,10/1982,15.0,3.1
129,10/1981,15.0,2.8
130,10/1980,14.0,2.0
131,10/1979,12.0,0.8
132,09/2022,10.5,-0.4
133,09/2021,9.3,-2.3
134,09/2020,10.1,-2.3
135,09/2019,15.1,2.8
136,09/2018,17.3,4.7
137,09/2017,19.6,6.32
138,09/2016,13.9,0.45
139,09/2015,11.6,-1.9
140,09/2014,11.9,-1.99
141,09/2013,12.2,-0.68
142,09/2012,12.0,-1.25
143,09/2011,11.2,-1.52
144,09/2010,10.9,-2.3
145,09/2009,11.6,-1.6
146,09/2008,12.4,-3.1
147,09/2007,12.3,-3.7
148,09/2006,12.6,-5.9
149,09/2005,13.28,-4.56
150,09/2004,13.45,-6.79
151,09/2003,13.5,-6.66
152,09/2002,13.89,-5.11
153,09/2001,12.88,-6.12
154,09/2000,13.25,-3.75
155,09/1999,12.72,-4.28
156,09/1998,13.2,-1.8
157,09/1997,13.2,-1.8
158,09/1996,15.5,0.5
159,09/1995,16.0,1.0
160,09/1994,18.5,3.5
161,09/1993,17.84,2.84
162,09/1992,20.24,6.24
163,09/1991,20.16,8.16
164,09/1990,19.0,0.3
165,09/1989,19.0,8.5
166,09/1988,17.0,7.6
167,09/1987,17.0,6.0
168,09/1986,15.0,-1.3
169,09/1985,15.0,-2.6
170,09/1984,15.0,-4.6
171,09/1983,15.0,1.2
172,09/1982,15.0,3.3
173,09/1981,15.0,3.1
174,09/1980,14.0,1.6
175,09/1979,12.0,0.0
176,08/2023,18.7,7.6
177,08/2022,10.5,-0.4
178,08/2021,9.4,-2.6
179,08/2020,11.0,-1.3
180,08/2019,16.3,3.7
181,08/2018,17.6,4.9
182,08/2017,19.6,6.34
183,08/2016,13.8,0.33
184,08/2015,11.7,-1.7
185,08/2014,11.9,-2.06
186,08/2013,12.4,-0.78
187,08/2012,12.0,-1.3
188,08/2011,11.1,-1.87
189,08/2010,10.9,-2.1
190,08/2009,12.0,-2.3
191,08/2008,12.3,-3.2
192,08/2007,12.6,-3.68
193,08/2006,12.7,-5.8
194,08/2005,13.26,-4.61
195,08/2004,13.47,-6.93
196,08/2003,13.395,-6.66
197,08/2002,13.96,-5.04
198,08/2001,13.18,-5.82
199,08/2000,13.3,-3.7
200,08/1999,12.97,-4.03
201,08/1998,13.0,-2.0
202,08/1997,14.3,-0.7
203,08/1996,15.5,0.5
204,08/1995,16.28,1.28
205,08/1994,18.5,3.5
206,08/1993,17.87,2.87
207,08/1992,20.4,6.4
208,08/1991,20.05,8.05
209,08/1990,19.0,0.8
210,08/1989,19.0,8.5
211,08/1988,17.0,7.6
212,08/1987,17.0,5.8
213,08/1986,15.0,-1.5
214,08/1985,15.0,-2.6
215,08/1984,15.0,-3.5
