,Date,Bank Lending Rate: Month Avg: Nigeria,mo12m_change
0,12/2022,13.85,-1.89
1,12/2021,11.68,-7.87
2,12/2020,11.35,-3.91
3,12/2019,14.99,-1.47
4,12/2018,16.17,-1.16
5,12/2017,17.71,4.54
6,12/2016,17.09,5.29
7,12/2015,16.96,5.36
8,12/2014,15.88,0.97
9,12/2013,17.01,0.37
10,12/2012,16.54,-1.23
11,12/2011,16.75,-0.31
12,12/2010,15.74,-1.24
13,12/2009,19.55,3.08
14,12/2008,15.26,-1.91
15,12/2007,16.46,-0.05
16,12/2006,17.33,0.51
17,11/2022,13.17,-2.94
18,11/2021,11.8,-7.86
19,11/2020,11.6,-2.98
20,11/2019,14.91,-1.59
21,11/2018,16.64,-0.62
22,11/2017,17.77,5.54
23,11/2016,17.06,5.45
24,11/2015,16.98,5.67
25,11/2014,16.47,1.4
26,11/2013,17.17,0.64
27,11/2012,16.51,-1.35
28,11/2011,16.82,-0.28
29,11/2010,16.11,-0.73
30,11/2009,19.66,3.18
31,11/2008,14.58,-2.52
32,11/2007,16.5,0.02
33,11/2006,17.26,0.77
34,10/2022,12.23,-3.93
35,10/2021,11.61,-7.45
36,10/2020,11.31,-3.5
37,10/2019,15.07,-1.43
38,10/2018,16.53,-0.66
39,10/2017,17.86,5.63
40,10/2016,17.1,5.37
41,10/2015,16.84,5.29
42,10/2014,16.48,1.33
43,10/2013,17.1,0.51
44,10/2012,16.48,-1.4
45,10/2011,16.49,-0.6
46,10/2010,16.16,-0.86
47,10/2009,19.06,2.62
48,10/2008,14.81,-1.95
49,10/2007,16.5,0.13
50,10/2006,17.19,1.32
51,09/2022,12.23,-4.43
52,09/2021,11.73,-7.18
53,09/2020,11.55,-3.22
54,09/2019,15.15,-1.31
55,09/2018,16.59,-0.6
56,09/2017,17.88,3.89
57,09/2016,17.09,4.86
58,09/2015,17.02,5.4
59,09/2014,16.44,4.68
60,09/2013,16.76,1.36
61,09/2012,16.37,-0.28
62,09/2011,15.87,-1.82
63,09/2010,16.66,-0.52
64,09/2009,18.91,1.62
65,09/2008,14.77,-1.83
66,09/2007,16.46,-0.09
67,09/2006,17.19,0.66
68,08/2023,13.99,-1.83
69,08/2022,12.23,-4.66
70,08/2021,11.62,-7.77
71,08/2020,11.76,-3.32
72,08/2019,15.4,-1.02
73,08/2018,16.65,-0.16
74,08/2017,17.69,3.71
75,08/2016,17.18,5.08
76,08/2015,17.29,5.72
77,08/2014,16.6,4.5
78,08/2013,16.55,1.09
79,08/2012,16.53,-0.3
80,08/2011,15.82,-1.83
81,08/2010,16.89,-0.25
82,08/2009,19.39,2.09
83,08/2008,15.08,-1.36
84,08/2007,16.42,-0.05
85,08/2006,16.81,-0.15
86,07/2023,13.98,-1.86
87,07/2022,12.1,-5.3
88,07/2021,11.57,-7.77
89,07/2020,12.1,-3.12
90,07/2019,15.46,-1.11
91,07/2018,16.83,-0.25
92,07/2017,17.65,3.8
93,07/2016,17.14,4.85
94,07/2015,17.3,5.63
95,07/2014,16.44,0.79
96,07/2013,16.47,0.67
97,07/2012,16.96,0.18
98,07/2011,15.84,-1.75
99,07/2010,17.4,0.62
100,07/2009,19.34,2.1
101,07/2008,15.22,-1.28
102,07/2007,16.57,0.01
103,07/2006,17.08,0.15
104,06/2023,13.85,-1.91
105,06/2022,12.29,-5.36
106,06/2021,11.67,-7.41
107,06/2020,15.65,0.48
108,06/2019,15.8,-1.12
109,06/2018,16.78,-0.3
110,06/2017,17.59,3.52
111,06/2016,16.78,4.82
112,06/2015,17.24,5.95
113,06/2014,16.5,1.77
114,06/2013,16.56,1.23
115,06/2012,16.93,-0.15
116,06/2011,15.76,-1.82
117,06/2010,17.65,1.52
118,06/2009,19.08,3.0
119,06/2008,15.17,-1.33
120,06/2007,16.92,0.26
121,06/2006,17.08,0.1
122,05/2023,14.07,-1.74
123,05/2022,11.96,-6.81
124,05/2021,11.29,-7.46
125,05/2020,14.73,-0.29
126,05/2019,15.33,-1.61
127,05/2018,17.08,0.11
128,05/2017,17.58,3.53
129,05/2016,16.13,4.3
130,05/2015,16.08,4.84
131,05/2014,16.5,1.58
132,05/2013,16.66,-1.57
133,05/2012,16.98,-0.26
134,05/2011,15.81,-1.63
135,05/2010,18.77,2.0
136,05/2009,18.75,2.8
137,05/2008,15.02,-1.68
138,05/2007,16.94,0.29
139,05/2006,16.97,0.07
140,04/2023,14.05,-1.7
141,04/2022,11.83,-7.22
142,04/2021,11.24,-8.04
143,04/2020,14.92,-0.47
144,04/2019,18.23,0.18
145,04/2018,17.24,0.99
146,04/2017,17.44,3.47
147,04/2016,16.77,4.93
148,04/2015,15.95,4.82
149,04/2014,16.7,1.99
150,04/2013,16.65,1.73
151,04/2012,16.9,-0.45
152,04/2011,15.75,-1.68
153,04/2010,19.05,2.23
154,04/2009,19.28,2.38
155,04/2008,15.39,-1.3
156,04/2007,18.05,1.44
157,04/2006,16.25,-1.03
158,03/2023,13.97,-1.84
159,03/2022,11.84,-7.19
160,03/2021,11.13,-8.06
161,03/2020,14.71,-0.52
162,03/2019,14.92,-2.26
163,03/2018,17.35,1.05
164,03/2017,17.43,3.81
165,03/2016,16.82,5.04
166,03/2015,16.9,5.69
167,03/2014,16.69,1.65
168,03/2013,16.61,0.53
169,03/2012,17.28,-0.25
170,03/2011,15.81,-1.32
171,03/2010,19.03,2.31
172,03/2009,19.19,2.42
173,03/2008,15.23,-1.7
174,03/2007,17.18,0.62
175,03/2006,16.3,-0.81
176,02/2023,13.62,-2.13
177,02/2022,11.78,-6.96
178,02/2021,11.21,-7.69
179,02/2020,15.04,-0.54
180,02/2019,16.08,-1.55
181,02/2018,17.53,0.96
182,02/2017,17.13,3.46
183,02/2016,16.72,5.04
184,02/2015,16.77,5.52
185,02/2014,16.93,1.96
186,02/2013,16.56,0.55
187,02/2012,17.11,-0.39
188,02/2011,15.75,-1.16
189,02/2010,18.74,2.2
190,02/2009,18.9,2.04
191,02/2008,15.58,-1.37
192,02/2007,17.63,1.06
193,02/2006,16.57,-0.35
194,01/2023,13.67,-2.06
195,01/2022,11.68,-7.14
196,01/2021,11.25,-5.53
197,01/2020,14.97,-0.55
198,01/2019,16.01,-1.63
199,01/2018,17.5,0.81
200,01/2017,16.91,
201,01/2016,16.54,
202,01/2015,16.86,
203,01/2014,16.95,
204,01/2013,16.57,
205,01/2012,16.92,
206,01/2011,15.73,
207,01/2010,18.82,
208,01/2009,16.78,
209,01/2008,15.52,
210,01/2007,17.64,
211,01/2006,16.69,
