,Date,Bank Lending Rate: Month Avg: Poland,mo12m_change
0,2023-08,8.64,-0.06
1,2023-07,8.81,0.06
2,2023-06,8.92,0.57
3,2023-05,9.24,1.66
4,2023-04,8.68,2.12
5,2023-03,8.75,2.92
6,2023-02,8.59,3.85
7,2023-01,9.17,4.91
8,2022-12,8.74,4.91
9,2022-11,8.94,5.87
10,2022-10,8.88,6.5
11,2022-09,8.98,6.8
12,2022-08,8.7,6.57
13,2022-07,8.75,6.55
14,2022-06,8.35,6.02
15,2022-05,7.58,5.33
16,2022-04,6.56,4.5
17,2022-03,5.83,3.73
18,2022-02,4.74,2.65
19,2022-01,4.26,2.28
20,2021-12,3.83,1.43
21,2021-11,3.07,0.97
22,2021-10,2.38,0.18
23,2021-09,2.18,-0.25
24,2021-08,2.13,-0.01
25,2021-07,2.2,-0.11
26,2021-06,2.33,-0.08
27,2021-05,2.25,-0.44
28,2021-04,2.06,-0.65
29,2021-03,2.1,-1.44
30,2021-02,2.09,-1.4
31,2021-01,1.98,-1.66
32,2020-12,2.4,-1.24
33,2020-11,2.1,-1.5
34,2020-10,2.2,-1.27
35,2020-09,2.43,-1.2
36,2020-08,2.14,-1.56
37,2020-07,2.31,-1.54
38,2020-06,2.41,-1.01
39,2020-05,2.69,-0.96
40,2020-04,2.71,-0.87
41,2020-03,3.54,-0.15
42,2020-02,3.49,-0.11
43,2020-01,3.64,0.02
44,2019-12,3.64,0.16
45,2019-11,3.6,0.03
46,2019-10,3.47,-0.09
47,2019-09,3.63,0.18
48,2019-08,3.7,0.09
49,2019-07,3.85,0.22
50,2019-06,3.42,-0.02
51,2019-05,3.65,0.14
52,2019-04,3.58,-0.08
53,2019-03,3.69,0.25
54,2019-02,3.6,-0.04
55,2019-01,3.62,0.05
56,2018-12,3.48,-0.18
57,2018-11,3.57,-0.11
58,2018-10,3.56,-0.16
59,2018-09,3.45,-0.38
60,2018-08,3.61,-0.07
61,2018-07,3.63,0.0
62,2018-06,3.44,-0.31
63,2018-05,3.51,-0.05
64,2018-04,3.66,-0.14
65,2018-03,3.44,-0.29
66,2018-02,3.64,-0.08
67,2018-01,3.57,-0.07
68,2017-12,3.66,0.09
69,2017-11,3.68,0.18
70,2017-10,3.72,0.0
71,2017-09,3.83,0.29
72,2017-08,3.68,0.13
73,2017-07,3.63,-0.05
74,2017-06,3.75,0.14
75,2017-05,3.56,0.15
76,2017-04,3.8,0.3
77,2017-03,3.73,0.45
78,2017-02,3.72,0.35
79,2017-01,3.64,0.3
80,2016-12,3.57,0.01
81,2016-11,3.5,-0.03
82,2016-10,3.72,0.1
83,2016-09,3.54,0.0
84,2016-08,3.55,0.08
85,2016-07,3.68,0.21
86,2016-06,3.61,0.04
87,2016-05,3.41,-0.04
88,2016-04,3.5,-0.05
89,2016-03,3.28,0.01
90,2016-02,3.37,-0.29
91,2016-01,3.34,-0.34
92,2015-12,3.56,0.02
93,2015-11,3.53,-0.17
94,2015-10,3.62,-0.55
95,2015-09,3.54,-0.51
96,2015-08,3.47,-0.88
97,2015-07,3.47,-0.96
98,2015-06,3.57,-0.61
99,2015-05,3.45,-0.94
100,2015-04,3.55,-0.96
101,2015-03,3.27,-1.03
102,2015-02,3.66,-0.99
103,2015-01,3.68,-0.53
104,2014-12,3.54,-0.89
105,2014-11,3.7,-0.56
106,2014-10,4.17,-0.29
107,2014-09,4.05,-0.39
108,2014-08,4.35,-0.16
109,2014-07,4.43,-0.25
110,2014-06,4.18,-0.9
111,2014-05,4.39,-0.57
112,2014-04,4.51,-0.63
113,2014-03,4.3,-1.12
114,2014-02,4.65,-1.02
115,2014-01,4.21,-1.96
116,2013-12,4.43,-1.76
117,2013-11,4.26,-2.44
118,2013-10,4.46,-2.38
119,2013-09,4.44,-2.32
120,2013-08,4.51,-2.2
121,2013-07,4.68,-2.17
122,2013-06,5.08,-1.7
123,2013-05,4.96,-1.94
124,2013-04,5.14,-1.54
125,2013-03,5.42,-0.94
126,2013-02,5.67,-0.85
127,2013-01,6.17,-0.58
128,2012-12,6.19,-0.41
129,2012-11,6.7,-0.83
130,2012-10,6.84,0.28
131,2012-09,6.76,0.13
132,2012-08,6.71,-0.03
133,2012-07,6.85,0.24
134,2012-06,6.78,0.17
135,2012-05,6.9,0.53
136,2012-04,6.68,0.22
137,2012-03,6.36,0.25
138,2012-02,6.52,-0.03
139,2012-01,6.75,0.28
140,2011-12,6.6,0.7
141,2011-11,7.53,1.66
142,2011-10,6.56,0.5
143,2011-09,6.63,0.78
144,2011-08,6.74,0.42
145,2011-07,6.61,0.38
146,2011-06,6.61,0.41
147,2011-05,6.37,-0.06
148,2011-04,6.46,-0.15
149,2011-03,6.11,-0.6
150,2011-02,6.55,-0.01
151,2011-01,6.47,-0.16
152,2010-12,5.9,-0.63
153,2010-11,5.87,-0.47
154,2010-10,6.06,-0.29
155,2010-09,5.85,-0.65
156,2010-08,6.32,-0.11
157,2010-07,6.23,-0.37
158,2010-06,6.2,-0.75
159,2010-05,6.43,-0.19
160,2010-04,6.61,0.25
161,2010-03,6.71,0.27
162,2010-02,6.56,-0.49
163,2010-01,6.63,-1.15
164,2009-12,6.53,-1.8
165,2009-11,6.34,-2.08
166,2009-10,6.35,-2.02
167,2009-09,6.5,-1.83
168,2009-08,6.43,-1.72
169,2009-07,6.6,-1.5
170,2009-06,6.95,-1.32
171,2009-05,6.62,-1.12
