,Date,Bank Lending Rate: Month Avg: Romania,mo12m_change
0,2023-08,8.58,-1.01
1,2023-07,8.7,-0.16
2,2023-06,9.06,1.31
3,2023-05,9.3,1.96
4,2023-04,9.12,2.43
5,2023-03,9.32,3.32
6,2023-02,9.57,4.1
7,2023-01,9.58,4.27
8,2022-12,9.96,5.38
9,2022-11,10.3,5.63
10,2022-10,10.28,6.13
11,2022-09,9.82,5.87
12,2022-08,9.59,5.67
13,2022-07,8.86,4.85
14,2022-06,7.75,3.57
15,2022-05,7.34,3.25
16,2022-04,6.69,2.47
17,2022-03,6.0,1.54
18,2022-02,5.47,1.11
19,2022-01,5.31,0.72
20,2021-12,4.58,-0.06
21,2021-11,4.67,0.0
22,2021-10,4.15,-0.32
23,2021-09,3.95,-0.48
24,2021-08,3.92,-0.9
25,2021-07,4.01,-0.47
26,2021-06,4.18,-0.71
27,2021-05,4.09,-1.25
28,2021-04,4.22,-1.29
29,2021-03,4.46,-1.07
30,2021-02,4.36,-1.74
31,2021-01,4.59,-1.01
32,2020-12,4.64,-1.15
33,2020-11,4.67,-1.23
34,2020-10,4.47,-1.4
35,2020-09,4.43,-1.37
36,2020-08,4.82,-0.76
37,2020-07,4.48,-1.27
38,2020-06,4.89,-1.21
39,2020-05,5.34,-1.02
40,2020-04,5.51,-0.68
41,2020-03,5.53,-0.74
42,2020-02,6.1,-0.08
43,2020-01,5.6,-0.18
44,2019-12,5.79,-0.05
45,2019-11,5.9,-0.22
46,2019-10,5.87,-0.19
47,2019-09,5.8,-0.08
48,2019-08,5.58,-0.44
49,2019-07,5.75,-0.15
50,2019-06,6.1,0.53
51,2019-05,6.36,0.97
52,2019-04,6.19,1.08
53,2019-03,6.27,1.22
54,2019-02,6.18,1.16
55,2019-01,5.78,0.92
56,2018-12,5.84,0.9
57,2018-11,6.12,1.43
58,2018-10,6.06,1.49
59,2018-09,5.88,1.96
60,2018-08,6.02,2.24
61,2018-07,5.9,2.08
62,2018-06,5.57,1.57
63,2018-05,5.39,1.37
64,2018-04,5.11,1.19
65,2018-03,5.05,1.02
66,2018-02,5.02,1.11
67,2018-01,4.86,1.26
68,2017-12,4.94,1.22
69,2017-11,4.69,1.03
70,2017-10,4.57,0.86
71,2017-09,3.92,0.41
72,2017-08,3.78,0.05
73,2017-07,3.82,-0.12
74,2017-06,4.0,-0.16
75,2017-05,4.02,0.01
76,2017-04,3.92,-0.15
77,2017-03,4.03,-0.4
78,2017-02,3.91,-0.44
79,2017-01,3.6,-0.62
80,2016-12,3.72,-0.64
81,2016-11,3.66,-0.71
82,2016-10,3.71,-1.0
83,2016-09,3.51,-1.31
84,2016-08,3.73,-0.73
85,2016-07,3.94,-0.75
86,2016-06,4.16,-0.7
87,2016-05,4.01,-0.63
88,2016-04,4.07,-1.0
89,2016-03,4.43,-0.75
90,2016-02,4.35,-0.84
91,2016-01,4.22,-1.11
92,2015-12,4.36,-1.51
93,2015-11,4.37,-1.21
94,2015-10,4.71,-1.64
95,2015-09,4.82,-1.6
