,Date,Bank Lending Rate: Month Avg: Egypt,mo12m_change
0,2023-08,18.7,8.2
1,2023-07,18.2,7.7
2,2023-06,18.1,7.6
3,2023-05,18.0,7.6
4,2023-04,17.6,7.7
5,2023-03,15.9,6.2
6,2023-02,15.2,5.7
7,2023-01,14.4,4.9
8,2022-12,13.3,3.8
9,2022-11,11.5,2.2
10,2022-10,11.2,1.9
11,2022-09,10.5,1.2
12,2022-08,10.5,1.1
13,2022-07,10.5,1.1
14,2022-06,10.5,1.1
15,2022-05,10.4,0.8
16,2022-04,9.9,0.5
17,2022-03,9.7,0.2
18,2022-02,9.5,0.0
19,2022-01,9.5,0.0
20,2021-12,9.5,-0.2
21,2021-11,9.3,-0.5
22,2021-10,9.3,-0.7
23,2021-09,9.3,-0.8
24,2021-08,9.4,-1.6
25,2021-07,9.4,-1.8
26,2021-06,9.4,-1.9
27,2021-05,9.6,-1.8
28,2021-04,9.4,-2.4
29,2021-03,9.5,-3.2
30,2021-02,9.5,-4.3
31,2021-01,9.5,-4.1
32,2020-12,9.7,-4.1
33,2020-11,9.8,-4.6
34,2020-10,10.0,-4.7
35,2020-09,10.1,-5.0
36,2020-08,11.0,-5.3
37,2020-07,11.2,-5.3
38,2020-06,11.3,-5.1
39,2020-05,11.4,-5.4
40,2020-04,11.8,-5.0
41,2020-03,12.7,-4.4
42,2020-02,13.8,-3.6
43,2020-01,13.6,-4.5
44,2019-12,13.8,-4.0
45,2019-11,14.4,-3.7
46,2019-10,14.7,-3.1
47,2019-09,15.1,-2.2
48,2019-08,16.3,-1.3
49,2019-07,16.5,-1.1
50,2019-06,16.4,-1.8
51,2019-05,16.8,-1.5
52,2019-04,16.8,-1.4
53,2019-03,17.1,-2.2
54,2019-02,17.4,-2.3
55,2019-01,18.1,-1.8
56,2018-12,17.8,-2.0
57,2018-11,18.1,-1.6
58,2018-10,17.8,-1.8
59,2018-09,17.3,-2.3
60,2018-08,17.6,-2.0
61,2018-07,17.6,-0.9
62,2018-06,18.2,0.2
63,2018-05,18.3,1.3
64,2018-04,18.2,1.5
65,2018-03,19.3,2.7
66,2018-02,19.7,3.2
67,2018-01,19.9,3.4
68,2017-12,19.8,3.5
69,2017-11,19.7,3.7
70,2017-10,19.6,5.7
71,2017-09,19.6,5.7
72,2017-08,19.6,5.8
73,2017-07,18.5,4.7
74,2017-06,18.0,4.6
75,2017-05,17.0,4.1
76,2017-04,16.7,3.8
77,2017-03,16.6,4.1
78,2017-02,16.5,4.6
79,2017-01,16.5,4.6
80,2016-12,16.3,4.5
81,2016-11,16.0,4.4
82,2016-10,13.9,2.4
83,2016-09,13.9,2.3
84,2016-08,13.8,2.1
85,2016-07,13.8,2.1
86,2016-06,13.4,1.8
87,2016-05,12.9,1.3
88,2016-04,12.9,1.4
89,2016-03,12.5,0.9
90,2016-02,11.9,0.3
91,2016-01,11.9,0.2
92,2015-12,11.8,0.0
93,2015-11,11.6,-0.2
94,2015-10,11.5,-0.2
95,2015-09,11.6,-0.3
96,2015-08,11.7,-0.2
97,2015-07,11.7,-0.1
98,2015-06,11.6,0.3
99,2015-05,11.6,0.2
100,2015-04,11.5,-0.1
101,2015-03,11.6,-0.1
102,2015-02,11.6,-0.2
103,2015-01,11.7,-0.1
104,2014-12,11.8,-0.1
105,2014-11,11.8,-0.3
106,2014-10,11.7,-0.5
107,2014-09,11.9,-0.3
108,2014-08,11.9,-0.5
109,2014-07,11.8,-0.8
110,2014-06,11.3,-1.3
111,2014-05,11.4,-1.1
112,2014-04,11.6,-0.8
113,2014-03,11.7,-0.6
114,2014-02,11.8,-0.4
115,2014-01,11.8,-0.3
116,2013-12,11.9,-0.3
117,2013-11,12.1,0.0
118,2013-10,12.2,0.2
