,Date,Rate,mo12m_change
0,2023-09,16.1666666666667,1.79
1,2023-08,17.4354838709677,4.15
2,2023-07,18.3064516129032,6.67
3,2023-06,19.1666666666667,10.18
4,2023-05,20.241935483871,11.84
5,2023-04,24.25,16.72
6,2023-03,25.0,18.57
7,2023-02,25.0,19.99
8,2023-01,25.0,20.5
9,2022-12,25.0,20.74
10,2022-11,25.0,22.11
11,2022-10,21.0161290322581,18.36
12,2022-09,14.375,11.88
13,2022-08,13.2822580645161,11.06
14,2022-07,11.6370967741935,9.75
15,2022-06,8.99,7.14
16,2022-05,8.4,6.55
17,2022-04,7.53333333333334,5.68
18,2022-03,6.43225806451613,4.58
19,2022-02,5.00714285714286,3.16
20,2022-01,4.49677419354839,2.65
21,2021-12,4.26451612903226,2.41
22,2021-11,2.89,1.04
23,2021-10,2.65806451612903,0.81
24,2021-09,2.495,0.64
25,2021-08,2.21774193548387,0.37
26,2021-07,1.88870967741936,0.04
27,2021-06,1.85,0.0
28,2021-05,1.85,0.0
29,2021-04,1.85,0.22
30,2021-03,1.85,0.95
31,2021-02,1.85,0.95
32,2021-01,1.85,0.95
33,2020-12,1.85,0.95
34,2020-11,1.85,0.95
35,2020-10,1.85,0.95
36,2020-09,1.85,0.95
37,2020-08,1.85,0.95
38,2020-07,1.85,0.95
39,2020-06,1.85,0.95
40,2020-05,1.85,0.95
41,2020-04,1.62833333333333,0.73
42,2020-03,0.9,0.0
43,2020-02,0.9,0.0
44,2020-01,0.9,0.0
45,2019-12,0.9,0.0
46,2019-11,0.9,0.0
47,2019-10,0.9,0.0
48,2019-09,0.9,0.0
49,2019-08,0.9,0.0
50,2019-07,0.9,0.0
51,2019-06,0.9,0.0
52,2019-05,0.9,0.0
53,2019-04,0.9,0.0
54,2019-03,0.9,0.0
55,2019-02,0.9,0.0
56,2019-01,0.9,0.0
57,2018-12,0.9,0.0
58,2018-11,0.9,0.0
59,2018-10,0.9,0.0
60,2018-09,0.9,0.0
61,2018-08,0.9,0.0
62,2018-07,0.9,0.0
63,2018-06,0.9,0.0
64,2018-05,0.9,0.0
65,2018-04,0.9,0.0
66,2018-03,0.9,0.0
67,2018-02,0.9,0.0
68,2018-01,0.9,0.0
69,2017-12,0.9,0.0
70,2017-11,0.9,-0.11
71,2017-10,0.9,-0.23
72,2017-09,0.9,-0.25
73,2017-08,0.9,-0.25
74,2017-07,0.9,-0.25
75,2017-06,0.9,-0.25
76,2017-05,0.9,-0.37
77,2017-04,0.9,-0.53
78,2017-03,0.9,-1.01
79,2017-02,0.9,-1.2
80,2017-01,0.9,-1.2
81,2016-12,0.9,-1.2
82,2016-11,1.01,-1.09
83,2016-10,1.13064516129032,-0.97
84,2016-09,1.15,-1.15
85,2016-08,1.15,-1.2
86,2016-07,1.15,-1.3
87,2016-06,1.15,-1.47
88,2016-05,1.26612903225806,-1.51
89,2016-04,1.43,-1.48
90,2016-03,1.91129032258065,-1.15
91,2016-02,2.1,-1.0
92,2016-01,2.1,-1.0
93,2015-12,2.1,-1.0
94,2015-11,2.1,-1.0
95,2015-10,2.1,-1.0
96,2015-09,2.3,-0.8
97,2015-08,2.35,-0.75
98,2015-07,2.45161290322581,-0.79
99,2015-06,2.615,-0.76
100,2015-05,2.7758064516129,-0.71
101,2015-04,2.905,-0.69
102,2015-03,3.06612903225807,-0.61
103,2015-02,3.1,-0.7
104,2015-01,3.1,-0.85
105,2014-12,3.1,-1.01
106,2014-11,3.1,-1.27
107,2014-10,3.1,-1.49
108,2014-09,3.1,-1.66
109,2014-08,3.1,-1.87
110,2014-07,3.24193548387097,-1.94
111,2014-06,3.38,-2.08
112,2014-05,3.48709677419355,-2.24
113,2014-04,3.59666666666667,-2.35
114,2014-03,3.68064516129032,-2.53
115,2014-02,3.79642857142857,-2.69
116,2014-01,3.9516129032258,-2.78
117,2013-12,4.10967741935484,-2.79
118,2013-11,4.37333333333334,-2.85
119,2013-10,4.58709677419355,-2.9
120,2013-09,4.76,-2.95
121,2013-08,4.9741935483871,-3.0
122,2013-07,5.18548387096774,-2.81
123,2013-06,5.45833333333333,-2.54
124,2013-05,5.7258064516129,-2.27
125,2013-04,5.94166666666667,-2.06
126,2013-03,6.20967741935484,-1.79
127,2013-02,6.48214285714286,-1.52
128,2013-01,6.73387096774194,-1.27
129,2012-12,6.89516129032258,-0.78
130,2012-11,7.225,0.21
131,2012-10,7.49193548387097,0.49
132,2012-09,7.70833333333333,0.71
133,2012-08,7.9758064516129,0.98
134,2012-07,8.0,1.0
135,2012-06,8.0,1.0
136,2012-05,8.0,1.0
137,2012-04,8.0,1.0
138,2012-03,8.0,1.0
139,2012-02,8.0,1.0
140,2012-01,8.0,1.19
141,2011-12,7.67741935483871,1.09
142,2011-11,7.01666666666667,0.76
143,2011-10,7.0,0.75
144,2011-09,7.0,0.75
145,2011-08,7.0,0.75
146,2011-07,7.0,0.75
147,2011-06,7.0,0.75
148,2011-05,7.0,0.75
149,2011-04,7.0,0.53
150,2011-03,7.0,0.27
151,2011-02,7.0,0.05
152,2011-01,6.80645161290323,-0.4
153,2010-12,6.58870967741936,-0.83
154,2010-11,6.25833333333333,-1.24
155,2010-10,6.25,-1.56
156,2010-09,6.25,-2.22
157,2010-08,6.25,-2.64
158,2010-07,6.25,-3.62
159,2010-06,6.25,-3.75
160,2010-05,6.25,-3.75
161,2010-04,6.475,-3.53
162,2010-03,6.73387096774194,-3.27
163,2010-02,6.94642857142857,-3.05
164,2010-01,7.20161290322581,-3.1
165,2009-12,7.41935483870968,-3.56
166,2009-11,7.5,-4.4
167,2009-10,7.80645161290323,-2.5
168,2009-09,8.46666666666667,-1.03
169,2009-08,8.88709677419355,-0.61
170,2009-07,9.87096774193548,0.37
171,2009-06,10.0,0.5
172,2009-05,10.0,0.71
173,2009-04,10.0,0.98
174,2009-03,10.0,1.5
175,2009-02,10.0,1.5
176,2009-01,10.3064516129032,1.81
177,2008-12,10.9838709677419,2.48
178,2008-11,11.9,3.4
179,2008-10,10.3064516129032,1.81
180,2008-09,9.5,0.8
181,2008-08,9.5,0.75
182,2008-07,9.5,0.75
183,2008-06,9.5,0.53
184,2008-05,9.29032258064516,0.29
185,2008-04,9.01666666666667,0.02
186,2008-03,8.5,-0.5
187,2008-02,8.5,-0.5
188,2008-01,8.5,-0.5
189,2007-12,8.5,-0.5
190,2007-11,8.5,-0.5
191,2007-10,8.5,-0.31
192,2007-09,8.7,0.37
193,2007-08,8.75,0.95
194,2007-07,8.75,1.39
195,2007-06,8.96666666666667,1.88
196,2007-05,9.0,2.0
197,2007-04,9.0,2.0
198,2007-03,9.0,2.0
199,2007-02,9.0,2.0
200,2007-01,9.0,2.0
201,2006-12,9.0,2.0
202,2006-11,9.0,2.0
203,2006-10,8.80645161290323,1.81
204,2006-09,8.33333333333333,1.18
205,2006-08,7.79838709677419,0.19
206,2006-07,7.36290322580645,-0.53
207,2006-06,7.09166666666667,-1.07
208,2006-05,7.0,-1.44
209,2006-04,7.0,-1.71
210,2006-03,7.0,-2.22
211,2006-02,7.0,-2.81
212,2006-01,7.0,-3.39
213,2005-12,7.0,-3.82
214,2005-11,7.0,-4.37
215,2005-10,7.0,-4.79
216,2005-09,7.15833333333333,-4.84
217,2005-08,7.60483870967742,-4.65
218,2005-07,7.89516129032258,-4.6
219,2005-06,8.16666666666667,-4.33
220,2005-05,8.43548387096774,-4.11
221,2005-04,8.70833333333333,-4.33
222,2005-03,9.21774193548387,-4.21
223,2005-02,9.8125,-3.69
224,2005-01,10.3870967741935,-3.11
225,2004-12,10.8225806451613,-2.68
226,2004-11,11.3666666666667,0.57
227,2004-10,11.7903225806452,1.29
228,2004-09,12.0,1.5
229,2004-08,12.258064516129,1.76
230,2004-07,12.5,2.0
231,2004-06,12.5,3.53
232,2004-05,12.5483870967742,5.05
233,2004-04,13.0416666666667,5.54
234,2004-03,13.4274193548387,5.93
235,2004-02,13.5,4.29
236,2004-01,13.5,4.03
237,2003-12,13.5,3.74
238,2003-11,10.8,0.5
239,2003-10,10.5,0.0
240,2003-09,10.5,0.0
241,2003-08,10.5,-0.5
242,2003-07,10.5,-0.37
243,2003-06,8.96666666666667,-1.53
244,2003-05,7.5,-2.66
245,2003-04,7.5,-2.5
246,2003-03,7.5,-2.5
247,2003-02,9.21428571428571,-1.11
248,2003-01,9.46774193548387,-1.43
249,2002-12,9.75806451612903,-1.81
250,2002-11,10.3,-2.15
251,2002-10,10.5,-2.44
252,2002-09,10.5,-2.57
253,2002-08,11.0,-2.25
254,2002-07,10.8709677419355,-2.38
255,2002-06,10.5,-2.75
256,2002-05,10.1612903225806,-3.09
257,2002-04,10.0,-3.25
258,2002-03,10.0,-3.25
259,2002-02,10.3214285714286,-2.96
260,2002-01,10.8951612903226,-2.66
261,2001-12,11.5725806451613,-2.18
262,2001-11,12.45,-1.3
263,2001-10,12.9435483870968,-0.48
264,2001-09,13.075,0.32
265,2001-08,13.25,0.44
266,2001-07,13.25,0.25
267,2001-06,13.25,0.25
268,2001-05,13.25,0.25
269,2001-04,13.25,0.05
270,2001-03,13.25,-0.35
271,2001-02,13.2857142857143,-0.74
272,2001-01,13.5564516129032,-1.61
273,2000-12,13.75,
274,2000-11,13.75,
275,2000-10,13.4274193548387,
276,2000-09,12.75,
277,2000-08,12.8064516129032,
278,2000-07,13.0,
279,2000-06,13.0,
280,2000-05,13.0,
281,2000-04,13.2,
282,2000-03,13.6048387096774,
283,2000-02,14.0258620689655,
284,2000-01,15.1693548387097,
