,Bank Lending Rate: Month Avg: Egypt
Region,Egypt
Subnational,
Frequency,Monthly
Unit,% pa
Source,CEIC Data
Status,Active
Series ID,384237317
SR Code,SR197144927
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/1976
Last Obs. Date,08/2023
Last Update Time,27/09/2023
Series remarks,
Suggestions,
Mean,14.346729601518023
Variance,7.202928454787453
Standard Deviation,2.6838272028555514
Skewness,0.4924876022800366
Kurtosis,-0.4578803090457768
Coefficient Variation,0.18706891935647665
Min,9.3
Max,21.15
Median,13.73
No. of Obs,527
06/1979,12
07/1979,12
08/1979,12
09/1979,12
10/1979,12
11/1979,12
12/1979,12
01/1980,12
02/1980,12
03/1980,12
04/1980,13
05/1980,13
06/1980,14
07/1980,14
08/1980,14
09/1980,14
10/1980,14
11/1980,14
12/1980,14
01/1981,15
02/1981,15
03/1981,15
04/1981,15
05/1981,15
06/1981,15
07/1981,15
08/1981,15
09/1981,15
10/1981,15
11/1981,15
12/1981,15
01/1982,15
02/1982,15
03/1982,15
04/1982,15
05/1982,15
06/1982,15
07/1982,15
08/1982,15
09/1982,15
10/1982,15
11/1982,15
12/1982,15
01/1983,15
02/1983,15
03/1983,15
04/1983,15
05/1983,15
06/1983,15
07/1983,15
08/1983,15
09/1983,15
10/1983,15
11/1983,15
12/1983,15
01/1984,15
02/1984,15
03/1984,15
04/1984,15
05/1984,15
06/1984,15
07/1984,15
08/1984,15
09/1984,15
10/1984,15
11/1984,15
12/1984,15
01/1985,15
02/1985,15
03/1985,15
04/1985,15
05/1985,15
06/1985,15
07/1985,15
08/1985,15
09/1985,15
10/1985,15
11/1985,15
12/1985,15
01/1986,15
02/1986,15
03/1986,15
04/1986,15
05/1986,15
06/1986,15
07/1986,15
08/1986,15
09/1986,15
10/1986,15
11/1986,15
12/1986,15
01/1987,15
02/1987,15
03/1987,15
04/1987,15
05/1987,17
06/1987,17
07/1987,17
08/1987,17
09/1987,17
10/1987,17
11/1987,17
12/1987,17
01/1988,17
02/1988,17
03/1988,17
04/1988,17
05/1988,17
06/1988,17
07/1988,17
08/1988,17
09/1988,17
10/1988,17
11/1988,17
12/1988,17
01/1989,17
02/1989,17
03/1989,17
04/1989,17
05/1989,19
06/1989,19
07/1989,19
08/1989,19
09/1989,19
10/1989,19
11/1989,19
12/1989,19
01/1990,19
02/1990,19
03/1990,19
04/1990,19
05/1990,19
06/1990,19
07/1990,19
08/1990,19
09/1990,19
10/1990,19
11/1990,19
12/1990,19
