,Bank Lending Rate: Month Avg: Nigeria
Region,Nigeria
Subnational,
Frequency,Monthly
Unit,% pa
Source,CEIC Data
Status,Active
Series ID,384174827
SR Code,SR197145297
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/2006
Last Obs. Date,08/2023
Last Update Time,25/09/2023
Series remarks,
Suggestions,
Mean,15.947452830188686
Variance,4.104947035679159
Standard Deviation,2.0260668882539785
Skewness,-0.9297751169191854
Kurtosis,0.3114787693061021
Coefficient Variation,0.12704642614892164
Min,11.13
Max,19.66
Median,16.545
No. of Obs,212
01/2006,16.69
02/2006,16.57
03/2006,16.3
04/2006,16.25
05/2006,16.97
06/2006,17.08
07/2006,17.08
08/2006,16.81
09/2006,17.19
10/2006,17.19
11/2006,17.26
12/2006,17.33
01/2007,17.64
02/2007,17.63
03/2007,17.18
04/2007,18.05
05/2007,16.94
06/2007,16.92
07/2007,16.57
08/2007,16.42
09/2007,16.46
10/2007,16.5
11/2007,16.5
12/2007,16.46
01/2008,15.52
02/2008,15.58
03/2008,15.23
04/2008,15.39
05/2008,15.02
06/2008,15.17
07/2008,15.22
08/2008,15.08
09/2008,14.77
10/2008,14.81
11/2008,14.58
12/2008,15.26
01/2009,16.78
02/2009,18.9
03/2009,19.19
04/2009,19.28
05/2009,18.75
06/2009,19.08
07/2009,19.34
08/2009,19.39
09/2009,18.91
10/2009,19.06
11/2009,19.66
12/2009,19.55
01/2010,18.82
02/2010,18.74
03/2010,19.03
04/2010,19.05
05/2010,18.77
06/2010,17.65
07/2010,17.4
08/2010,16.89
09/2010,16.66
10/2010,16.16
11/2010,16.11
12/2010,15.74
01/2011,15.73
02/2011,15.75
03/2011,15.81
04/2011,15.75
05/2011,15.81
06/2011,15.76
07/2011,15.84
08/2011,15.82
09/2011,15.87
10/2011,16.49
11/2011,16.82
12/2011,16.75
01/2012,16.92
02/2012,17.11
03/2012,17.28
04/2012,16.9
05/2012,16.98
06/2012,16.93
07/2012,16.96
08/2012,16.53
09/2012,16.37
10/2012,16.48
11/2012,16.51
12/2012,16.54
01/2013,16.57
02/2013,16.56
03/2013,16.61
04/2013,16.65
05/2013,16.66
06/2013,16.56
07/2013,16.47
08/2013,16.55
09/2013,16.76
10/2013,17.1
11/2013,17.17
12/2013,17.01
01/2014,16.95
02/2014,16.93
03/2014,16.69
04/2014,16.7
05/2014,16.5
06/2014,16.5
07/2014,16.44
08/2014,16.6
09/2014,16.44
10/2014,16.48
11/2014,16.47
12/2014,15.88
01/2015,16.86
02/2015,16.77
03/2015,16.9
04/2015,15.95
05/2015,16.08
06/2015,17.24
07/2015,17.3
08/2015,17.29
09/2015,17.02
10/2015,16.84
11/2015,16.98
12/2015,16.96
01/2016,16.54
02/2016,16.72
03/2016,16.82
04/2016,16.77
05/2016,16.13
06/2016,16.78
07/2016,17.14
08/2016,17.18
09/2016,17.09
10/2016,17.1
11/2016,17.06
12/2016,17.09
01/2017,16.91
02/2017,17.13
03/2017,17.43
04/2017,17.44
05/2017,17.58
06/2017,17.59
07/2017,17.65
08/2017,17.69
09/2017,17.88
10/2017,17.86
11/2017,17.77
12/2017,17.71
01/2018,17.5
02/2018,17.53
03/2018,17.35
04/2018,17.24
05/2018,17.08
06/2018,16.78
07/2018,16.83
08/2018,16.65
09/2018,16.59
10/2018,16.53
11/2018,16.64
12/2018,16.17
01/2019,16.01
02/2019,16.08
03/2019,14.92
04/2019,18.23
05/2019,15.33
06/2019,15.8
07/2019,15.46
08/2019,15.4
09/2019,15.15
10/2019,15.07
11/2019,14.91
12/2019,14.99
01/2020,14.97
02/2020,15.04
03/2020,14.71
04/2020,14.92
05/2020,14.73
06/2020,15.65
07/2020,12.1
08/2020,11.76
09/2020,11.55
10/2020,11.31
11/2020,11.6
12/2020,11.35
01/2021,11.25
02/2021,11.21
03/2021,11.13
04/2021,11.24
05/2021,11.29
06/2021,11.67
07/2021,11.57
08/2021,11.62
09/2021,11.73
10/2021,11.61
11/2021,11.8
12/2021,11.68
01/2022,11.68
02/2022,11.78
03/2022,11.84
04/2022,11.83
05/2022,11.96
06/2022,12.29
07/2022,12.1
08/2022,12.23
09/2022,12.23
10/2022,12.23
11/2022,13.17
12/2022,13.85
01/2023,13.67
02/2023,13.62
03/2023,13.97
04/2023,14.05
05/2023,14.07
06/2023,13.85
07/2023,13.98
08/2023,13.99
