,Bank Lending Rate: Month Avg: Romania
Region,Romania
Subnational,
Frequency,Monthly
Unit,% pa
Source,CEIC Data
Status,Active
Series ID,384229347
SR Code,SR197145377
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,12/2005
Last Obs. Date,08/2023
Last Update Time,29/09/2023
Series remarks,
Suggestions,
Mean,8.57197183098592
Variance,16.599813074674454
Standard Deviation,4.074286817919727
Skewness,0.9022152064812831
Kurtosis,0.41459989873691194
Coefficient Variation,0.47530333723123264
Min,3.51
Max,21.19
Median,8.58
No. of Obs,213
12/2005,13.69
01/2006,13.46
02/2006,12.58
03/2006,13.75
04/2006,12.92
05/2006,12.71
06/2006,12.28
07/2006,12.57
08/2006,12.86
09/2006,12.32
10/2006,13.06
11/2006,12.51
12/2006,12.1
01/2007,11.39
02/2007,11.85
03/2007,11.96
04/2007,12.17
05/2007,12.29
06/2007,11.45
07/2007,11.13
08/2007,10.55
09/2007,10.3
10/2007,11.17
11/2007,11.47
12/2007,11.62
01/2008,11.97
02/2008,12.51
03/2008,13.43
04/2008,14.15
05/2008,14.11
06/2008,14.31
07/2008,14.64
08/2008,15.2
09/2008,15.68
10/2008,19.6
11/2008,20.49
12/2008,19.51
01/2009,21.19
02/2009,20.68
03/2009,20.58
04/2009,19.28
05/2009,17.56
06/2009,17.12
07/2009,16
08/2009,15.69
09/2009,14.89
10/2009,16.19
11/2009,15.76
12/2009,15.4
01/2010,13.82
02/2010,13.23
03/2010,12.12
04/2010,10.93
05/2010,11.66
06/2010,11.17
07/2010,12.03
08/2010,10.92
09/2010,10.51
10/2010,9.86
11/2010,10.75
12/2010,9.4
01/2011,9.25
02/2011,11.16
03/2011,9.79
04/2011,9.23
05/2011,9.59
06/2011,9.28
07/2011,9.07
08/2011,9.41
09/2011,9.77
10/2011,10.12
11/2011,10.16
12/2011,9.74
01/2012,9.84
02/2012,9.67
03/2012,8.95
04/2012,8.83
05/2012,9.34
06/2012,9.52
07/2012,9.44
08/2012,9.88
09/2012,10.1
10/2012,9.58
11/2012,10.03
12/2012,9.76
01/2013,9.99
02/2013,9.58
03/2013,9.33
04/2013,9.57
05/2013,9.46
06/2013,9.21
07/2013,8.63
08/2013,8.74
09/2013,7.9
10/2013,7.78
11/2013,7.51
12/2013,6.84
01/2014,6.79
02/2014,7.53
03/2014,7.23
04/2014,6.89
05/2014,7.18
06/2014,6.01
07/2014,6.39
08/2014,6
09/2014,6.42
10/2014,6.35
11/2014,5.58
12/2014,5.87
01/2015,5.33
02/2015,5.19
03/2015,5.18
04/2015,5.07
05/2015,4.64
06/2015,4.86
07/2015,4.69
08/2015,4.46
09/2015,4.82
10/2015,4.71
11/2015,4.37
12/2015,4.36
01/2016,4.22
02/2016,4.35
03/2016,4.43
04/2016,4.07
05/2016,4.01
06/2016,4.16
07/2016,3.94
08/2016,3.73
09/2016,3.51
10/2016,3.71
11/2016,3.66
12/2016,3.72
01/2017,3.6
02/2017,3.91
03/2017,4.03
04/2017,3.92
05/2017,4.02
06/2017,4
07/2017,3.82
08/2017,3.78
09/2017,3.92
10/2017,4.57
11/2017,4.69
12/2017,4.94
01/2018,4.86
02/2018,5.02
03/2018,5.05
04/2018,5.11
05/2018,5.39
06/2018,5.57
07/2018,5.9
08/2018,6.02
09/2018,5.88
10/2018,6.06
11/2018,6.12
12/2018,5.84
01/2019,5.78
02/2019,6.18
03/2019,6.27
04/2019,6.19
05/2019,6.36
06/2019,6.1
07/2019,5.75
08/2019,5.58
09/2019,5.8
10/2019,5.87
11/2019,5.9
12/2019,5.79
01/2020,5.6
02/2020,6.1
03/2020,5.53
04/2020,5.51
05/2020,5.34
06/2020,4.89
07/2020,4.48
08/2020,4.82
09/2020,4.43
10/2020,4.47
11/2020,4.67
12/2020,4.64
01/2021,4.59
02/2021,4.36
03/2021,4.46
04/2021,4.22
05/2021,4.09
06/2021,4.18
07/2021,4.01
08/2021,3.92
09/2021,3.95
10/2021,4.15
11/2021,4.67
12/2021,4.58
01/2022,5.31
02/2022,5.47
03/2022,6
04/2022,6.69
05/2022,7.34
06/2022,7.75
07/2022,8.86
08/2022,9.59
09/2022,9.82
10/2022,10.28
11/2022,10.3
12/2022,9.96
01/2023,9.58
02/2023,9.57
03/2023,9.32
04/2023,9.12
05/2023,9.3
06/2023,9.06
07/2023,8.7
08/2023,8.58
