Date,Bank Lending yryr%
1997-04-30,19.56033528
1997-05-31,19.65907318
1997-06-30,18.1353143
1997-07-31,17.38175249
1997-08-31,13.96795333
1997-09-30,11.38516106
1997-10-31,11.72562347
1997-11-30,11.92542407
1997-12-31,11.08578939
1998-01-31,10.99394273
1998-02-28,11.42482879
1998-03-31,10.71003703
1998-04-30,10.75292997
1998-05-31,10.74527804
1998-06-30,13.26705609
1998-07-31,13.22777546
1998-08-31,16.94120932
1998-09-30,19.16778164
1998-10-31,18.73314662
1998-11-30,18.20756044
1998-12-31,18.86712899
1999-01-31,18.48287153
1999-02-28,18.37790096
1999-03-31,19.04063362
1999-04-30,19.22796708
1999-05-31,18.74838102
1999-06-30,18.41977027
1999-07-31,18.61854079
1999-08-31,18.2335988
1999-09-30,17.89234949
1999-10-31,17.16815421
1999-11-30,16.4645192
1999-12-31,15.65803893
2000-01-31,15.01392262
2000-02-29,14.24300585
2000-03-31,13.01929084
2000-04-30,12.400577
2000-05-31,11.42950631
2000-06-30,11.09233241
2000-07-31,8.1707169
2000-08-31,7.70073993
2000-09-30,7.67842517
2000-10-31,7.39745396
2000-11-30,7.37537086
2000-12-31,6.53062532
2001-01-31,6.22824143
2001-02-28,6.21652907
2001-03-31,6.44291387
2001-04-30,6.24170046
2001-05-31,6.39749066
2001-06-30,6.47999118
2001-07-31,9.27539354
2001-08-31,10.44194456
2001-09-30,10.5329259
2001-10-31,9.94127828
2001-11-30,9.776273
2001-12-31,10.74077257
2002-01-31,11.23434735
2002-02-28,10.64781637
2002-03-31,10.61696962
2002-04-30,10.58817115
2002-05-31,10.76277813
2002-06-30,10.19961072
2002-07-31,9.10834802
2002-08-31,7.65962951
2002-09-30,7.16111816
2002-10-31,6.20799315
2002-11-30,5.92264636
2002-12-31,3.7679405
2003-01-31,6.22527932
2003-02-28,6.88912479
2003-03-31,7.32822682
2003-04-30,7.83278528
2003-05-31,7.30301234
2003-06-30,6.99814731
2003-07-31,7.37253455
2003-08-31,7.27348499
2003-09-30,7.28328965
2003-10-31,8.27636673
2003-11-30,8.14587835
2003-12-31,9.08023542
2004-01-31,5.92389827
2004-02-29,4.97402379
2004-03-31,4.15210908
2004-04-30,3.84470636
2004-05-31,4.17914229
2004-06-30,4.03131487
2004-07-31,3.85303151
2004-08-31,3.67172516
2004-09-30,3.39581144
2004-10-31,3.33913763
2004-11-30,4.06101494
2004-12-31,3.90817285
2005-01-31,2.37340581
2005-02-28,1.73337159
2005-03-31,1.79215502
2005-04-30,3.42191543
2005-05-31,3.91288049
2005-06-30,4.04997991
2005-07-31,4.19186139
2005-08-31,4.41301082
2005-09-30,4.28491613
2005-10-31,4.25360111
2005-11-30,3.5701068
2005-12-31,4.37149276
