Date,Bank Lending yryr%
2008-01-31,52.91964518
2008-02-29,53.21666769
2008-03-31,53.76401801
2008-04-30,55.34195752
2008-05-31,52.78141153
2008-06-30,51.81627346
2008-07-31,46.62627815
2008-08-31,42.21366237
2008-09-30,43.00153545
2008-10-31,40.42401574
2008-11-30,31.16782922
2008-12-31,25.65050954
2009-01-31,27.54975071
2009-02-28,24.68844142
2009-03-31,20.90884026
2009-04-30,17.05872945
2009-05-31,12.69788658
2009-06-30,10.89258362
2009-07-31,9.40611617
2009-08-31,5.70900627
2009-09-30,1.90274582
2009-10-31,4.23436453
2009-11-30,-0.18541868
2009-12-31,0.30058721
2010-01-31,-7.00199872
2010-02-28,-7.84929667
2010-03-31,-6.17891004
2010-04-30,-4.59348975
2010-05-31,-0.78410655
2010-06-30,0.79643335
2010-07-31,-0.04057225
2010-08-31,2.19028069
2010-09-30,0.63350052
2010-10-31,-3.48349234
2010-11-30,2.538852
2010-12-31,1.21507699
2011-01-31,2.03512524
2011-02-28,2.39453203
2011-03-31,0.31422636
2011-04-30,-1.09004119
2011-05-31,-0.97176497
2011-06-30,-0.73511953
2011-07-31,0.81255601
2011-08-31,-0.11321372
2011-09-30,3.43301918
2011-10-31,2.99546862
2011-11-30,1.79884508
2011-12-31,2.82783128
2012-01-31,4.03417908
2012-02-29,3.55941837
2012-03-31,4.12701429
2012-04-30,5.82239349
2012-05-31,5.59908068
2012-06-30,4.02845937
2012-07-31,5.85358946
2012-08-31,4.69618581
2012-09-30,3.59647607
2012-10-31,3.87589723
2012-11-30,3.87868981
2012-12-31,-1.30210196
2013-01-31,-1.43843308
2013-02-28,-0.11682987
2013-03-31,1.9896646
2013-04-30,-1.32596289
2013-05-31,-0.64351926
2013-06-30,-1.91865127
2013-07-31,-4.09785734
2013-08-31,-2.27885276
2013-09-30,-4.00930106
2013-10-31,-3.24513319
2013-11-30,-3.78765706
2013-12-31,-0.60675557
2014-01-31,-1.55535527
2014-02-28,-1.46848433
2014-03-31,-3.42518638
2014-04-30,-0.62446208
2014-05-31,-2.32745155
2014-06-30,-2.92077362
2014-07-31,-3.60671927
2014-08-31,-5.51170186
2014-09-30,-4.19973377
2014-10-31,-3.62514294
2014-11-30,-2.95019675
2014-12-31,-3.09195701
2015-01-31,-1.93672666
2015-02-28,-2.63138853
2015-03-31,-2.04285506
2015-04-30,-1.26550373
2015-05-31,-2.37471902
2015-06-30,0.02922428
2015-07-31,0.21829479
2015-08-31,1.46126518
2015-09-30,0.63405527
2015-10-31,0.44705224
2015-11-30,1.59532168
2015-12-31,2.93090844
2016-01-31,4.72513572
2016-02-29,3.60533441
2016-03-31,2.75120639
2016-04-30,1.11140246
2016-05-31,4.63496805
2016-06-30,3.73108267
2016-07-31,3.28808529
2016-08-31,4.62917227
2016-09-30,3.58544341
2016-10-31,3.20712858
2016-11-30,2.12627754
2016-12-31,1.7604055
2017-01-31,-1.43898416
2017-02-28,1.27786781
2017-03-31,2.92775977
2017-04-30,3.35152942
2017-05-31,1.7954561
2017-06-30,1.14585563
2017-07-31,4.80509915
2017-08-31,3.67523008
2017-09-30,4.92081445
2017-10-31,7.02996059
2017-11-30,7.74779125
2017-12-31,6.49105702
2018-01-31,10.80138241
2018-02-28,9.7427517
2018-03-31,9.93388869
2018-04-30,10.05645126
2018-05-31,8.55671782
2018-06-30,9.37260906
2018-07-31,6.55083474
2018-08-31,10.37929735
2018-09-30,8.2715314
2018-10-31,8.39040381
2018-11-30,9.53270682
2018-12-31,4.1777122
2019-01-31,4.45262856
2019-02-28,6.25395621
2019-03-31,2.92213977
2019-04-30,6.13657488
2019-05-31,5.33667412
2019-06-30,4.77001637
2019-07-31,5.66211001
2019-08-31,2.87061683
2019-09-30,4.9661249
2019-10-31,3.59183274
2019-11-30,2.71268156
2019-12-31,7.86313845
2020-01-31,5.82917724
2020-02-29,7.49274551
2020-03-31,12.16020201
2020-04-30,10.49894617
2020-05-31,13.37420095
2020-06-30,9.04732814
2020-07-31,9.40321597
2020-08-31,9.00428377
2020-09-30,10.60125485
2020-10-31,11.90678259
2020-11-30,11.78791812
2020-12-31,11.72513569
2021-01-31,12.428127
2021-02-28,8.6077973
2021-03-31,8.42625126
2021-04-30,7.09042342
2021-05-31,5.28068746
2021-06-30,11.19376578
2021-07-31,11.86960831
2021-08-31,12.82863096
2021-09-30,10.67520236
2021-10-31,11.2861119
2021-11-30,10.51443536
2021-12-31,13.92017238
2022-01-31,12.69189262
2022-02-28,14.25454501
2022-03-31,12.37382159
2022-04-30,13.68011249
2022-05-31,15.37892393
2022-06-30,15.82227403
2022-07-31,18.10093582
2022-08-31,16.06709901
2022-09-30,16.74407023
2022-10-31,13.05591786
2022-11-30,13.40950929
2022-12-31,12.64767003
2023-01-31,13.31277181
2023-02-28,13.54500683
2023-03-31,12.79655114
2023-04-30,12.77741142
2023-05-31,13.3521051
2023-06-30,10.41684332
2023-07-31,7.33124291
2023-08-31,7.24180141
2023-09-30,10.29426126
