Date,Bank Lending yryr%
1997-12-31,35.00621478
1998-01-31,43.99754184
1998-02-28,36.00414569
1998-03-31,32.49728116
1998-04-30,29.79943254
1998-05-31,38.82836464
1998-06-30,36.90595596
1998-07-31,34.34940352
1998-08-31,34.00008678
1998-09-30,30.50945988
1998-10-31,39.01573705
1998-11-30,29.37979844
1998-12-31,40.18385389
1999-01-31,33.06630886
1999-02-28,34.09498099
1999-03-31,35.33361596
1999-04-30,35.65130215
1999-05-31,31.44990014
1999-06-30,28.83612352
1999-07-31,27.23529676
1999-08-31,26.54131361
1999-09-30,25.3000638
1999-10-31,18.30340064
1999-11-30,22.74851525
1999-12-31,14.80677596
2000-01-31,14.35508532
2000-02-29,13.05765055
2000-03-31,16.48947855
2000-04-30,14.12785682
2000-05-31,13.10411449
2000-06-30,20.18747005
2000-07-31,16.93185192
2000-08-31,15.40183436
2000-09-30,18.11655537
2000-10-31,19.92326295
2000-11-30,16.5992381
2000-12-31,18.49356908
2001-01-31,16.0323399
2001-02-28,12.96038002
2001-03-31,10.87395999
2001-04-30,9.6165404
2001-05-31,8.12279432
2001-06-30,2.98674205
2001-07-31,6.48242812
2001-08-31,9.28763064
2001-09-30,6.59542632
2001-10-31,3.71354202
2001-11-30,6.71189681
2001-12-31,7.1862053
2002-01-31,2.79445049
2002-02-28,10.77340024
2002-03-31,5.01267922
2002-04-30,1.6902904
2002-05-31,3.14238711
2002-06-30,7.11271176
2002-07-31,2.85355178
2002-08-31,0.6895155
2002-09-30,2.90818603
2002-10-31,1.83858979
2002-11-30,-0.23393395
2002-12-31,0.79430068
2003-01-31,6.92704216
2003-02-28,2.16409794
2003-03-31,6.29496615
2003-04-30,7.68417052
2003-05-31,8.62465618
2003-06-30,2.48612541
2003-07-31,6.26834324
2003-08-31,3.47319097
2003-09-30,3.27663818
2003-10-31,7.09471261
2003-11-30,6.47343355
2003-12-31,5.20088686
2004-01-31,1.83460573
2004-02-29,4.57909895
2004-03-31,3.63684138
2004-04-30,6.0777895
2004-05-31,3.96957303
2004-06-30,4.29825446
2004-07-31,2.64448245
2004-08-31,7.12340638
2004-09-30,4.3025087
2004-10-31,7.07845847
2004-11-30,5.14526535
2004-12-31,4.24231391
2005-01-31,6.45325188
2005-02-28,5.40465139
2005-03-31,8.34556358
2005-04-30,11.03281641
2005-05-31,11.73905204
2005-06-30,11.42454606
2005-07-31,12.60996022
2005-08-31,11.6935569
2005-09-30,14.1134215
2005-10-31,8.24922621
2005-11-30,13.97557285
2005-12-31,13.79929685
2006-01-31,13.54847055
2006-02-28,14.09502939
2006-03-31,12.51044454
2006-04-30,10.44857888
2006-05-31,13.12721912
2006-06-30,14.35072985
2006-07-31,13.66340307
2006-08-31,14.35522796
2006-09-30,16.49038484
