,Consumer Price Index: YoY: Monthly: Egypt
Region,Egypt
Subnational,
Frequency,Monthly
Unit,%
Source,CEIC Data
Status,Active
Series ID,204954402
SR Code,SR196974947
Trade Code,
Mnemonic,EG.CPI.FI.YOY-M
Function Description,
First Obs. Date,1958-01
Last Obs. Date,2023-09
Last Update Time,10/10/2023
Series remarks,
Suggestions,
Mean,9.695163386223065
Variance,58.217765856739675
Standard Deviation,7.63005674007341
Skewness,0.842619766428228
Kurtosis,0.7458746979952107
Coefficient Variation,0.7869961996634122
Min,-4.22489438
Max,38
Median,9.24512299
No. of Obs,789
1958-01,1.70739873
1958-02,0.66644452
1958-03,0.53103219
1958-04,1.03092783
1958-05,0.83584086
1958-06,1.07274556
1958-07,-0.23155805
1958-08,-0.39656312
1958-09,-0.52718287
1958-10,-0.78636959
1958-11,-1.3438217
1958-12,-1.34206219
1959-01,-0.32916392
1959-02,0.76133731
1959-03,0.42918455
1959-04,-0.13166557
1959-05,-0.33156499
1959-06,-0.53067993
1959-07,-0.16578249
1959-08,0.2322495
1959-09,0.72871812
1959-10,0.89167768
1959-11,0.96345515
1959-12,0.69674851
1960-01,0.82562748
1960-02,0.19710907
1960-03,0.26298488
1960-04,0.09887937
1960-05,0.96473719
1960-06,0.30010003
1960-07,0.46496181
1960-08,0.19860973
1960-09,-0.19730352
1960-10,-0.42553191
1960-11,0.5923001
1960-12,0.72487644
1961-01,-0.03275467
1961-02,0.13114754
1961-03,-0.09836066
1961-04,0.62561739
1961-05,0.52718287
1961-06,1.52925532
1961-07,1.15702479
1961-08,1.65180046
1961-09,1.0214168
1961-10,1.11768573
1961-11,-0.45796533
1961-12,1.17762512
1962-01,-1.63826999
1962-02,-2.03012443
1962-03,-2.03478832
1962-04,-3.10863874
1962-05,-2.78597181
1962-06,-3.43811395
1962-07,-3.33333333
1962-08,-4.22489438
1962-09,-3.2615786
1962-10,-3.3810143
1962-11,-2.56325994
1962-12,-4.20303912
1963-01,-1.09926716
1963-02,-0.73529412
1963-03,0.33500838
1963-04,1.24957785
1963-05,0.77545516
1963-06,0.6442862
1963-07,0.6423259
1963-08,1.2894469
1963-09,1.07889413
1963-10,1.21130552
1963-11,1.55143339
1963-12,2.05872427
1964-01,2.2229707
1964-02,2.62626263
1964-03,1.66944908
1964-04,1.90126751
1964-05,2.60956842
1964-06,3.9083558
1964-07,3.6614041
1964-08,3.4840871
1964-09,3.36891261
1964-10,3.52393617
1964-11,2.88940551
1964-12,11.97089947
1965-01,12.71828666
