,Consumer Price Index: YoY: Monthly: Hungary
Region,Hungary
Subnational,
Frequency,Monthly
Unit,%
Source,CEIC Data
Status,Active
Series ID,366737187
SR Code,SR196975047
Trade Code,
Mnemonic,HU.CPI.SPCL-EXT.YOY-M
Function Description,
First Obs. Date,1977-01
Last Obs. Date,2023-09
Last Update Time,10/10/2023
Series remarks,
Suggestions,
Mean,9.717303288128342
Variance,71.68843508804757
Standard Deviation,8.466902331316192
Skewness,1.264877783621819
Kurtosis,0.825842362272645
Coefficient Variation,0.8713222259575073
Min,-1.4
Max,38.57664468
Median,6.5
No. of Obs,561
1977-01,5.16597234
1977-02,5.00481232
1977-03,5.08637236
1977-04,4.99040307
1977-05,5.05243089
1977-06,5.14285714
1977-07,2.78810409
1977-08,2.91902072
1977-09,2.2556391
1977-10,2.73843248
1977-11,2.84090909
1977-12,3.04471931
1978-01,3.66636114
1978-02,4.12465628
1978-03,4.01826484
1978-04,4.11334552
1978-05,4.53720508
1978-06,4.25724638
1978-07,4.97287523
1978-08,6.03842635
1978-09,5.60661765
1978-10,4.96323529
1978-11,5.06445672
1978-12,4.89381348
1979-01,5.30503979
1979-02,5.36971831
1979-03,5.17998244
1979-04,5.17998244
1979-05,5.20833333
1979-06,5.73414422
1979-07,6.89061154
1979-08,12.94219155
1979-09,13.31592689
1979-10,14.01050788
1979-11,14.28571429
1979-12,14.26056338
1980-01,12.51049538
1980-02,11.78995355
1980-03,12.79172529
1980-04,13.26101587
1980-05,11.02495334
1980-06,11.49276665
1980-07,8.73252321
1980-08,2.36822002
1980-09,2.91858679
1980-10,3.3504174
1980-11,3.0481732
1980-12,4.39083571
1981-01,3.7762371
1981-02,4.34173952
1981-03,5.40913421
1981-04,3.31492649
1981-05,3.89971945
1981-06,3.17681991
1981-07,4.30555799
1981-08,4.89512125
1981-09,5.03496622
1981-10,4.87464312
1981-11,6.27616485
1981-12,6.63899731
1982-01,6.06467869
1982-02,5.10069127
1982-03,3.81579727
1982-04,5.74865801
1982-05,5.76406967
1982-06,7.09503844
1982-07,6.25833022
1982-08,7.19997685
1982-09,9.05458274
1982-10,9.1633452
1982-11,8.26770615
1982-12,8.43061828
1983-01,8.25922024
1983-02,8.81225775
1983-03,8.74524569
1983-04,8.34386363
1983-05,8.36503624
1983-06,7.24999155
1983-07,7.64410522
1983-08,6.96519339
1983-09,6.22710464
1983-10,6.08273643
1983-11,5.69697712
1983-12,5.26316125
1984-01,5.86853382
1984-02,8.21594735
1984-03,8.74126461
1984-04,9.33489479
1984-05,9.35670763
1984-06,9.32401421
1984-07,10.47730123
1984-08,9.06975469
1984-09,8.0459843
1984-10,7.56880191
1984-11,7.79815522
1984-12,7.84090695
1985-01,7.20621564
1985-02,7.15836627
1985-03,6.96678069
1985-04,6.83032846
1985-05,6.63101991
1985-06,6.50319453
1985-07,6.00632663
1985-08,6.28997908
1985-09,6.91490076
1985-10,7.3560753
1985-11,7.65957656
1985-12,7.79767899
1986-01,7.23887009
1986-02,5.36436622
1986-03,5.2104078
1986-04,5.19479204
1986-05,4.91474634
1986-06,4.20421126
1986-07,4.47315281
1986-08,5.01505421
1986-09,5.27362605
1986-10,5.56106993
1986-11,5.73121894
1986-12,5.37633455
1987-01,5.68948964
1987-02,5.95579772
1987-03,5.42857578
1987-04,6.5527054
1987-05,8.69980021
1987-06,9.12584141
1987-07,9.89533051
1987-08,10.50618894
1987-09,10.11341766
1987-10,10.44215048
1987-11,10.56075006
1987-12,10.94619804
1988-01,17.79197323
1988-02,17.76972842
1988-03,17.79584267
1988-04,16.93404906
1988-05,14.8636919
1988-06,13.38027033
1988-07,14.80520669
1988-08,14.95247226
1988-09,15.36482076
1988-10,15.41737061
1988-11,15.1310214
1988-12,14.79933278
1989-01,11.92873908
1989-02,15.24249805
1989-03,15.64416672
1989-04,16.69207945
1989-05,17.22817344
1989-06,19.17702499
1989-07,17.9487152
1989-08,19.02256612
1989-09,18.08034048
1989-10,18.37638653
1989-11,18.06168822
1989-12,18.13547244
1990-01,22.69896221
1990-02,24.31534481
1990-03,25.99471984
1990-04,26.58392866
1990-05,26.84523716
1990-06,26.31920262
1990-07,27.87723843
1990-08,29.1219056
1990-09,31.0649315
1990-10,31.42140977
1990-11,33.58210681
1990-12,33.35386359
1991-01,34.06659139
1991-02,33.15417394
1991-03,34.31578888
1991-04,35.81013853
1991-05,36.92064885
1991-06,38.57664468
1991-07,38.19999964
1991-08,34.19769428
1991-09,34.03845907
1991-10,33.91840747
1991-11,32.82118255
1991-12,32.22375189
1992-01,28.18679341
1992-02,26.27012243
1992-03,24.80226678
1992-04,22.52812907
1992-05,23.23897869
1992-06,22.62442181
1992-07,19.49771305
1992-08,21.43296273
1992-09,22.26975605
1992-10,23.79929174
1992-11,24.45972023
1992-12,25.55324733
1993-01,25.9
1993-02,24.7
1993-03,23.4
1993-04,22.8
1993-05,21.3
1993-06,20.9
1993-07,21.3
1993-08,22.3
1993-09,23
1993-10,22
1993-11,21
1993-12,21.1
1994-01,17
1994-02,16.6
1994-03,16.8
1994-04,17.3
1994-05,18.3
1994-06,19.2
1994-07,20
1994-08,19.5
1994-09,18.9
1994-10,19.5
1994-11,21
1994-12,21.2
1995-01,22.1
1995-02,23.8
1995-03,27.5
1995-04,29.2
1995-05,30.8
1995-06,31
1995-07,30.5
1995-08,29.2
1995-09,28.8
1995-10,29
1995-11,28.7
1995-12,28.3
1996-01,28.9
1996-02,28.3
1996-03,25.6
1996-04,24.4
1996-05,23.9
1996-06,23.6
1996-07,23
1996-08,22.9
1996-09,22.2
1996-10,21
1996-11,20.1
1996-12,19.8
1997-01,18.9
1997-02,18.8
1997-03,18.8
1997-04,18.6
1997-05,17.7
1997-06,18.7
1997-07,18.1
1997-08,18
1997-09,17.98
1997-10,17.71
1997-11,18.17
1997-12,18.42
1998-01,17.67
1998-02,17.11
1998-03,16.41
1998-04,15.96
1998-05,15.83
1998-06,14.19
1998-07,14.1
1998-08,13.45
1998-09,12.54
1998-10,12.28
1998-11,11.23
1998-12,10.31
1999-01,9.81
1999-02,9.42
1999-03,9.27
1999-04,9.44
1999-05,8.9
1999-06,9.09
1999-07,10.05
1999-08,10.93
1999-09,10.88
1999-10,10.54
1999-11,10.64
1999-12,11.18
2000-01,10.02
2000-02,9.81
2000-03,9.57
2000-04,9.21
2000-05,9.05
2000-06,9.12
2000-07,9.57
2000-08,9.62
2000-09,10.32
2000-10,10.41
2000-11,10.57
2000-12,10.08
2001-01,10.13
2001-02,10.44
2001-03,10.47
2001-04,10.34
2001-05,10.77
2001-06,10.5
2001-07,9.42
2001-08,8.73
2001-09,7.98
2001-10,7.57
2001-11,7.1
2001-12,6.82
2002-01,6.6
2002-02,6.2
2002-03,5.9
2002-04,6.1
2002-05,5.6
2002-06,4.8
2002-07,4.6
2002-08,4.5
2002-09,4.6
2002-10,4.9
2002-11,4.8
2002-12,4.8
2003-01,4.7
2003-02,4.5
2003-03,4.7
2003-04,3.9
2003-05,3.6
2003-06,4.3
2003-07,4.7
2003-08,4.7
2003-09,4.7
2003-10,4.9
2003-11,5.6
2003-12,5.7
2004-01,6.6
2004-02,7.1
2004-03,6.7
2004-04,6.9
2004-05,7.6
2004-06,7.5
2004-07,7.2
2004-08,7.2
2004-09,6.6
2004-10,6.3
2004-11,5.8
2004-12,5.5
2005-01,4.1
2005-02,3.2
2005-03,3.5
2005-04,3.9
2005-05,3.6
2005-06,3.8
2005-07,3.7
2005-08,3.6
2005-09,3.7
2005-10,3.2
2005-11,3.3
2005-12,3.3
2006-01,2.7
2006-02,2.5
2006-03,2.3
2006-04,2.3
2006-05,2.8
2006-06,2.8
2006-07,3
2006-08,3.5
2006-09,5.9
2006-10,6.3
2006-11,6.4
2006-12,6.5
2007-01,7.8
2007-02,8.8
2007-03,9
2007-04,8.8
2007-05,8.5
2007-06,8.6
2007-07,8.4
2007-08,8.3
2007-09,6.4
2007-10,6.7
2007-11,7.1
2007-12,7.4
2008-01,7.1
2008-02,6.9
2008-03,6.7
2008-04,6.6
2008-05,7
2008-06,6.7
2008-07,6.7
2008-08,6.5
2008-09,5.7
2008-10,5.1
2008-11,4.2
2008-12,3.5
2009-01,3.1
2009-02,3
2009-03,2.9
2009-04,3.4
2009-05,3.8
2009-06,3.7
2009-07,5.1
2009-08,5
2009-09,4.9
2009-10,4.7
2009-11,5.2
2009-12,5.6
2010-01,6.4
2010-02,5.7
2010-03,5.9
2010-04,5.7
2010-05,5.1
2010-06,5.3
2010-07,4
2010-08,3.7
2010-09,3.8
2010-10,4.2
2010-11,4.2
2010-12,4.7
2011-01,4
2011-02,4.1
2011-03,4.5
2011-04,4.7
2011-05,3.9
2011-06,3.5
2011-07,3.1
2011-08,3.6
2011-09,3.6
2011-10,3.9
2011-11,4.3
2011-12,4.1
2012-01,5.5
2012-02,5.9
2012-03,5.5
2012-04,5.7
2012-05,5.3
2012-06,5.6
2012-07,5.8
2012-08,6
2012-09,6.6
2012-10,6
2012-11,5.2
2012-12,5
2013-01,3.7
2013-02,2.8
2013-03,2.2
2013-04,1.7
2013-05,1.8
2013-06,1.9
2013-07,1.8
2013-08,1.3
2013-09,1.4
2013-10,0.9
2013-11,0.9
2013-12,0.4
2014-01,0
2014-02,0.1
2014-03,0.1
2014-04,-0.1
2014-05,-0.1
2014-06,-0.3
2014-07,0.1
2014-08,0.2
2014-09,-0.5
2014-10,-0.4
2014-11,-0.7
2014-12,-0.9
2015-01,-1.4
2015-02,-1
2015-03,-0.6
2015-04,-0.3
2015-05,0.5
2015-06,0.6
2015-07,0.4
2015-08,0
2015-09,-0.4
2015-10,0.1
2015-11,0.5
2015-12,0.9
2016-01,0.9
2016-02,0.3
2016-03,-0.2
2016-04,0.2
2016-05,-0.2
2016-06,-0.2
2016-07,-0.3
2016-08,-0.1
2016-09,0.6
2016-10,1
2016-11,1.1
2016-12,1.8
2017-01,2.3
2017-02,2.9
2017-03,2.7
2017-04,2.2
2017-05,2.1
2017-06,1.9
2017-07,2.1
2017-08,2.6
2017-09,2.5
2017-10,2.2
2017-11,2.5
2017-12,2.1
2018-01,2.1
2018-02,1.9
2018-03,2
2018-04,2.3
2018-05,2.8
2018-06,3.1
2018-07,3.4
2018-08,3.4
2018-09,3.6
2018-10,3.8
2018-11,3.1
2018-12,2.7
2019-01,2.7
2019-02,3.1
2019-03,3.7
2019-04,3.9
2019-05,3.9
2019-06,3.4
2019-07,3.3
2019-08,3.1
2019-09,2.8
2019-10,2.9
2019-11,3.4
2019-12,4
2020-01,4.7
2020-02,4.4
2020-03,3.9
2020-04,2.4
2020-05,2.2
2020-06,2.9
2020-07,3.8
2020-08,3.9
2020-09,3.4
2020-10,3
2020-11,2.7
2020-12,2.7
2021-01,2.7
2021-02,3.1
2021-03,3.7
2021-04,5.1
2021-05,5.1
2021-06,5.3
2021-07,4.6
2021-08,4.9
2021-09,5.5
2021-10,6.5
2021-11,7.4
2021-12,7.4
2022-01,7.9
2022-02,8.3
2022-03,8.5
2022-04,9.5
2022-05,10.7
2022-06,11.7
2022-07,13.7
2022-08,15.6
2022-09,20.1
2022-10,21.1
2022-11,22.5
2022-12,24.5
