,Consumer Price Index: YoY: Monthly: Poland
Region,Poland
Subnational,
Frequency,Monthly
Unit,%
Source,CEIC Data
Status,Active
Series ID,212329002
SR Code,SR196975497
Trade Code,
Mnemonic,PL.CPI.SPCL.YOY-M
Function Description,
First Obs. Date,1989-01
Last Obs. Date,2023-09
Last Update Time,16/10/2023
Series remarks,
Suggestions,
Mean,39.83896163069545
Variance,23727.314181032176
Standard Deviation,154.03672997383507
Skewness,5.884048074606232
Kurtosis,35.50802181461386
Coefficient Variation,3.866484558552138
Min,-1.6
Max,1183.1
Median,4.2
No. of Obs,417
1989-01,83.2
1989-02,70.3
1989-03,74.2
1989-04,77.8
1989-05,85.4
1989-06,91.3
1989-07,103.9
1989-08,182.7
1989-09,269.2
1989-10,457.1
1989-11,557
1989-12,639.6
1990-01,1007.6
1990-02,1183.1
1990-03,1132.8
1990-04,1102.9
1990-05,1076.5
1990-06,1051.2
1990-07,994
1990-08,748.5
1990-09,558
1990-10,356
1990-11,285.9
1990-12,249.3
1991-01,94.9
1991-02,80
1991-03,81.8
1991-04,71
1991-05,67.8
1991-06,72.4
1991-07,68.3
1991-08,67.6
1991-09,67.1
1991-10,64.8
1991-11,62.7
1991-12,60.4
1992-01,45.4
1992-02,40.1
1992-03,38.1
1992-04,40.2
1992-05,43.2
1992-06,39
1992-07,41.3
1992-08,44.3
1992-09,46.5
1992-10,46.4
1992-11,45.4
1992-12,44.3
1993-01,37.5
1993-02,39.7
1993-03,39.7
1993-04,38.1
1993-05,35.8
1993-06,34.3
1993-07,34.8
1993-08,34.4
1993-09,31
1993-10,29.8
1993-11,33
1993-12,37.6
1994-01,32.4
1994-02,29.9
1994-03,30.2
1994-04,31.2
1994-05,31.2
1994-06,32.7
1994-07,32.8
1994-08,32.2
1994-09,34.6
1994-10,36.1
1994-11,33.5
1994-12,29.5
1995-01,32.3
1995-02,33.6
1995-03,33.1
1995-04,32.4
1995-05,32.3
1995-06,30.3
1995-07,27.6
1995-08,25.7
1995-09,24.2
1995-10,22.4
1995-11,22
1995-12,21.6
1996-01,21
1996-02,20.4
1996-03,20.4
1996-04,20.3
1996-05,19.8
1996-06,19.5
1996-07,20.4
1996-08,20.5
1996-09,19.5
1996-10,19.5
1996-11,19.1
1996-12,18.5
1997-01,17.8
1997-02,17.3
1997-03,16.6
1997-04,15.3
1997-05,14.6
1997-06,15.3
1997-07,14.9
1997-08,14.5
1997-09,13.6
1997-10,13.1
1997-11,13.2
1997-12,13.2
1998-01,13.567
1998-02,14.247
1998-03,13.915
1998-04,13.687
1998-05,13.329
1998-06,12.169
1998-07,11.889
1998-08,11.25
1998-09,10.556
1998-10,9.858
1998-11,9.219
1998-12,8.598
1999-01,6.886
1999-02,5.642
1999-03,6.153
1999-04,6.277
1999-05,6.444
1999-06,6.536
1999-07,6.277
1999-08,7.205
1999-09,8.003
1999-10,8.68
1999-11,9.205
1999-12,9.764
2000-01,10.099
2000-02,10.437
2000-03,10.251
2000-04,9.816
2000-05,9.958
2000-06,10.242
2000-07,11.612
2000-08,10.658
2000-09,10.271
2000-10,9.861
2000-11,9.294
2000-12,8.492
2001-01,7.4
2001-02,6.6
2001-03,6.2
2001-04,6.6
2001-05,6.9
2001-06,6.2
2001-07,5.2
2001-08,5.1
2001-09,4.3
2001-10,4
2001-11,3.6
2001-12,3.6
2002-01,3.4
2002-02,3.5
2002-03,3.3
2002-04,3
2002-05,1.9
2002-06,1.6
2002-07,1.3
2002-08,1.2
2002-09,1.3
2002-10,1.1
2002-11,0.9
2002-12,0.8
2003-01,0.5
2003-02,0.5
2003-03,0.6
2003-04,0.3
2003-05,0.4
2003-06,0.8
2003-07,0.8
2003-08,0.7
2003-09,0.9
2003-10,1.3
2003-11,1.6
2003-12,1.7
2004-01,1.6
2004-02,1.6
2004-03,1.7
2004-04,2.2
2004-05,3.4
2004-06,4.4
2004-07,4.6
2004-08,4.6
2004-09,4.4
2004-10,4.5
2004-11,4.5
2004-12,4.4
2005-01,3.7
2005-02,3.6
2005-03,3.4
2005-04,3
2005-05,2.5
2005-06,1.4
