,Consumer Price Index: YoY: Monthly: Romania
Region,Romania
Subnational,
Frequency,Monthly
Unit,%
Source,CEIC Data
Status,Active
Series ID,238553003
SR Code,SR196975527
Trade Code,
Mnemonic,RO.CPI.SPCL.YOY-M
Function Description,
First Obs. Date,1991-10
Last Obs. Date,2023-09
Last Update Time,12/10/2023
Series remarks,
Suggestions,
Mean,38.786476485494795
Variance,4625.0430915061925
Standard Deviation,68.00766935799368
Skewness,2.3694412192675207
Kurtosis,4.7090963305565365
Coefficient Variation,1.7533861159939832
Min,-3.46
Max,316.97021277
Median,8.605
No. of Obs,384
1991-10,252.6
1991-11,216.85575365
1991-12,222.80319535
1992-01,235.98987982
1992-02,269.03073286
1992-03,264.35698448
1992-04,201.48992112
1992-05,221.64303586
1992-06,228.87525562
1992-07,209.89914083
1992-08,188.17204301
1992-09,195.71070758
1992-10,193.53374929
1992-11,200.51150895
1992-12,199.21259843
1993-01,179.17921687
1993-02,157.04676489
1993-03,166.54495664
1993-04,180.0872093
1993-05,225.87838714
1993-06,229.69779878
1993-07,261.70443587
1993-08,287.7681903
1993-09,290.58761249
1993-10,314.61835749
1993-11,316.97021277
1993-12,295.48120301
1994-01,272.0229265
1994-02,263.96261682
1994-03,261.21004566
1994-04,248.12662169
1994-05,180.18301174
1994-06,172.46803214
1994-07,144.5262772
1994-08,124.56773418
1994-09,110.40362148
1994-10,88.83089041
1994-11,70.09633833
1994-12,61.7654328
1995-01,57.29821827
1995-02,50.64023555
1995-03,40.30402629
1995-04,34.47319778
1995-05,29.57088493
1995-06,27.98543622
1995-07,29.24156729
1995-08,28.21371184
1995-09,25.31950528
1995-10,24.31355127
1995-11,25.80726448
1995-12,27.72926534
1996-01,26.74832629
1996-02,27.35743994
1996-03,28.39959455
1996-04,28.83604922
1996-05,34.17023748
1996-06,33.80458415
1996-07,40.2537145
1996-08,44.17336815
1996-09,45.32398507
1996-10,45.0876061
1996-11,47.43523711
1996-12,56.89955006
1997-01,76.24640896
1997-02,105.4509601
1997-03,163.99312317
1997-04,176.82816654
1997-05,173.99308987
1997-06,177.40681159
1997-07,159.78541999
1997-08,159.10421164
1997-09,161.39953735
1997-10,169.20782189
1997-11,165.40494381
1997-12,151.42036125
1998-01,131.91567284
1998-02,109.30281039
1998-03,66.13659924
1998-04,59.64915552
1998-05,56.61371245
1998-06,55.01974326
1998-07,56.01620722
1998-08,51.67201125
1998-09,50.78250798
1998-10,47.09956336
1998-11,43.77301922
1998-12,40.56987978
1999-01,38.07665019
1999-02,32.51681793
