,Total Loans: YoY: Monthly: Egypt
Region,Egypt
Subnational,
Frequency,Monthly
Unit,%
Source,CEIC Data
Status,Active
Series ID,389773487
SR Code,SR197276557
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,04/1997
Last Obs. Date,07/2023
Last Update Time,31/10/2023
Series remarks,
Suggestions,
Mean,14.50119141531646
Variance,141.7246693614499
Standard Deviation,11.904817065434056
Skewness,1.8348015549195666
Kurtosis,4.187373639268487
Coefficient Variation,0.8209544115706203
Min,0.42670408
Max,69.57029082
Median,10.6789267
No. of Obs,316
04/1997,19.56033528
05/1997,19.65907318
06/1997,18.1353143
07/1997,17.38175249
08/1997,13.96795333
09/1997,11.38516106
10/1997,11.72562347
11/1997,11.92542407
12/1997,11.08578939
01/1998,10.99394273
02/1998,11.42482879
03/1998,10.71003703
04/1998,10.75292997
05/1998,10.74527804
06/1998,13.26705609
07/1998,13.22777546
08/1998,16.94120932
09/1998,19.16778164
10/1998,18.73314662
11/1998,18.20756044
12/1998,18.86712899
01/1999,18.48287153
02/1999,18.37790096
03/1999,19.04063362
04/1999,19.22796708
05/1999,18.74838102
06/1999,18.41977027
07/1999,18.61854079
08/1999,18.2335988
09/1999,17.89234949
10/1999,17.16815421
11/1999,16.4645192
12/1999,15.65803893
01/2000,15.01392262
02/2000,14.24300585
03/2000,13.01929084
04/2000,12.400577
05/2000,11.42950631
06/2000,11.09233241
07/2000,8.1707169
08/2000,7.70073993
09/2000,7.67842517
10/2000,7.39745396
11/2000,7.37537086
12/2000,6.53062532
01/2001,6.22824143
02/2001,6.21652907
03/2001,6.44291387
04/2001,6.24170046
05/2001,6.39749066
06/2001,6.47999118
07/2001,9.27539354
08/2001,10.44194456
09/2001,10.5329259
10/2001,9.94127828
11/2001,9.776273
12/2001,10.74077257
01/2002,11.23434735
02/2002,10.64781637
03/2002,10.61696962
04/2002,10.58817115
05/2002,10.76277813
06/2002,10.19961072
07/2002,9.10834802
08/2002,7.65962951
09/2002,7.16111816
10/2002,6.20799315
11/2002,5.92264636
12/2002,3.7679405
01/2003,6.22527932
02/2003,6.88912479
03/2003,7.32822682
04/2003,7.83278528
05/2003,7.30301234
06/2003,6.99814731
07/2003,7.37253455
08/2003,7.27348499
09/2003,7.28328965
10/2003,8.27636673
11/2003,8.14587835
12/2003,9.08023542
01/2004,5.92389827
02/2004,4.97402379
03/2004,4.15210908
04/2004,3.84470636
05/2004,4.17914229
06/2004,4.03131487
07/2004,3.85303151
08/2004,3.67172516
