,Total Loans: YoY: Monthly: Poland
Region,Poland
Subnational,
Frequency,Monthly
Unit,%
Source,CEIC Data
Status,Active
Series ID,389789627
SR Code,SR197277047
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,12/1997
Last Obs. Date,09/2023
Last Update Time,23/10/2023
Series remarks,
Suggestions,
Mean,10.916009677967741
Variance,99.59822585940728
Standard Deviation,9.979891074526178
Skewness,1.252044278756472
Kurtosis,0.6268468361590278
Coefficient Variation,0.9142435165359946
Min,-4.9544919
Max,43.99754184
Median,6.83243375
No. of Obs,310
12/1997,35.00621478
01/1998,43.99754184
02/1998,36.00414569
03/1998,32.49728116
04/1998,29.79943254
05/1998,38.82836464
06/1998,36.90595596
07/1998,34.34940352
08/1998,34.00008678
09/1998,30.50945988
10/1998,39.01573705
11/1998,29.37979844
12/1998,40.18385389
01/1999,33.06630886
02/1999,34.09498099
03/1999,35.33361596
04/1999,35.65130215
05/1999,31.44990014
06/1999,28.83612352
07/1999,27.23529676
08/1999,26.54131361
09/1999,25.3000638
10/1999,18.30340064
11/1999,22.74851525
12/1999,14.80677596
01/2000,14.35508532
02/2000,13.05765055
03/2000,16.48947855
04/2000,14.12785682
05/2000,13.10411449
06/2000,20.18747005
07/2000,16.93185192
08/2000,15.40183436
09/2000,18.11655537
10/2000,19.92326295
11/2000,16.5992381
12/2000,18.49356908
01/2001,16.0323399
02/2001,12.96038002
03/2001,10.87395999
04/2001,9.6165404
05/2001,8.12279432
06/2001,2.98674205
07/2001,6.48242812
08/2001,9.28763064
09/2001,6.59542632
10/2001,3.71354202
11/2001,6.71189681
12/2001,7.1862053
01/2002,2.79445049
02/2002,10.77340024
03/2002,5.01267922
04/2002,1.6902904
05/2002,3.14238711
06/2002,7.11271176
07/2002,2.85355178
08/2002,0.6895155
09/2002,2.90818603
10/2002,1.83858979
11/2002,-0.23393395
12/2002,0.79430068
01/2003,6.92704216
02/2003,2.16409794
03/2003,6.29496615
04/2003,7.68417052
05/2003,8.62465618
06/2003,2.48612541
07/2003,6.26834324
08/2003,3.47319097
09/2003,3.27663818
10/2003,7.09471261
11/2003,6.47343355
12/2003,5.20088686
01/2004,1.83460573
02/2004,4.57909895
03/2004,3.63684138
04/2004,6.0777895
05/2004,3.96957303
06/2004,4.29825446
07/2004,2.64448245
08/2004,7.12340638
09/2004,4.3025087
10/2004,7.07845847
11/2004,5.14526535
12/2004,4.24231391
01/2005,6.45325188
02/2005,5.40465139
03/2005,8.34556358
04/2005,11.03281641
05/2005,11.73905204
06/2005,11.42454606
07/2005,12.60996022
08/2005,11.6935569
09/2005,14.1134215
10/2005,8.24922621
11/2005,13.97557285
12/2005,13.79929685
01/2006,13.54847055
02/2006,14.09502939
03/2006,12.51044454
04/2006,10.44857888
05/2006,13.12721912
06/2006,14.35072985
07/2006,13.66340307
08/2006,14.35522796
09/2006,16.49038484
10/2006,17.32618851
11/2006,19.10336259
12/2006,22.97238058
01/2007,25.73525026
02/2007,25.76234545
03/2007,28.380853
04/2007,28.31460565
05/2007,25.98066927
06/2007,27.51263984
07/2007,30.89420209
08/2007,29.81311558
09/2007,30.4268862
10/2007,28.64484481
11/2007,31.96924704
12/2007,26.96792691
01/2008,28.65660455
02/2008,25.80807393
03/2008,24.70034445
04/2008,24.69200452
05/2008,26.37126169
06/2008,26.32870935
07/2008,23.36229138
08/2008,27.07366891
09/2008,24.80661662
10/2008,33.22645623
11/2008,25.42975467
12/2008,32.55719036
01/2009,32.34420981
02/2009,33.89847254
03/2009,31.79886891
04/2009,26.85538353
05/2009,23.64704263
06/2009,22.59901007
07/2009,18.97204107
08/2009,14.70739763
09/2009,14.74675712
10/2009,9.89810587
11/2009,10.41261843
12/2009,8.75817028
01/2010,2.48765343
02/2010,1.10495206
03/2010,0.16838088
04/2010,4.04201669
05/2010,5.11152681
06/2010,7.63087954
07/2010,8.42348449
08/2010,10.3732317
09/2010,9.49509077
10/2010,8.83267212
11/2010,9.62234418
12/2010,9.88487953
01/2011,11.04601766
02/2011,12.75964369
03/2011,13.48848963
04/2011,11.83272769
