,Total Loans: YoY: Monthly: Romania
Region,Romania
Subnational,
Frequency,Monthly
Unit,%
Source,CEIC Data
Status,Active
Series ID,389789797
SR Code,SR197277077
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/2008
Last Obs. Date,09/2023
Last Update Time,23/10/2023
Series remarks,
Suggestions,
Mean,7.575216764603175
Variance,141.37094615401503
Standard Deviation,11.88995147820272
Skewness,2.37436239915122
Kurtosis,6.341417491526997
Coefficient Variation,1.5695856432466815
Min,-7.84929667
Max,55.34195752
Median,4.62917227
No. of Obs,189
01/2008,52.91964518
02/2008,53.21666769
03/2008,53.76401801
04/2008,55.34195752
05/2008,52.78141153
06/2008,51.81627346
07/2008,46.62627815
08/2008,42.21366237
09/2008,43.00153545
10/2008,40.42401574
11/2008,31.16782922
12/2008,25.65050954
01/2009,27.54975071
02/2009,24.68844142
03/2009,20.90884026
04/2009,17.05872945
05/2009,12.69788658
06/2009,10.89258362
07/2009,9.40611617
08/2009,5.70900627
09/2009,1.90274582
10/2009,4.23436453
11/2009,-0.18541868
12/2009,0.30058721
01/2010,-7.00199872
02/2010,-7.84929667
03/2010,-6.17891004
04/2010,-4.59348975
05/2010,-0.78410655
06/2010,0.79643335
07/2010,-0.04057225
08/2010,2.19028069
09/2010,0.63350052
10/2010,-3.48349234
11/2010,2.538852
12/2010,1.21507699
01/2011,2.03512524
02/2011,2.39453203
03/2011,0.31422636
04/2011,-1.09004119
05/2011,-0.97176497
06/2011,-0.73511953
07/2011,0.81255601
08/2011,-0.11321372
09/2011,3.43301918
10/2011,2.99546862
11/2011,1.79884508
12/2011,2.82783128
01/2012,4.03417908
02/2012,3.55941837
03/2012,4.12701429
04/2012,5.82239349
05/2012,5.59908068
06/2012,4.02845937
07/2012,5.85358946
08/2012,4.69618581
09/2012,3.59647607
10/2012,3.87589723
11/2012,3.87868981
12/2012,-1.30210196
01/2013,-1.43843308
02/2013,-0.11682987
03/2013,1.9896646
04/2013,-1.32596289
05/2013,-0.64351926
06/2013,-1.91865127
07/2013,-4.09785734
08/2013,-2.27885276
09/2013,-4.00930106
10/2013,-3.24513319
11/2013,-3.78765706
12/2013,-0.60675557
01/2014,-1.55535527
02/2014,-1.46848433
03/2014,-3.42518638
04/2014,-0.62446208
05/2014,-2.32745155
06/2014,-2.92077362
07/2014,-3.60671927
08/2014,-5.51170186
09/2014,-4.19973377
10/2014,-3.62514294
11/2014,-2.95019675
12/2014,-3.09195701
01/2015,-1.93672666
02/2015,-2.63138853
03/2015,-2.04285506
04/2015,-1.26550373
05/2015,-2.37471902
06/2015,0.02922428
07/2015,0.21829479
08/2015,1.46126518
09/2015,0.63405527
10/2015,0.44705224
11/2015,1.59532168
12/2015,2.93090844
01/2016,4.72513572
02/2016,3.60533441
03/2016,2.75120639
04/2016,1.11140246
05/2016,4.63496805
06/2016,3.73108267
07/2016,3.28808529
08/2016,4.62917227
09/2016,3.58544341
10/2016,3.20712858
11/2016,2.12627754
12/2016,1.7604055
01/2017,-1.43898416
02/2017,1.27786781
03/2017,2.92775977
04/2017,3.35152942
05/2017,1.7954561
06/2017,1.14585563
07/2017,4.80509915
08/2017,3.67523008
09/2017,4.92081445
10/2017,7.02996059
11/2017,7.74779125
12/2017,6.49105702
01/2018,10.80138241
02/2018,9.7427517
03/2018,9.93388869
04/2018,10.05645126
05/2018,8.55671782
06/2018,9.37260906
07/2018,6.55083474
08/2018,10.37929735
09/2018,8.2715314
10/2018,8.39040381
11/2018,9.53270682
12/2018,4.1777122
01/2019,4.45262856
02/2019,6.25395621
03/2019,2.92213977
04/2019,6.13657488
05/2019,5.33667412
06/2019,4.77001637
07/2019,5.66211001
08/2019,2.87061683
09/2019,4.9661249
10/2019,3.59183274
11/2019,2.71268156
12/2019,7.86313845
01/2020,5.82917724
02/2020,7.49274551
03/2020,12.16020201
04/2020,10.49894617
05/2020,13.37420095
06/2020,9.04732814
07/2020,9.40321597
08/2020,9.00428377
09/2020,10.60125485
10/2020,11.90678259
11/2020,11.78791812
12/2020,11.72513569
01/2021,12.428127
02/2021,8.6077973
03/2021,8.42625126
04/2021,7.09042342
05/2021,5.28068746
06/2021,11.19376578
07/2021,11.86960831
08/2021,12.82863096
09/2021,10.67520236
10/2021,11.2861119
11/2021,10.51443536
12/2021,13.92017238
01/2022,12.69189262
02/2022,14.25454501
03/2022,12.37382159
04/2022,13.68011249
05/2022,15.37892393
06/2022,15.82227403
07/2022,18.10093582
08/2022,16.06709901
09/2022,16.74407023
10/2022,13.05591786
11/2022,13.40950929
12/2022,12.64767003
01/2023,13.31277181
02/2023,13.54500683
03/2023,12.79655114
04/2023,12.77741142
05/2023,13.3521051
06/2023,10.41684332
07/2023,7.33124291
08/2023,7.24180141
09/2023,10.29426126
