,Total Loans: YoY: Quarterly: Hungary
Region,Hungary
Subnational,
Frequency,Monthly
Unit,%
Source,CEIC Data
Status,Active
Series ID,389788117
SR Code,SR197277777
Trade Code,
Mnemonic,
Function Description,DISAGGREGATE(Monthly; Last day of month; Distribute)
First Obs. Date,10/2006
Last Obs. Date,06/2023
Last Update Time,04/09/2023
Series remarks,
Suggestions,
Mean,1.8876999050000014
Variance,13.155733041917873
Standard Deviation,3.6270832692285784
Skewness,0.2642574664449305
Kurtosis,-0.8728751388725686
Coefficient Variation,1.9214300215947597
Min,-4.96603502
Max,8.93076054666667
Median,1.2856846800000001
No. of Obs,192
10/2006,6.69579220333333
11/2006,6.69579220333333
12/2006,6.69579220333333
10/2007,6.07404148
11/2007,6.07404148
12/2007,6.07404148
01/2008,8.93076054666667
02/2008,8.93076054666667
03/2008,8.93076054666667
04/2008,5.92711089333333
05/2008,5.92711089333333
06/2008,5.92711089333333
07/2008,6.58482558666667
08/2008,6.58482558666667
09/2008,6.58482558666667
10/2008,7.25266027666667
11/2008,7.25266027666667
12/2008,7.25266027666667
01/2009,8.34246654666667
02/2009,8.34246654666667
03/2009,8.34246654666667
04/2009,5.46121949
05/2009,5.46121949
06/2009,5.46121949
07/2009,1.87867439333333
08/2009,1.87867439333333
09/2009,1.87867439333333
10/2009,-1.06445515
11/2009,-1.06445515
12/2009,-1.06445515
01/2010,-4.24966845333333
02/2010,-4.24966845333333
03/2010,-4.24966845333333
04/2010,1.21048933333333
05/2010,1.21048933333333
06/2010,1.21048933333333
07/2010,0.42738018
08/2010,0.42738018
09/2010,0.42738018
10/2010,0.76189348
11/2010,0.76189348
12/2010,0.76189348
01/2011,-1.19029978666667
02/2011,-1.19029978666667
03/2011,-1.19029978666667
04/2011,-3.08053780666667
05/2011,-3.08053780666667
06/2011,-3.08053780666667
07/2011,0.44354886333333
08/2011,0.44354886333333
09/2011,0.44354886333333
10/2011,0.358
11/2011,0.358
12/2011,0.358
01/2012,0.09896881666667
02/2012,0.09896881666667
03/2012,0.09896881666667
04/2012,-1.02907017
05/2012,-1.02907017
06/2012,-1.02907017
07/2012,-4.41147107666667
08/2012,-4.41147107666667
09/2012,-4.41147107666667
10/2012,-4.96603502
11/2012,-4.96603502
12/2012,-4.96603502
01/2013,-2.58184750666667
02/2013,-2.58184750666667
03/2013,-2.58184750666667
04/2013,-2.59203513333333
05/2013,-2.59203513333333
06/2013,-2.59203513333333
07/2013,-1.30356732333333
08/2013,-1.30356732333333
09/2013,-1.30356732333333
10/2013,-1.91737893333333
11/2013,-1.91737893333333
12/2013,-1.91737893333333
01/2014,-2.13184693666667
02/2014,-2.13184693666667
03/2014,-2.13184693666667
04/2014,-1.25773295666667
05/2014,-1.25773295666667
06/2014,-1.25773295666667
07/2014,-1.17452047
08/2014,-1.17452047
09/2014,-1.17452047
10/2014,-0.22530423
11/2014,-0.22530423
12/2014,-0.22530423
01/2015,-1.76980000666667
02/2015,-1.76980000666667
03/2015,-1.76980000666667
04/2015,-1.37917629333333
05/2015,-1.37917629333333
06/2015,-1.37917629333333
07/2015,-2.22869503
08/2015,-2.22869503
09/2015,-2.22869503
10/2015,-2.64323885333333
11/2015,-2.64323885333333
12/2015,-2.64323885333333
01/2016,0.56419151
02/2016,0.56419151
03/2016,0.56419151
04/2016,0.31770688666667
05/2016,0.31770688666667
06/2016,0.31770688666667
07/2016,1.96586669
08/2016,1.96586669
09/2016,1.96586669
10/2016,0.00211912333333
11/2016,0.00211912333333
12/2016,0.00211912333333
01/2017,0.77082574
02/2017,0.77082574
03/2017,0.77082574
04/2017,1.78246601666667
05/2017,1.78246601666667
06/2017,1.78246601666667
07/2017,1.88997575
08/2017,1.88997575
09/2017,1.88997575
10/2017,1.36088002666667
11/2017,1.36088002666667
12/2017,1.36088002666667
01/2018,2.44542542333333
02/2018,2.44542542333333
03/2018,2.44542542333333
04/2018,3.377706
05/2018,3.377706
06/2018,3.377706
07/2018,2.60564078333333
08/2018,2.60564078333333
09/2018,2.60564078333333
10/2018,3.36520804
11/2018,3.36520804
12/2018,3.36520804
01/2019,3.7125626
02/2019,3.7125626
03/2019,3.7125626
04/2019,2.87276802333333
05/2019,2.87276802333333
06/2019,2.87276802333333
07/2019,6.27223368666667
08/2019,6.27223368666667
09/2019,6.27223368666667
10/2019,6.84208537333333
11/2019,6.84208537333333
12/2019,6.84208537333333
01/2020,8.91596582
02/2020,8.91596582
03/2020,8.91596582
04/2020,5.52384485
05/2020,5.52384485
06/2020,5.52384485
07/2020,3.41358917666667
08/2020,3.41358917666667
09/2020,3.41358917666667
10/2020,3.47395206
11/2020,3.47395206
12/2020,3.47395206
01/2021,1.05631354333333
02/2021,1.05631354333333
03/2021,1.05631354333333
04/2021,4.17541933
05/2021,4.17541933
06/2021,4.17541933
07/2021,4.70924162333333
08/2021,4.70924162333333
09/2021,4.70924162333333
10/2021,5.42266234333333
11/2021,5.42266234333333
12/2021,5.42266234333333
01/2022,7.08246817333333
02/2022,7.08246817333333
03/2022,7.08246817333333
04/2022,7.95326808666667
05/2022,7.95326808666667
06/2022,7.95326808666667
07/2022,8.34494542
08/2022,8.34494542
09/2022,8.34494542
10/2022,1.95407790666667
11/2022,1.95407790666667
12/2022,1.95407790666667
01/2023,0.35322437666667
02/2023,0.35322437666667
03/2023,0.35322437666667
04/2023,-0.96499141666667
05/2023,-0.96499141666667
06/2023,-0.96499141666667
