date,value,mo12m
2004-03-01,340647,NA
2004-04-01,349390,NA
2004-05-01,345587,NA
2004-06-01,351484,NA
2004-07-01,350945,NA
2004-08-01,354859,NA
2004-09-01,354378,NA
2004-10-01,373500,NA
2004-11-01,359696,NA
2004-12-01,371270,NA
2005-01-01,377234,NA
2005-02-01,382284,NA
2005-03-01,391183,14.835298710982336
2005-04-01,397641,13.810068977360542
2005-05-01,405245,17.26280213086719
2005-06-01,404858,15.185328492904372
2005-07-01,403389,14.943652139224096
2005-08-01,409915,15.514894648296929
2005-09-01,414129,16.860809643939522
2005-10-01,422355,13.080321285140561
2005-11-01,421693,17.2359436857791
2005-12-01,427121,15.043229994343738
2006-01-01,422117,11.897920123848857
2006-02-01,431533,12.882830565757395
2006-03-01,433717,10.873171891416549
2006-04-01,438928,10.382983646052596
2006-05-01,449315,10.874902836555664
2006-06-01,454384,12.23293105236898
2006-07-01,456528,13.173140566549906
2006-08-01,463244,13.009770318236708
2006-09-01,469491,13.36829828386807
2006-10-01,476372,12.789478045719832
2006-11-01,483259,14.59972064985665
2006-12-01,495308,15.964328609457274
2007-01-01,503573,19.29701954671335
2007-02-01,509353,18.033383310198758
2007-03-01,511981,18.04494635903135
2007-04-01,516999,17.786744067364122
2007-05-01,521239,16.007478049920433
2007-06-01,521381,14.744577273847671
2007-07-01,527692,15.58809098237129
2007-08-01,538037,16.145487043545085
2007-09-01,537330,14.449478264759069
2007-10-01,541940,13.764033150563005
2007-11-01,548957,13.59478043864677
2007-12-01,561624,13.388840882844613
2008-01-01,568638,12.920668900040312
2008-02-01,577953,13.468066350841164
2008-03-01,581825,13.641912492846414
2008-04-01,594317,14.955154652136658
2008-05-01,600134,15.136050832727406
2008-06-01,606585,16.341984076903454
2008-07-01,616093,16.752385861449483
2008-08-01,628647,16.84084923527564
2008-09-01,630462,17.33236558539445
2008-10-01,635740,17.30818909842418
2008-11-01,648297,18.09613503425587
2008-12-01,666230,18.625628534393115
2009-01-01,668851,17.623338573925768
2009-02-01,680926,17.81684669860698
2009-03-01,683674,17.505091737206204
2009-04-01,680027,14.421596555373647
2009-05-01,685394,14.2068271419383
2009-06-01,693692,14.360229811155897
2009-07-01,689427,11.903073075006533
2009-08-01,685391,9.026369329687409
2009-09-01,691270,9.64499049903087
2009-10-01,711195,11.868845754553748
2009-11-01,699861,7.953761933188029
2009-12-01,720230,8.105308977380185
2010-01-01,711032,6.306486796012864
2010-02-01,715594,5.091302138558375
2010-03-01,721507,5.533777794679921
2010-04-01,721224,6.058141809075228
2010-05-01,737851,7.65355401418746
2010-06-01,742767,7.0744653246685845
2010-07-01,743273,7.810254022543359
2010-08-01,749565,9.363122655535308
2010-09-01,752867,8.910700594557843
2010-10-01,756555,6.3779975955961445
2010-11-01,763353,9.072087171595502
2010-12-01,783648,8.8052427696708
2011-01-01,769159,8.1750188458466
2011-02-01,775999,8.44123902659888
2011-03-01,801196,11.044799288156595
2011-04-01,790249,9.570535644959126
2011-05-01,795503,7.813501641930417
2011-06-01,797346,7.348064736317042
2011-07-01,799125,7.514331880749065
2011-08-01,815792,8.83539119355893
2011-09-01,829476,10.17563527156855
2011-10-01,835655,10.455287454315945
2011-11-01,853345,11.78904124304221
2011-12-01,881498,12.486473518722692
2012-01-01,874634,13.713029425645413
2012-02-01,872118,12.386485034130198
2012-03-01,874494,9.148572883539108
2012-04-01,870705,10.181094819480949
2012-05-01,884146,11.143012659914545
2012-06-01,884719,10.957978092321277
2012-07-01,886870,10.980134522133584
2012-08-01,895530,9.774305215054818
2012-09-01,892680,7.6197503001895175
2012-10-01,902437,7.991575470738522
2012-11-01,901840,5.682930116189818
2012-12-01,921412,4.527973971580196
2013-01-01,913433,4.436026955275007
2013-02-01,920260,5.520124570298973
2013-03-01,932005,6.5764888038111184
2013-04-01,935228,7.410431776548888
2013-05-01,941786,6.519285276413624
2013-06-01,946584,6.9926157344874476
2013-07-01,945074,6.562855886432059
2013-08-01,949982,6.080421649749311
2013-09-01,947225,6.110252274051172
2013-10-01,955410,5.869994248906018
2013-11-01,953440,5.721635766876608
2013-12-01,978903,6.239445546617582
2014-01-01,962411,5.361969624482584
2014-02-01,968433,5.2347162758350905
2014-03-01,980373,5.1896717292289205
2014-04-01,986137,5.443485438844859
2014-05-01,991123,5.238663560511624
2014-06-01,996173,5.238732114635362
