,Money Supply: Broad Money
Region,Egypt
Subnational,
Frequency,Monthly
Unit,EGP mn
Source,International Monetary Fund
Status,Active
Series ID,224127801
SR Code,SR3255186
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/2004
Last Obs. Date,07/2023
Last Update Time,18/09/2023
Series remarks,
Suggestions,
Mean,2300844.677210806
Variance,4178276590268.509
Standard Deviation,2044083.3129470306
Skewness,1.2579131702326445
Kurtosis,0.6329749016496655
Coefficient Variation,0.8884056073810972
Min,417117.674733
Max,8343414.24260547
Median,1348870.88990723
No. of Obs,235
01/2004,417117.674733
02/2004,419762.200689
03/2004,420994.283356
04/2004,423793.999404
05/2004,433067.994972
06/2004,436041.612979
07/2004,442189.6165
08/2004,447995.072215
09/2004,451770.643314
10/2004,459246.677562
11/2004,465323.215399
12/2004,469181.371315
01/2005,470348.974138
02/2005,474889.062067
03/2005,479990.715498
04/2005,485128.6361
05/2005,490942.947795
06/2005,494859.17669
07/2005,506725.395044
08/2005,513588.2506
09/2005,516015.74956
10/2005,517562.510587
11/2005,519677.224387
12/2005,523087.281585
01/2006,529594.028903
02/2006,535196.573568
03/2006,535534.395003
04/2006,546908.399197
05/2006,552121.347868
06/2006,561395.717228
07/2006,567264.510542
08/2006,575576.332031
09/2006,583231.684733
10/2006,589808.963242
11/2006,588200.656359
12/2006,601561.424441
01/2007,596954.420273
02/2007,604938.186272
03/2007,610707.677328
04/2007,620239.125074
05/2007,650936.548952
06/2007,664025.5266
07/2007,672300.8597
08/2007,678183.2122
09/2007,682168.6536
10/2007,690202.749
11/2007,704900.8155
12/2007,716545.3719
01/2008,724986.3921
02/2008,738725.5807
03/2008,756825.8128
04/2008,761200.7505
05/2008,762456.108901
06/2008,766939.512251
07/2008,775537.0541
08/2008,781477.655279
09/2008,778151.308616
10/2008,780824.074329
11/2008,785082.1634
12/2008,791660.0728
01/2009,793637.1261
02/2009,800037.901909
03/2009,808887.6188
04/2009,812694.611507
05/2009,827132.5461
06/2009,831498.4914
07/2009,835744.7607
08/2009,836792.9498
09/2009,848100.3561
10/2009,848050.4193
11/2009,854351.75330502
12/2009,866650.8023
01/2010,868032.55266057
02/2010,875886.39441524
03/2010,888477.31715049
04/2010,890678.60759848
05/2010,896336.55155468
06/2010,917764.845014
07/2010,922943.76316308
08/2010,935542.87979659
09/2010,948482.88165556
10/2010,961555.9658273
11/2010,963567.39243969
12/2010,974275.94780046
01/2011,970029.07639461
02/2011,982865.49530641
03/2011,988395.58777516
