,Money Supply: Broad Money
Region,Nigeria
Subnational,
Frequency,Monthly
Unit,NGN mn
Source,International Monetary Fund
Status,Active
Series ID,243761301
SR Code,SR3422933
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,12/2001
Last Obs. Date,04/2023
Last Update Time,05/07/2023
Series remarks,
Suggestions,
Mean,18358530.681707438
Variance,209762174965369.06
Standard Deviation,14483168.678344151
Skewness,0.62774846000732
Kurtosis,-0.5723677146399657
Coefficient Variation,0.7889067447415754
Min,1309364.18081214
Max,56043932.1877552
Median,15306488.2603481
No. of Obs,257
12/2001,1309364.18081214
01/2002,1343652.5
02/2002,1380765.9
03/2002,1425821.4
04/2002,1427171.3
05/2002,1377373.6
06/2002,1423636
07/2002,1361855.3
08/2002,1433017.1
09/2002,1489607.3
10/2002,1554400.4
11/2002,1460533.8
12/2002,1555800.9
01/2003,1609897.5
02/2003,1650371.7
03/2003,1808692.1
04/2003,1841260.8
05/2003,1732198.1
06/2003,1846738
07/2003,1841699.8
08/2003,1825520.6
09/2003,1692261.7
10/2003,1781460.2
11/2003,1802551.2
12/2003,1766010.9
01/2004,1851992.7
02/2004,1965647.7
03/2004,2026739.8
04/2004,1985912.8
05/2004,2018163.1
06/2004,2018037.7
07/2004,2037848.8
08/2004,2029824.2
09/2004,2046218
10/2004,2128359.8
11/2004,2172399
12/2004,2131169.42482548
01/2005,2286827.6
02/2005,2307911.29
03/2005,2482457.1
04/2005,2486725.6
05/2005,2521381.6
06/2005,2651515.4
07/2005,2756636.4
08/2005,2746951.9
09/2005,2752763.1
10/2005,2681367
11/2005,2650287.8
12/2005,2612891.13
01/2006,2650754.3
02/2006,2750817.61
03/2006,2879006.55
04/2006,2944785.5
05/2006,3319069.79
06/2006,3478139.03
07/2006,3505941.9
08/2006,3546203.55
09/2006,3540654.0250672
10/2006,3659841.2
11/2006,3695626.9
12/2006,3562695.9
01/2007,3819944.6
02/2007,3890318
03/2007,3984863.7
04/2007,3847255.2
05/2007,4061596.35
06/2007,4094450.02
07/2007,4169473.36
08/2007,4283512.45
09/2007,4527252.784746
10/2007,4635059.368319
11/2007,5893429.18477
12/2007,6689365.86967982
01/2008,7373522.6370349
02/2008,7804739.25435191
03/2008,8785077.12350801
04/2008,8524077.02824958
05/2008,8321538.24689073
06/2008,8870093.28580008
07/2008,8868921.43518532
08/2008,8994639.86399726
09/2008,9468665.59345251
10/2008,8667473.0034383
11/2008,8528554.58636022
12/2008,9513845.5551583
01/2009,9740568.59465063
02/2009,9330607.47228786
03/2009,9304945.51730162
04/2009,9182253.31706083
05/2009,8957100.87702788
06/2009,9353886.456987
07/2009,9239601.40396282
08/2009,9704065.46059861
09/2009,9657813.45654309
10/2009,10218013.7839608
11/2009,10633205.860293
12/2009,10928017.1362797
01/2010,10556873.817595
02/2010,10889809.3637588
03/2010,11141330.7703955
04/2010,10957292.346417
05/2010,10787721.8833172
06/2010,10961596.1803077
07/2010,10965822.2089424
08/2010,11584324.9792455
09/2010,11231159.1521412
10/2010,11256343.5171184
11/2010,11222393.7342409
12/2010,11662911.7919411
01/2011,11844809.926814
02/2011,11829088.4925
03/2011,12024870.6468166
04/2011,12128809.3230685
