,Money Supply: Broad Money
Region,Poland
Subnational,
Frequency,Monthly
Unit,PLN mn
Source,International Monetary Fund
Status,Active
Series ID,367664807
SR Code,SR89602117
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,03/2004
Last Obs. Date,07/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
Mean,1064527.6995708155
Variance,265623912342.5214
Standard Deviation,515387.1480183818
Skewness,0.5473509849182976
Kurtosis,-0.723545386010493
Coefficient Variation,0.48414630096160943
Min,340647
Max,2173124
Median,955410
No. of Obs,233
03/2004,340647
04/2004,349390
05/2004,345587
06/2004,351484
07/2004,350945
08/2004,354859
09/2004,354378
10/2004,373500
11/2004,359696
12/2004,371270
01/2005,377234
02/2005,382284
03/2005,391183
04/2005,397641
05/2005,405245
06/2005,404858
07/2005,403389
08/2005,409915
09/2005,414129
10/2005,422355
11/2005,421693
12/2005,427121
01/2006,422117
02/2006,431533
03/2006,433717
04/2006,438928
05/2006,449315
06/2006,454384
07/2006,456528
08/2006,463244
09/2006,469491
10/2006,476372
11/2006,483259
12/2006,495308
01/2007,503573
02/2007,509353
03/2007,511981
04/2007,516999
05/2007,521239
06/2007,521381
07/2007,527692
08/2007,538037
09/2007,537330
10/2007,541940
11/2007,548957
12/2007,561624
01/2008,568638
02/2008,577953
03/2008,581825
04/2008,594317
05/2008,600134
06/2008,606585
07/2008,616093
08/2008,628647
09/2008,630462
10/2008,635740
11/2008,648297
12/2008,666230
01/2009,668851
02/2009,680926
03/2009,683674
04/2009,680027
05/2009,685394
06/2009,693692
07/2009,689427
08/2009,685391
09/2009,691270
10/2009,711195
11/2009,699861
12/2009,720230
01/2010,711032
02/2010,715594
03/2010,721507
04/2010,721224
05/2010,737851
06/2010,742767
07/2010,743273
08/2010,749565
09/2010,752867
10/2010,756555
11/2010,763353
12/2010,783648
01/2011,769159
02/2011,775999
03/2011,801196
04/2011,790249
05/2011,795503
06/2011,797346
07/2011,799125
08/2011,815792
09/2011,829476
10/2011,835655
11/2011,853345
12/2011,881498
01/2012,874634
02/2012,872118
03/2012,874494
04/2012,870705
05/2012,884146
06/2012,884719
07/2012,886870
08/2012,895530
09/2012,892680
10/2012,902437
11/2012,901840
12/2012,921412
01/2013,913433
02/2013,920260
03/2013,932005
04/2013,935228
05/2013,941786
06/2013,946584
07/2013,945074
08/2013,949982
09/2013,947225
10/2013,955410
11/2013,953440
12/2013,978903
01/2014,962411
02/2014,968433
03/2014,980373
04/2014,986137
05/2014,991123
06/2014,996173
07/2014,1002133
08/2014,1020561
09/2014,1021826
10/2014,1028667
11/2014,1033416
12/2014,1059018
01/2015,1044751
02/2015,1052741
03/2015,1066042
04/2015,1055846
05/2015,1065807
06/2015,1077724
07/2015,1087323
08/2015,1094497
09/2015,1106539
10/2015,1120684
11/2015,1130022
12/2015,1154987
01/2016,1151165
02/2016,1158726
03/2016,1162418
04/2016,1178155
05/2016,1189187
06/2016,1200702
07/2016,1203820
08/2016,1204445
09/2016,1209915
10/2016,1218088
11/2016,1239495
12/2016,1265475
01/2017,1249010
02/2017,1253838
03/2017,1253371
04/2017,1257184
05/2017,1263876
06/2017,1260702
07/2017,1264294
08/2017,1269801
09/2017,1275939
10/2017,1287689
11/2017,1295821
12/2017,1324369
01/2018,1309614
02/2018,1315388
03/2018,1325797
04/2018,1328848
05/2018,1346708
06/2018,1352496
07/2018,1356808
08/2018,1365479
09/2018,1376165
10/2018,1394704
11/2018,1409695
12/2018,1445744
01/2019,1425080
02/2019,1443686
03/2019,1456838
04/2019,1466745
05/2019,1480237
06/2019,1477865
07/2019,1490533
08/2019,1500115
09/2019,1505817
10/2019,1523592
11/2019,1542231
12/2019,1565221
01/2020,1557428
02/2020,1579015
03/2020,1628074
04/2020,1672787
05/2020,1717552
06/2020,1745876
07/2020,1740478
08/2020,1743745
09/2020,1761824
10/2020,1782265
11/2020,1790331
12/2020,1822376
01/2021,1819840
02/2021,1836598
03/2021,1862402
04/2021,1859964
05/2021,1871969
06/2021,1875998
07/2021,1894515
08/2021,1902571
09/2021,1914200
10/2021,1935695
11/2021,1971939
12/2021,1984816
01/2022,1960127
02/2022,1984236
03/2022,2007244
04/2022,2010916
05/2022,2012845
06/2022,1996504
07/2022,2010325
08/2022,2041662
09/2022,2059651
10/2022,2068908
11/2022,2079669
12/2022,2088964
01/2023,2093967
02/2023,2128997
03/2023,2140215
04/2023,2147526
05/2023,2157899
06/2023,2157334
07/2023,2173124
