,Money Supply: Broad Money
Region,Romania
Subnational,
Frequency,Monthly
Unit,RON mn
Source,International Monetary Fund
Status,Active
Series ID,230707601
SR Code,SR3345718
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,12/2001
Last Obs. Date,08/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
Mean,253139.9617229385
Variance,25822116911.54582
Standard Deviation,160692.61623218976
Skewness,0.6867695670434106
Kurtosis,-0.37764393118541717
Coefficient Variation,0.634797505453002
Min,29166.9475
Max,626029.658978
Median,220423.988273
No. of Obs,261
12/2001,30675.919
01/2002,29166.9475
02/2002,30310.4727
03/2002,31865.7451
04/2002,32659.7133
05/2002,36157.3944
06/2002,36036.646
07/2002,36402.2671
08/2002,38048.3996
09/2002,38736.793
10/2002,40587.9043
11/2002,40807.3248
12/2002,44970.0064
01/2003,43013.0418
02/2003,44264.0036
03/2003,44411.2098
04/2003,43901.1883
05/2003,43725.2992
06/2003,44189.9819
07/2003,48352.9846
08/2003,49163.07283
09/2003,51307.3629
10/2003,52602.2602
11/2003,50767.5276
12/2003,54446.236
01/2004,51803.9695
02/2004,55183.621
03/2004,56463.2423
04/2004,57653.5412
05/2004,59655.9772
06/2004,61438.404
07/2004,64870.4245
08/2004,68018.7198
09/2004,69725.8757
10/2004,71339.2778
11/2004,70732.087
12/2004,80809.7452
01/2005,81437.6278
02/2005,85203.2954
03/2005,89242.8193
04/2005,87670.8687
05/2005,91390.3732
06/2005,95637.978
07/2005,95914.51
08/2005,99567.039
09/2005,100822.76
10/2005,101025.349
11/2005,99259.989
12/2005,97006.354
01/2006,101343.155
02/2006,103813.956
03/2006,109867.773
04/2006,107669.82
05/2006,113538.407
06/2006,109936.701
07/2006,117179.741
08/2006,115232.282
09/2006,115838.367
10/2006,128567.436
11/2006,101939.967
12/2006,110710.191
01/2007,107019.815048
02/2007,110005.960813
03/2007,113059.070648
04/2007,113080.709493
05/2007,112800.45287
06/2007,116261.523769
07/2007,120066.814555
08/2007,124427.917315
09/2007,126641.106242
10/2007,128879.680518
11/2007,136233.017722
12/2007,148167.743642
01/2008,147473.334832
02/2008,149800.469411
03/2008,152100.64398
04/2008,157150.844508
05/2008,157673.018139
06/2008,161568.03523
07/2008,161359.100701
08/2008,162416.962287
09/2008,166158.339118
10/2008,162381.794766
11/2008,164642.661953
12/2008,174087.790566
01/2009,176152.159779
02/2009,176279.152639
03/2009,175359.597721
04/2009,176479.170221
05/2009,177455.277704
06/2009,180514.576416
07/2009,181588.416982
08/2009,184178.266927
