Series Name,"Series Code","Country Name","Country Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]"
"Portfolio equity, net inflows (BoP, current US$)","BX.PEF.TOTL.CD.WD","Egypt, Arab Rep.","EGY","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","..","0","514500000","-160000000","657800000","269000000","39200000","-216900000","36800000","26100000","729400000","501900000","-3198900000","-673600000","393000000","1724400000","-711300000","-983400000","-431400000","484900000","13500000","609500000","224300000","220300000","-12000000","-1996900000","-1486100000","-1385600000"
"Portfolio equity, net inflows (BoP, current US$)","BX.PEF.TOTL.CD.WD","Hungary","HUN","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","0","0","0","45528772.5869617","224045129.263944","-62321034.9614042","358544725.745944","979134015.201458","555939513.740102","1191169659.14096","-352608640.878536","142371941.021023","-162622735.351616","275861633.265326","1481728891.24559","12019442.7045853","985237354.940941","-4969953198.72521","-197119279.892211","665203186.926201","-325211474.233601","177628299.811199","746172897.974248","25037714.0616073","-324870579.963653","774221274.395321","-102657014.329243","-141835643.7957","82924803.1771202","231999006.065685","-578553464.225031","-824952768.51107","-1616944982.89573"
"Portfolio equity, net inflows (BoP, current US$)","BX.PEF.TOTL.CD.WD","Nigeria","NGA","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","..","..","..","..","..","..","..","..","..","..","750775094.3952","1769162544.85626","1447330958.33185","-953448580.264265","487342221.923697","2153299955.08907","2570808286.61955","9959018733.20635","5532059839.76553","1044955627.9525","-476619500","325125000","1360441234.49109","1259167883.85656","-1548463201.73002","-255230064.900555","71602136.4597128","293462952.902714"
"Portfolio equity, net inflows (BoP, current US$)","BX.PEF.TOTL.CD.WD","Poland","POL","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","..","..","..","..","..","219000000","749000000","599000000","1734000000","14000000","447000000","-307000000","-545000000","-837000000","1660000000","1331000000","-2129000000","-470000000","566000000","1580000000","7062000000","3110000000","3831000000","2796000000","3377000000","5413000000","-2514000000","1468000000","957000000","346000000","-3628000000","671000000","-1129000000"
"Portfolio equity, net inflows (BoP, current US$)","BX.PEF.TOTL.CD.WD","Romania","ROU","..","..","..","..","..","..","..","..","..","..","..","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","195000000","95000000","68000000","58000000","8000000","21000000","69000000","111000000","232210719.422015","302593655.106679","742056406.512232","21132360.6081801","6755842.41724002","3437242.67270628","-38290891.3040163","408323207.598552","1054061124.14664","534835681.817057","361658058.660049","-459356569.610531","-61144311.8438115","-479265394.41138","-656140789.492825","-854598823.517529","-142865455.343334","-249702601.493107"
Broad money growth (annual %),"FM.LBL.BMNY.ZG","Egypt, Arab Rep.","EGY","..","11.6288659793814","6.64942741041744","19.2933841357811","16.2020905923345","6.43428285857071","1.53773917126423","5.95375722543353","3.05510092744135","5.73848597141345","5.40702913787924","3.0208036477629","15.7491931765791","22.3771210069306","30.217419606822","21.4657068586283","25.9774467034324","34.0346292061418","27.0278833967047","31.3256710862099","51.419429306138","30.8975645528581","31.1520968324524","22.6257187340164","18.8479731587921","18.3043892430571","20.9505957523105","20.9588649729666","21.5475596277942","17.497974283483","28.7303704743851","19.3388988677434","19.4282371508746","13.2490090880719","11.214676771765","9.89651519458344","10.8359039924112","10.7719639585706","10.776409714942","5.66364173921057","11.5813216570176","13.2152512344865","12.6303720351456","21.2797596244131","16.239251112765","11.4893543447633","15.0021125763594","19.1142488177078","10.482895270236","9.47259209811699","12.4185133406482","6.66488573646993","12.3473047869843","18.8907165816396","15.7663852078814","18.6049644446138","39.5091419937945","20.4504936953442","13.3021398230359","13.2785108458676","19.7057863957347","18.3339089698408","27.1369749604278"
Broad money growth (annual %),"FM.LBL.BMNY.ZG","Hungary","HUN","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","2.28284278535535","5.10247052217855","10.9159710628826","8.76999337735054","9.6440893743427","2.19264295089691","16.5329578949102","29.1909062262874","29.3872193814771","41.2910043070108","17.686634450335","14.1837038166775","20.8895743235396","22.2415531997985","19.722036464114","15.5987416668332","15.6730008086139","12.6071364747875","16.351253642184","13.8213670591371","10.9522648352945","11.5374961722861","14.7001207705754","13.802586238336","11.0115510911465","8.70968343367451","3.64840284210126","4.26720050740063","6.66657429838231","-4.6368980672588","7.80915596675156","2.49536992372764","5.68164520375055","7.23837066916986","7.78736534613451","11.8157497769553","8.14996704366379","21.0901442114129","18.4989637789396",".."
Broad money growth (annual %),"FM.LBL.BMNY.ZG","Nigeria","NGA","..","8.69565217391304","10.9333333333333","8.68389423076923","19.1042300248825","8.75116063138347","10.9498399146211","-12.6587148903424","15","26.9105535338058","47.7965590099608","6.39232104564485","15.5773106824071","13.7767812655705","89.197868768703","55.6631432759818","41.4512651483235","34.4727298211188","-2.01034487251313","30.9506714532642","46.1081553082609","5.89997150779366","9.54530838840074","14.0216251834546","11.6027991720167","8.99273632824453","1.95309463136527","22.4111636419094","32.9131972563107","12.9279952507173","32.7010276475701","37.3802138978897","63.2602537657287","53.7579683240045","34.4951421517432","19.4117147450513","16.1781585908082","16.0390029485685","22.3177575904719","33.1210582009053","48.0675226932787","26.3768004240801","18.8210982703839","13.5113689675845","20.6770255396204","22.6036325203928","36.3507212028386","87.7613486371324","42.2234295522794","14.8643529361757","6.72486734324051","21.685616238181","27.0844679750277","14.3020860661396","-0.794167076060823","4.09015662855131","31.9221686077306","1.38782910951685","14.9821100195079","6.44863105130051","11.6325456444643","12.6296486617052",".."
Broad money growth (annual %),"FM.LBL.BMNY.ZG","Poland","POL","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","..","12.9881722829726","25.5645532951478","39.4767197986577","14.2475846772678","17.6762857424896","22.092665604116","26.7016306339318","34.0545523561629","63.2876232083384","509.48727900313","164.871294962762","37.8998143194013","55.6730590897289","35.9925085601138","38.0774163705557","35.619223096953","31.2165282432749","29.0565165270319","25.1769370060184","19.5886267463975","11.5569243117687","14.6129553731936","-1.99707456599409","5.36949000194597","3.78793913645125","15.0432299943437","15.9643286094573","13.3888408828446","18.6256285343931","8.10530897738018","8.8052427696708","12.4864735187227","4.5279739715802","6.23944554661758","8.18416124988891","9.06207448787462","9.5661682772187","4.65390466030542","9.16474185064737","8.26404951360684","16.4293093435368","8.91363801981589",".."
Broad money growth (annual %),"FM.LBL.BMNY.ZG","Romania","ROU","..","..","..","..","..","..","..","..","..","..","..","..","..","..","26.3953329269961","11.4975446055131","16.455126394577","13.6699535391355","17.1828638106351","10.1607442601496","12.7617483290462","15.9975081192255","14.0491168212674","-0.683494338838683","6.27884923789204","2.81683210539092","8.4337003442522","3.9362456490333","10.2557714900423","5.3143606873904","30.091571564055","104.024228731035","94.6955410689567","172.166739794017","125.446872228094","69.6181851202503","69.545192861255","113.429675280403","53.7488459259463","50.399082875287","40.8097757749873","18.0222525396628","46.597095917485","21.0723332251961","48.4211786467663","20.0428905695894","14.1267416359139","33.8338795224371","17.4937177869345","9.03332207552948","6.81737053267701","6.46701411725749","2.84245222608059","8.80537482390374","8.33017368215694","9.39346661416349","9.74068452525915","11.4076738933702","8.88797985953742","10.905108739629","15.3130692590717","15.814728647084","6.84221114412418"
