,Current Account Balance: USD mn: Quarterly: Hungary
Region,Hungary
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,USD mn
Source,CEIC Data
Status,Active
Series ID,212324302
SR Code,SR197224007
Trade Code,
Mnemonic,HU.BOPCA.FL.USD-MN-Q
Function Description,
First Obs. Date,1989-12
Last Obs. Date,2023-06
Last Update Time,27/09/2023
Series remarks,
Suggestions,
Mean,-692.7879446585185
Variance,1749415.4162900245
Standard Deviation,1322.6546852032184
Skewness,-0.6044173131867053
Kurtosis,0.5106589721301482
Coefficient Variation,-1.9091768201237491
Min,-4900.09667456
Max,1945.00977523
Median,-642.55209332
No. of Obs,135
1989-12,111.04323971
1990-03,-92.43037393
1990-06,214.54256494
1990-09,186.50789236
1990-12,69.96365489
1991-03,402.77968874
1991-06,-305.42412699
1991-09,302.81240013
1991-12,2.99636903
1992-03,404.67163151
1992-06,215.15413343
1992-09,191.12687542
1992-12,-459.03622005
1993-03,-955.85838321
1993-06,-940.87222978
1993-09,-671.88635513
1993-12,-1693.86835305
1994-03,-818.97192892
1994-06,-1187.61635461
1994-09,-814.0209415
1994-12,-1232.96074778
1995-03,-1251.56642167
1995-06,-540.27101663
1995-09,77.19262538
1995-12,2.76129451
1996-03,-732.72462519
1996-06,-276.40131344
1996-09,-198.0503197
1996-12,-646.90901125
1997-03,-1025.38269315
1997-06,-455.51049522
1997-09,-211.484505
1997-12,-447.35165878
1998-03,-1094.40078002
1998-06,-918.56091692
1998-09,-697.03640689
1998-12,-1011.63617724
1999-03,-1214.00086347
1999-06,-1092.30233537
1999-09,-752.03109155
1999-12,-1050.65860833
2000-03,-1160.95722343
2000-06,-792.58508405
2000-09,-838.57296698
2000-12,-1381.4478872
2001-03,-1094.61673146
2001-06,-973.7272258
2001-09,-259.73740254
2001-12,-961.52843459
2002-03,-938.77315765
2002-06,-860.9438403
2002-09,-716.80100211
2002-12,-1844.92538586
2003-03,-1539.88400124
2003-06,-1981.69548094
2003-09,-1512.36239106
2003-12,-2005.95815196
2004-03,-1800.39280645
2004-06,-2975.33211962
2004-09,-2370.53658673
2004-12,-2299.61662054
2005-03,-2636.43984134
2005-06,-2907.61034942
2005-09,-2924.07181608
2005-12,-2713.68607798
2006-03,-2262.5451405
2006-06,-1994.23080935
2006-09,-1995.9285158
2006-12,-2169.56151998
2007-03,-2189.11053194
2007-06,-2759.06059561
2007-09,-2262.42962848
2007-12,-2999.29545232
2008-03,-2454.67780323
2008-06,-2279.83363889
2008-09,-3251.71792429
2008-12,-3138.78170246
2009-03,-649.77621769
2009-06,-99.59861847
2009-09,193.37499062
2009-12,-336.03380864
2010-03,81.17081388
2010-06,439.34054166
2010-09,463.22113922
2010-12,-642.55209332
2011-03,204.98121814
2011-06,265.53050244
2011-09,516.54025413
2011-12,-100.49771475
2012-03,202.89476867
2012-06,893.45011868
2012-09,1409.61419705
2012-12,-516.28647754
2013-03,1270.8562768
2013-06,903.37514254
2013-09,1835.53911653
2013-12,656.22700229
2014-03,192.98487098
2014-06,-283.14946739
2014-09,1294.33063606
2014-12,400.44194747
2015-03,1429.19052503
2015-06,429.4005271
2015-09,821.8851207
2015-12,245.0401172
2016-03,1605.86692741
2016-06,1906.13454195
2016-09,1945.00977523
2016-12,397.90091048
2017-03,744.97309564
2017-06,1393.61858446
2017-09,851.99863368
2017-12,-221.63607327
2018-03,922.21780227
2018-06,577.42066907
2018-09,-260.53136115
2018-12,-824.09671006
2019-03,-154.3737863
2019-06,320.08757628
2019-09,-579.71855263
2019-12,-869.42550535
2020-03,-193.41104616
2020-06,-1319.12852484
2020-09,653.38311468
2020-12,-723.01041158
2021-03,877.86899345
2021-06,-1300.39373338
2021-09,-2580.74184312
2021-12,-4287.04567305
2022-03,-2022.88731383
2022-06,-2598.35858485
2022-09,-4718.76282302
2022-12,-4900.09667456
2023-03,-400.40705829
2023-06,566.72582545
