,Current Account Balance: USD mn: Quarterly: Egypt
Region,Egypt
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,USD mn
Source,CEIC Data
Status,Active
Series ID,419513637
SR Code,SR197223907
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,1993-12
Last Obs. Date,2023-06
Last Update Time,28/09/2023
Series remarks,
Suggestions,
Mean,-1172.00756302521
Variance,3313895.161552483
Standard Deviation,1820.4107123263375
Skewness,-0.9016335870810127
Kurtosis,-0.0476028515226492
Coefficient Variation,-1.553241437817565
Min,-5791.7
Max,1538.9
Median,-493.4
No. of Obs,119
1993-12,-21.5
1994-03,-201.1
1994-06,272.7
1994-09,513.1
1994-12,-45.6
1995-03,-315.1
1995-06,233.5
1995-09,147.3
1995-12,-376.4
1996-03,55
1996-06,-11.3
1996-09,-185.3
1996-12,-98
1997-03,201
1997-06,202
1997-09,-85.6
1997-12,-711.3
1998-03,-739.7
1998-06,-942.4
1998-09,-304.1
1998-12,-455.1
1999-03,-614.4
1999-06,-350.2
1999-09,-378
1999-12,-253.5
2000-03,-482
2000-06,-49.7
2000-09,-71.5
2000-12,-271
2001-03,164.4
2001-06,144.7
2001-09,148.7
2001-12,-208.8
2002-03,359.2
2002-06,315.1
2002-09,99
2002-12,150.3
2003-03,521.6
2003-06,1172.2
2003-09,1538.9
2003-12,474.4
2004-03,554.4
2004-06,850.3
2004-09,1482
2004-12,349.7
2005-03,995
2005-06,83.9
2005-09,207.6
2005-12,762.1
2006-03,911.9
2006-06,-129.7
2006-09,1332.7
2006-12,399.4
2007-03,1113.9
2007-06,-577
2007-09,-131.4
2007-12,-162.3
2008-03,693.1
2008-06,488.9
2008-09,-966
2008-12,-1546.6
2009-03,-917.8
2009-06,-993.9
2009-09,-493.4
2009-12,-789.6
2010-03,-1323.2
2010-06,-1711.4
2010-09,-1305.6
2010-12,-1255.4
2011-03,-2098
2011-06,-1428.8
2011-09,-2299.1
2011-12,-2075
2012-03,-3140.1
2012-06,-2632.1
2012-09,-854.3
2012-12,-2914.5
2013-03,-1030.8
2013-06,-1590.8
2013-09,531.6
2013-12,-1696.8
2014-03,190.6
2014-06,-1805.1
2014-09,-1556.8
2014-12,-2751.9
2015-03,-4036.6
2015-06,-3797.3
2015-09,-4009.8
2015-12,-5367.5
2016-03,-5663.2
2016-06,-4790.6
2016-09,-5350.5
2016-12,-4663.6
2017-03,-2826.7
2017-06,-1553.2
2017-09,-1754.2
2017-12,-1784.8
2018-03,-1930.5
2018-06,-492.8
2018-09,-2012
2018-12,-3246.6
2019-03,-4547.6
2019-06,-1087.7
2019-09,-1382.2
2019-12,-3192
2020-03,-2764.7
2020-06,-3827.8
2020-09,-2784.9
2020-12,-4849.3
2021-03,-5667.4
2021-06,-5134.8
2021-09,-4000.7
2021-12,-3801.1
2022-03,-5791.7
2022-06,-2957.8
2022-09,-3192.3
2022-12,1410.1
2023-03,-3485.3
2023-06,557
