,Current Account Balance: USD mn: Quarterly: Poland
Region,Poland
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,USD mn
Source,CEIC Data
Status,Active
Series ID,374738757
SR Code,SR197224417
Trade Code,
Mnemonic,PL.BOPCA.FL.USD-MN-Q
Function Description,
First Obs. Date,2000-03
Last Obs. Date,2023-06
Last Update Time,02/10/2023
Series remarks,
Suggestions,
Mean,-3004.851063829787
Variance,10326915.09585907
Standard Deviation,3213.551788264672
Skewness,0.33064989489525787
Kurtosis,0.7753658281402007
Coefficient Variation,-1.0694545985812982
Min,-10278
Max,7171
Median,-2701.5
No. of Obs,94
2000-03,-2965
2000-06,-2820
2000-09,-1896
2000-12,-2671
2001-03,-1545
2001-06,-2256
2001-09,-602
2001-12,-1543
2002-03,-1682
2002-06,-1750
2002-09,-797
2002-12,-1296
2003-03,-1947
2003-06,-1451
2003-09,-893
2003-12,-1211
2004-03,-3680
2004-06,-4346
2004-09,-3677
2004-12,-3568
2005-03,-2033
2005-06,-2451
2005-09,-2732
2005-12,-2937
2006-03,-2908
2006-06,-3824
2006-09,-3704
2006-12,-5654
2007-03,-5502
2007-06,-7873
2007-09,-6544
2007-12,-8826
2008-03,-7058
2008-06,-9905
2008-09,-10278
2008-12,-8923
2009-03,-1671
2009-06,-4235
2009-09,-5119
2009-12,-6502
2010-03,-5803
2010-06,-4241
2010-09,-7019
2010-12,-7496
2011-03,-5304
2011-06,-8304
2011-09,-7954
2011-12,-5379
2012-03,-7515
2012-06,-5217
2012-09,-4892
2012-12,-2612
2013-03,-3042
2013-06,-3990
2013-09,-2387
2013-12,-637
2014-03,-5090
2014-06,-6560
2014-09,-4343
2014-12,89
2015-03,-1817
2015-06,-2463
2015-09,-3365
2015-12,1483
2016-03,-1002
2016-06,378
2016-09,-5163
2016-12,975
2017-03,-214
2017-06,-2460
2017-09,-2110
2017-12,-1282
2018-03,-2396
2018-06,-2175
2018-09,-5294
2018-12,-1473
2019-03,-1199
2019-06,-1381
2019-09,-2291
2019-12,3407
2020-03,1144
2020-06,4610
2020-09,1957
2020-12,7171
2021-03,741
2021-06,2157
2021-09,-6169
2021-12,-5210
2022-03,-6254
2022-06,-3597
2022-09,-5112
2022-12,-1854
2023-03,5462
2023-06,1311
