"Date","Balance","Interp.Balance","YoY_pct_change"
1989-12-31,111.04323971,111.04,NA
1990-01-31,NA,-4.86,NA
1990-02-28,NA,-83.76,NA
1990-03-31,-92.43037393,-92.43,NA
1990-04-30,NA,-15.02,NA
1990-05-31,NA,104.51,NA
1990-06-30,214.54256494,214.54,NA
1990-07-31,NA,261.99,NA
1990-08-31,NA,249.54,NA
1990-09-30,186.50789236,186.51,NA
1990-10-31,NA,97.52,NA
1990-11-30,NA,35.46,NA
1990-12-31,69.96365489,69.96,-36.9956772334294
1991-01-31,NA,232.19,-4877.57201646091
1991-02-28,NA,394.91,-571.478032473735
1991-03-31,402.77968874,402.78,-535.767607919507
1991-04-30,NA,170.33,-1234.02130492676
1991-05-31,NA,-135.59,-229.738780977897
1991-06-30,-305.42412699,-305.42,-242.360398993195
1991-07-31,NA,-179.24,-168.41482499332
1991-08-31,NA,101.47,-59.337180411958
1991-09-30,302.81240013,302.81,62.3559058495523
1991-10-31,NA,265.48,172.231337161608
1991-11-30,NA,102.5,189.058093626622
1991-12-31,2.99636903,3,-95.7118353344768
1992-01-31,NA,89.92,-61.2730953098755
1992-02-29,NA,275.28,-30.2929781469196
1992-03-31,404.67163151,404.67,0.469238790406684
1992-04-30,NA,395.86,132.407679210943
1992-05-31,NA,301.31,-322.221402758315
1992-06-30,215.15413343,215.15,-170.443978783315
1992-07-31,NA,210.08,-217.205980807855
1992-08-31,NA,231.2,127.85059623534
1992-09-30,191.12687542,191.13,-36.8812126415904
1992-10-31,NA,34.18,-87.125207171915
1992-11-30,NA,-209.22,-304.117073170732
1992-12-31,-459.03622005,-459.04,-15401.3333333333
1993-01-31,NA,-676.68,-852.535587188612
1993-02-28,NA,-844.58,-406.807614065679
1993-03-31,-955.85838321,-955.86,-336.207280005931
1993-04-30,NA,-1031.73,-360.630020714394
1993-05-31,NA,-1035.94,-443.812020842322
1993-06-30,-940.87222978,-940.87,-537.308854287706
1993-07-31,NA,-756.64,-460.16755521706
1993-08-31,NA,-607.11,-362.590830449827
1993-09-30,-671.88635513,-671.89,-451.535604039136
1993-10-31,NA,-1029.15,-3110.97132826214
1993-11-30,NA,-1477.4,606.146639900583
1993-12-31,-1693.86835305,-1693.87,269.002701289648
1994-01-31,NA,-1493.72,120.742448424662
1994-02-28,NA,-1087.6,28.7740652158469
1994-03-31,-818.97192892,-818.97,-14.3211348942314
1994-04-30,NA,-839.71,-18.6114584242001
1994-05-31,NA,-1036.38,0.0424735023263948
1994-06-30,-1187.61635461,-1187.62,26.2257272524366
1994-07-31,NA,-1122.39,48.3387079720871
1994-08-31,NA,-939.28,54.7133138969874
1994-09-30,-814.0209415,-814.02,21.1537602881424
1994-10-31,NA,-870.76,-15.3903706942623
1994-11-30,NA,-1050,-28.9291999458508
1994-12-31,-1232.96074778,-1232.96,-27.210470697279
1995-01-31,NA,-1338.76,-10.3740995635059
1995-02-28,NA,-1340.53,23.2557925707981
1995-03-31,-1251.56642167,-1251.57,52.8224477087073
1995-04-30,NA,-1059.14,26.1316406854748
1995-05-31,NA,-813.13,-21.5413265404581
1995-06-30,-540.27101663,-540.27,-54.5081760158973
1995-07-31,NA,-295.13,-73.7052183287449
1995-08-31,NA,-81.25,-91.3497572608807
1995-09-30,77.19262538,77.19,-109.482567995872
1995-10-31,NA,160.56,-118.439064725068
1995-11-30,NA,145.55,-113.861904761905
1995-12-31,2.76129451,2.76,-100.223851544251
1996-01-31,NA,-278.41,-79.2038901670202
1996-02-29,NA,-575.06,-57.1020417297636
1996-03-31,-732.72462519,-732.72,-41.4559313502241
1996-04-30,NA,-677.52,-36.0311195875899
1996-05-31,NA,-486.28,-40.1965245409713
1996-06-30,-276.40131344,-276.4,-48.8403946175061
1996-07-31,NA,-162.51,-44.936129841087
1996-08-31,NA,-141.76,74.4738461538461
1996-09-30,-198.0503197,-198.05,-356.574685840135
1996-10-31,NA,-307.03,-291.224464374689
1996-11-30,NA,-463.44,-418.406046032291
1996-12-31,-646.90901125,-646.91,-23538.768115942
1997-01-31,NA,-848.28,204.687331633203
1997-02-28,NA,-997.61,73.4792891176573
1997-03-31,-1025.38269315,-1025.38,39.9415875095535
1997-04-30,NA,-897.34,32.4447986775298
1997-05-31,NA,-680.39,39.9173315785144
1997-06-30,-455.51049522,-455.51,64.801013024602
1997-07-31,NA,-310.48,91.052858285644
1997-08-31,NA,-234.34,65.3075620767494
1997-09-30,-211.484505,-211.48,6.78111587982831
1997-10-31,NA,-226.78,-26.1375109924112
1997-11-30,NA,-298.8,-35.5256343863283
