"Date","Balance","Interp.Balance","YoY_pct_change"
2000-03-31,-2965,-2965,NA
2000-04-30,NA,-3030.73,NA
2000-05-31,NA,-3011.4,NA
2000-06-30,-2820,-2820,NA
2000-07-31,NA,-2439.64,NA
2000-08-31,NA,-2041.22,NA
2000-09-30,-1896,-1896,NA
2000-10-31,NA,-2144.46,NA
2000-11-30,NA,-2532.22,NA
2000-12-31,-2671,-2671,NA
2001-01-31,NA,-2329.93,NA
2001-02-28,NA,-1805.32,NA
2001-03-31,-1545,-1545,-47.8920741989882
2001-04-30,NA,-1750.32,-42.2475773163561
2001-05-31,NA,-2133.63,-29.148236700538
2001-06-30,-2256,-2256,-20
2001-07-31,NA,-1812.05,-25.7246970864554
2001-08-31,NA,-1093.38,-46.434975161913
2001-09-30,-602,-602,-68.2489451476793
2001-10-31,NA,-680.03,-68.2889865047611
2001-11-30,NA,-1117.74,-55.8592855281137
2001-12-31,-1543,-1543,-42.231374017222
2002-01-31,NA,-1715.67,-26.3638821767177
2002-02-28,NA,-1704.38,-5.5912525203288
2002-03-31,-1682,-1682,8.86731391585761
2002-04-30,NA,-1751.25,0.0531331413684391
2002-05-31,NA,-1820.72,-14.665616812662
2002-06-30,-1750,-1750,-22.4290780141844
2002-07-31,NA,-1458.68,-19.5011175188323
2002-08-31,NA,-1069.85,-2.15204229087785
2002-09-30,-797,-797,32.3920265780731
2002-10-31,NA,-790.73,16.2786935870476
2002-11-30,NA,-995.86,-10.9041458657648
2002-12-31,-1296,-1296,-16.0077770576798
2003-01-31,NA,-1609.96,-6.16144130281465
2003-02-28,NA,-1851.07,8.60664875203885
2003-03-31,-1947,-1947,15.7550535077289
2003-04-30,NA,-1878.25,7.25196288365453
2003-05-31,NA,-1690.51,-7.15156641328705
2003-06-30,-1451,-1451,-17.0857142857143
2003-07-31,NA,-1238.75,-15.0773301889379
2003-08-31,NA,-1051.1,-1.75258213768285
2003-09-30,-893,-893,12.0451693851945
2003-10-31,NA,-788.42,-0.292135115652632
2003-11-30,NA,-849.65,-14.6817825798807
2003-12-31,-1211,-1211,-6.55864197530864
2004-01-31,NA,-1968.48,22.2688762453726
2004-02-29,NA,-2901.75,56.7606843609372
2004-03-31,-3680,-3680,89.0087313816127
2004-04-30,NA,-4197.15,123.460668175163
2004-05-31,NA,-4394.76,159.96651897948
2004-06-30,-4346,-4346,199.517574086837
2004-07-31,NA,-4125.07,233.002623612513
2004-08-31,NA,-3849.85,266.268670916183
2004-09-30,-3677,-3677,311.758118701008
2004-10-31,NA,-3691.49,368.213642474823
2004-11-30,NA,-3729.24,338.914847290061
2004-12-31,-3568,-3568,194.632535094963
2005-01-31,NA,-3060.07,55.4534463139072
2005-02-28,NA,-2433.85,-16.1247523046438
2005-03-31,-2033,-2033,-44.7554347826087
2005-04-30,NA,-1976.58,-52.9066152031736
2005-05-31,NA,-2182.67,-50.3347167990971
2005-06-30,-2451,-2451,-43.6033133916245
2005-07-31,NA,-2603.87,-36.8769499669096
2005-08-31,NA,-2675.08,-30.514695377742
2005-09-30,-2732,-2732,-25.7002991569214
2005-10-31,NA,-2822.73,-23.5341284955397
