,Current Account Balance: USD mn: Annual: Nigeria
Region,Nigeria
Subnational,
Frequency,"Annual, ending ""Dec"" of each year"
Unit,USD MN
Source,CEIC Data
Status,Active
Series ID,374742957
SR Code,SR197226537
Trade Code,
Mnemonic,NG.BOPCA.FL.USD-MN-A
Function Description,
First Obs. Date,1977
Last Obs. Date,2022
Last Update Time,26/04/2023
Series remarks,
Suggestions,
Mean,4972.876471461817
Variance,140567602.9974702
Standard Deviation,11856.120908521058
Skewness,1.0019234129081742
Kurtosis,1.223660461799454
Coefficient Variation,2.384157534690552
Min,-15985.92548297
Max,36529.01711505
Median,1150.682218445
No. of Obs,44
1979,1670.50940668
1980,5177.57668905
1981,-6473.93083281
1982,-7281.78483328
1983,-4331.80194197
1984,122.63096398
1985,2603.56620693
1986,210.8835274
1987,-73.20649058
1988,-296.45357765
1989,1089.51645918
1990,4988.24513377
1991,1202.56068217
1992,2267.77291132
1993,-780.3908807
1994,-2127.93235134
1995,-802.3267154
1996,1098.80375472
1997,168.2393078
1998,-1209.15848216
1999,505.75006417
2000,7427.06111599
2001,2477.76276901
2002,1083.1107541
2003,3390.60619158
2004,16840.53600767
2005,36529.01711505
2006,36517.57650503
2007,27648.25626965
2008,29339.30012679
2009,14021.10883334
2010,14579.69052156
2011,12657.61720157
2012,18932.21747129
2013,20148.18656355
2014,906.54087721
2015,-15438.64253397
2016,5077.21747611
2017,13563.76521929
2018,7283.15446297
2019,-13685.2190042
2020,-15985.92548297
2021,-3254.04156366
2022,1018.59884608
