"Date","Balance","Interp.Balance","YoY_pct_change"
1993-12-31,-21.5,-21.5,NA
1994-01-31,NA,-135.43,NA
1994-02-28,NA,-207.3,NA
1994-03-31,-201.1,-201.1,NA
1994-04-30,NA,-92.6,NA
1994-05-31,NA,78.72,NA
1994-06-30,272.7,272.7,NA
1994-07-31,NA,430.1,NA
1994-08-31,NA,524.03,NA
1994-09-30,513.1,513.1,NA
1994-10-31,NA,384.23,NA
1994-11-30,NA,173.86,NA
1994-12-31,-45.6,-45.6,112.093023255814
1995-01-31,NA,-231.15,70.6785793398804
1995-02-28,NA,-331.37,59.8504582730342
1995-03-31,-315.1,-315.1,56.6882148184983
1995-04-30,NA,-164.52,77.6673866090713
1995-05-31,NA,44.85,-43.0259146341463
1995-06-30,233.5,233.5,-14.3747708104144
1995-07-31,NA,315.37,-26.6751918158568
1995-08-31,NA,285.78,-45.4649542965097
1995-09-30,147.3,147.3,-71.2921457805496
1995-10-31,NA,-67.69,-117.617052286391
1995-11-30,NA,-281.73,-262.044173472909
1995-12-31,-376.4,-376.4,725.438596491228
1996-01-31,NA,-288.64,24.8712956954359
1996-02-29,NA,-100.06,-69.8041464224281
1996-03-31,55,55,-117.454776261504
1996-04-30,NA,107.43,-165.299051787017
1996-05-31,NA,69.19,54.2697881828316
1996-06-30,-11.3,-11.3,-104.839400428266
1996-07-31,NA,-86.87,-127.545422836668
1996-08-31,NA,-148.13,-151.833578276996
1996-09-30,-185.3,-185.3,-225.797691785472
1996-10-31,NA,-192.03,183.690353080219
1996-11-30,NA,-163.78,-41.866325914883
1996-12-31,-98,-98,-73.9638682252922
1997-01-31,NA,7.42,-102.570676274945
1997-02-28,NA,121.29,-221.217269638217
1997-03-31,201,201,265.454545454545
1997-04-30,NA,238.95,122.423903937448
1997-05-31,NA,233.79,237.895649660356
1997-06-30,202,202,-1887.61061946903
1997-07-31,NA,154.74,-278.128237596408
1997-08-31,NA,68.18,-146.027138324445
1997-09-30,-85.6,-85.6,-53.804641122504
1997-10-31,NA,-308.32,60.558246107379
1997-11-30,NA,-549.21,235.333984613506
1997-12-31,-711.3,-711.3,625.816326530612
1998-01-31,NA,-751.35,-10226.0107816712
1998-02-28,NA,-729.9,-701.780855800148
1998-03-31,-739.7,-739.7,-468.009950248756
1998-04-30,NA,-837.54,-450.508474576271
1998-05-31,NA,-941.12,-502.549296377091
1998-06-30,-942.4,-942.4,-566.534653465347
1998-07-31,NA,-770.61,-598.003101977511
1998-08-31,NA,-509.45,-847.21325902024
