"Date","Balance","Interp.Balance","YoY_pct_change"
2008-03-31,9432.16236364,9432.16,NA
2008-04-30,NA,9548.75,NA
2008-05-31,NA,9809.26,NA
2008-06-30,10383.67145622,10383.67,NA
2008-07-31,NA,11196.41,NA
2008-08-31,NA,11468.55,NA
2008-09-30,10109.89160108,10109.89,NA
2008-10-31,NA,6698.85,NA
2008-11-30,NA,2426.91,NA
2008-12-31,-586.42529415,-586.43,NA
2009-01-31,NA,-1178.57,NA
2009-02-28,NA,-54.72,NA
2009-03-31,1272.65916595,1272.66,-86.5072263405201
2009-04-30,NA,2087.92,-78.1341013221626
2009-05-31,NA,2283.97,-76.7161845032143
2009-06-30,2190.24228546,2190.24,-78.9068797448301
2009-07-31,NA,2119.54,-81.069467802626
2009-08-31,NA,2404.66,-79.0325716851738
2009-09-30,3401.27366953,3401.27,-66.3570028951848
2009-10-31,NA,5136.91,-23.3165394060175
2009-11-30,NA,6803.02,180.316122147092
2009-12-31,7156.93371241,7156.93,-1320.42357996692
2010-01-31,NA,5525.67,-568.845295570055
2010-02-28,NA,3097.82,-5761.22076023392
2010-03-31,1648.69388433,1648.69,29.5467760438766
2010-04-30,NA,1920.87,-8.0007854707077
2010-05-31,NA,3169.03,38.7509468162892
2010-06-30,4061.99404885,4061.99,85.4586711958507
2010-07-31,NA,3603.31,70.0043405644621
2010-08-31,NA,2564.53,6.64834113762446
2010-09-30,2232.44627252,2232.45,-34.3642227756103
2010-10-31,NA,3409.06,-33.6359796064171
2010-11-30,NA,5327.04,-21.6959526798393
2010-12-31,6636.55631585,6636.56,-7.27085496155474
2011-01-31,NA,6565.65,18.8208850691409
2011-02-28,NA,5846.59,88.7323989127838
2011-03-31,5649.53646585,5649.54,242.668421595327
2011-04-30,NA,6566.4,241.845101438411
2011-05-31,NA,7446.39,134.973793242727
2011-06-30,6705.71999915,6705.72,65.0846013899591
2011-07-31,NA,3459.01,-4.00465127896295
2011-08-31,NA,-740.24,-128.864548279802
2011-09-30,-3282.08177163,-3282.08,-247.016954467065
2011-10-31,NA,-2464.15,-172.282388693657
2011-11-30,NA,529.2,-90.0657776175888
2011-12-31,3584.44250821,3584.44,-45.9894885302024
2012-01-31,NA,5293.97,-19.3686839840686
2012-02-29,NA,5461.41,-6.58811375519748
2012-03-31,4495.20881299,4495.21,-20.4322829823313
2012-04-30,NA,2713.63,-58.6740070662768
2012-05-31,NA,1281.18,-82.7946159145573
2012-06-30,1333.62214667,1333.62,-80.1122027164868
2012-07-31,NA,3549.21,2.60768254500565
2012-08-31,NA,6653.34,-998.80849454231
2012-09-30,8582.59995664,8582.6,-361.498805635451
2012-10-31,NA,8008.05,-424.982245399022
2012-11-30,NA,6039.74,1041.2962962963
2012-12-31,4520.78655498,4520.79,26.1226300342592
2013-01-31,NA,4632.24,-12.499693046995
2013-02-28,NA,5730.3,4.92345383335073
2013-03-31,6554.4623385,6554.46,45.8098731761141
2013-04-30,NA,6456.81,137.939954968069
2013-05-31,NA,5634.15,339.762562637568
2013-06-30,4594.95351939,4594.95,244.547172357943
2013-07-31,NA,3865.35,8.90733430819816
2013-08-31,NA,3532.14,-46.9117766415064
2013-09-30,3674.3414541,3674.34,-57.1884976580523
2013-10-31,NA,4239.46,-47.0600208540156
2013-11-30,NA,4934.75,-18.2953239708994
2013-12-31,5324.42925156,5324.43,17.7765390562269
2014-01-31,NA,5115.77,10.4383624337254
2014-02-28,NA,4317.65,-24.6522869657784
2014-03-31,3188.7057895,3188.71,-51.3505307836191
2014-04-30,NA,1668.07,-74.1657257995821
2014-05-31,NA,367.87,-93.4707098675044
2014-06-30,-263.4856719,-263.49,-105.73433878497
2014-07-31,NA,108.84,-97.1842135899724
2014-08-31,NA,880.06,-75.0842265595361
2014-09-30,1159.5987308,1159.6,-68.4405906911173
2014-10-31,NA,341.17,-91.952512820029
2014-11-30,NA,-1317.91,-126.706722731648
2014-12-31,-3178.27797119,-3178.28,-159.692398998578
2015-01-31,NA,-4833.15,-194.475513950002
2015-02-28,NA,-5777.11,-233.802184058458
2015-03-31,-5669.82837222,-5669.83,-277.809521718814
2015-04-30,NA,-4372.5,-362.129287140228
2015-05-31,NA,-2813.4,-864.781036779297
2015-06-30,-2059.63333706,-2059.63,681.6729287639
2015-07-31,NA,-2902.44,-2766.70341786108
2015-08-31,NA,-4548.64,-616.855668931664
2015-09-30,-5695.26737236,-5695.27,-591.140910658848
2015-10-31,NA,-5397.34,-1682.00896913562
2015-11-30,NA,-3938.49,198.84362361618
2015-12-31,-2013.91345233,-2013.91,-36.6352240834665
2016-01-31,NA,-89.23,-98.1537920403877
2016-02-29,NA,1301.67,-122.531507968517
2016-03-31,1728.86275694,1728.86,-130.492272255076
2016-04-30,NA,1046.04,-123.923156089194
