Ticker,Name,Series Type,Currency,Country,Sector,Industry,Sic,Exchange,Cik,Fiscal_End,Units,Scale,Flow,Adjustment,Periodicity,Metadata,Corporate_History
BN.CAB.XOKA.CD.POL,"Poland Current account balance (BoP, current US$)",Balance of Payments,United States Dollar,Poland,,,,,,,National Currency,Millions,Annual,Current Not Seasonally Adjusted,Annual From Dec 1976 To Dec 2017<BR>,Definition:Current account balance is the sum of net exports of goods  services  net income  and net current transfers. Data are in current U.S. dollars.
Source:International Monetary Fund  Balance of Payments Statistics Yearbook and data files.,
Date,Ticker,Close,Annual_Percent_Change
12/31/1976,BN.CAB.XOKA.CD.POL,-2793,
12/31/1977,BN.CAB.XOKA.CD.POL,-2392,-14.3573218761189
12/31/1978,BN.CAB.XOKA.CD.POL,-2545,6.39632107023411
12/31/1979,BN.CAB.XOKA.CD.POL,-3365,32.2200392927308
12/31/1980,BN.CAB.XOKA.CD.POL,-3417,1.54531946508172
12/31/1981,BN.CAB.XOKA.CD.POL,-3986,16.6520339479075
12/31/1982,BN.CAB.XOKA.CD.POL,-1941,-51.3045659809333
12/31/1983,BN.CAB.XOKA.CD.POL,-1581,-18.5471406491499
12/31/1984,BN.CAB.XOKA.CD.POL,-1083,-31.4990512333966
12/31/1985,BN.CAB.XOKA.CD.POL,-982,-9.32594644506002
12/31/1986,BN.CAB.XOKA.CD.POL,-1106,12.6272912423625
12/31/1987,BN.CAB.XOKA.CD.POL,-379,-65.7323688969259
12/31/1988,BN.CAB.XOKA.CD.POL,-107,-71.7678100263852
12/31/1989,BN.CAB.XOKA.CD.POL,-1409,1216.82242990654
12/31/1990,BN.CAB.XOKA.CD.POL,3067,-317.672107877928
12/31/1991,BN.CAB.XOKA.CD.POL,-2146,-169.970655363547
12/31/1992,BN.CAB.XOKA.CD.POL,-3104,44.641192917055
12/31/1993,BN.CAB.XOKA.CD.POL,-5788,86.4690721649485
12/31/1994,BN.CAB.XOKA.CD.POL,634,-110.953697304769
12/31/1995,BN.CAB.XOKA.CD.POL,854,34.7003154574132
12/31/1996,BN.CAB.XOKA.CD.POL,-3264,-482.201405152225
12/31/1997,BN.CAB.XOKA.CD.POL,-5744,75.9803921568627
12/31/1998,BN.CAB.XOKA.CD.POL,-6901,20.1427576601671
12/31/1999,BN.CAB.XOKA.CD.POL,-12487,80.9447906100565
12/31/2000,BN.CAB.XOKA.CD.POL,-10343,-17.169856650917
12/31/2001,BN.CAB.XOKA.CD.POL,-5946,-42.5118437590641
12/31/2002,BN.CAB.XOKA.CD.POL,-5544,-6.76084762865792
12/31/2003,BN.CAB.XOKA.CD.POL,-5473,-1.28066378066378
12/31/2004,BN.CAB.XOKA.CD.POL,-13851,153.078750228394
12/31/2005,BN.CAB.XOKA.CD.POL,-7981,-42.3796115803913
12/31/2006,BN.CAB.XOKA.CD.POL,-13893,74.0759303345446
12/31/2007,BN.CAB.XOKA.CD.POL,-27429,97.4303606132585
12/31/2008,BN.CAB.XOKA.CD.POL,-35829,30.6245214918517
12/31/2009,BN.CAB.XOKA.CD.POL,-17867,-50.1325741717603
12/31/2010,BN.CAB.XOKA.CD.POL,-25875,44.8200593272514
12/31/2011,BN.CAB.XOKA.CD.POL,-27355,5.71980676328502
12/31/2012,BN.CAB.XOKA.CD.POL,-18605,-31.9868397002376
12/31/2013,BN.CAB.XOKA.CD.POL,-6749,-63.7248051599033
12/31/2014,BN.CAB.XOKA.CD.POL,-11444,69.5658616091273
12/31/2015,BN.CAB.XOKA.CD.POL,-2659,-76.7651170919259
12/31/2016,BN.CAB.XOKA.CD.POL,-1369,-48.5144791274915
12/31/2017,BN.CAB.XOKA.CD.POL,1584,-215.704894083272
