"Date","Balance","Interp.Balance","YoY_pct_change"
2002-09-30,-44.56329953,-44.56,NA
2002-10-31,NA,-356.27,NA
2002-11-30,NA,-578.93,NA
2002-12-31,-601.94449936,-601.94,NA
2003-01-31,NA,-390.37,NA
2003-02-28,NA,-156.66,NA
2003-03-31,-160.34569999,-160.35,NA
2003-04-30,NA,-548.77,NA
2003-05-31,NA,-1043.1,NA
2003-06-30,-1294.12739957,-1294.13,NA
2003-07-31,NA,-1049.06,NA
2003-08-31,NA,-599.39,NA
2003-09-30,-407.8460992,-407.85,815.28276481149
2003-10-31,NA,-759.01,113.04347826087
2003-11-30,NA,-1351.7,133.482459019225
2003-12-31,-1683.71459924,-1683.71,179.713924975911
2004-01-31,NA,-1451.67,271.870276916771
2004-02-29,NA,-935.78,497.331801353249
2004-03-31,-601.18570032,-601.19,274.923604614905
2004-04-30,NA,-705.98,28.6477030449915
2004-05-31,NA,-1083.22,3.84622759083502
2004-06-30,-1451.78630251,-1451.79,12.182701892391
2004-07-31,NA,-1576.73,50.2993155777553
2004-08-31,NA,-1598.07,166.616059660655
2004-09-30,-1735.65619752,-1735.66,325.563319847983
2004-10-31,NA,-2109.26,177.896206901095
2004-11-30,NA,-2510.78,85.7497965524895
2004-12-31,-2601.2424004,-2601.24,54.4945388457632
2005-01-31,NA,-2194.54,51.173476065497
2005-02-28,NA,-1619.37,73.0502895979824
2005-03-31,-1348.86189669,-1348.86,124.365009398027
2005-04-30,NA,-1606.25,127.520609648999
2005-05-31,NA,-2124.08,96.0894370487989
2005-06-30,-2493.83719723,-2493.84,71.7769098836609
2005-07-31,NA,-2397.17,52.0342734647023
2005-08-31,NA,-2076.73,29.9523800584455
2005-09-30,-1930.64659173,-1930.65,11.2343431317193
2005-10-31,NA,-2206.8,4.62437063235447
2005-11-30,NA,-2632.52,4.84869243820645
2005-12-31,-2766.57120072,-2766.57,6.35581491903863
2006-01-31,NA,-2354.18,7.2744174177732
2006-02-28,NA,-1782.43,10.069347956304
2006-03-31,-1600.75799618,-1600.76,18.675029283988
2006-04-30,NA,-2102.61,30.9017898832685
2006-05-31,NA,-2925.31,37.7212722684645
2006-06-30,-3566.84758843,-3566.85,43.026417091714
2006-07-31,NA,-3611.77,50.6680794436773
2006-08-31,NA,-3355.1,61.5568706572352
2006-09-30,-3265.44811125,-3265.45,69.1373371662393
2006-10-31,NA,-3645.8,65.2075403298894
2006-11-30,NA,-4218.54,60.247215595703
2006-12-31,-4504.31478707,-4504.31,62.8120741568079
2007-01-31,NA,-4237.59,80.0028035239447
2007-02-28,NA,-3814.81,114.022991085204
2007-03-31,-3790.05081027,-3790.05,136.765661310877
2007-04-30,NA,-4493.12,113.692505980662
2007-05-31,NA,-5471.67,87.0458173663646
2007-06-30,-6146.71341054,-6146.71,72.3288055286878
2007-07-31,NA,-6067.72,67.9985159630874
2007-08-31,NA,-5704.97,70.0387469822062
2007-09-30,-5775.01800148,-5775.02,76.85219495016
2007-10-31,NA,-6681.17,83.2566240605628
2007-11-30,NA,-7813.89,85.2273535393762
2007-12-31,-8186.51028722,-8186.51,81.748369894612
2008-01-31,NA,-7245.36,70.9783155048034
2008-02-29,NA,-5859.65,53.6026695956024
2008-03-31,-5290.22537975,-5290.23,39.5820635611667
2008-04-30,NA,-6238.38,38.8429420981412
2008-05-31,NA,-7867.51,43.7862663501271
2008-06-30,-9031.1363415,-9031.14,46.9264045318552
2008-07-31,NA,-8779.15,44.6861424060438
2008-08-31,NA,-7582.39,32.9084990806262
2008-09-30,-6295.52432516,-6295.52,9.01295579928727
2008-10-31,NA,-5570.56,-16.6229866924506
2008-11-30,NA,-5063.06,-35.2043604401905
2008-12-31,-4296.12339763,-4296.12,-47.5219599072132
2009-01-31,NA,-2908.15,-59.8618978215023
2009-02-28,NA,-1480.04,-74.7418361164916
2009-03-31,-808.44300628,-808.44,-84.7182447644053
2009-04-30,NA,-1196.82,-80.8152116414839
2009-05-31,NA,-2139.63,-72.8042290381582
2009-06-30,-2855.50740542,-2855.51,-68.3815110827647
2009-07-31,NA,-2721.29,-69.002807788909
2009-08-31,NA,-2118.14,-72.0650085263354
2009-09-30,-1698.66129432,-1698.66,-73.0179556255877
2009-10-31,NA,-1914.32,-65.6350528492647
2009-11-30,NA,-2476.08,-51.0951874953092
2009-12-31,-2869.69519443,-2869.7,-33.2025176205506
2010-01-31,NA,-2781.04,-4.3708199370734
2010-02-28,NA,-2473.88,67.1495364990135
2010-03-31,-2375.56359659,-2375.56,193.844935925981
2010-04-30,NA,-2718.42,127.13691281897
2010-05-31,NA,-3193.23,49.2421586909886
2010-06-30,-3368.41908925,-3368.42,17.9621153489219
2010-07-31,NA,-2933.11,7.78380841439171
2010-08-31,NA,-2163.38,2.13583615813876
2010-09-30,-1539.9201048,-1539.92,-9.34501312799501
2010-10-31,NA,-1395.88,-27.0822015128087
2010-11-30,NA,-1497.49,-39.5217440470421
2010-12-31,-1487.51719653,-1487.52,-48.1646165104366
2011-01-31,NA,-1150.23,-58.6402928400886
2011-02-28,NA,-862.1,-65.1519071256488
2011-03-31,-1085.93980263,-1085.94,-54.2869891730792
2011-04-30,NA,-2138.12,-21.3469588952406
2011-05-31,NA,-3418.39,7.05116762650983
2011-06-30,-4239.82840765,-4239.83,25.8699924593726
2011-07-31,NA,-4028.25,37.3371608974774
2011-08-31,NA,-3161.61,46.1421479351755
2011-09-30,-2279.3256062,-2279.33,48.0161307080887
2011-10-31,NA,-1880.43,34.712869301086
2011-11-30,NA,-1810.53,20.9043132174505
2011-12-31,-1801.42779859,-1801.43,21.1029095407121
2012-01-31,NA,-1654.96,43.8807890595794
2012-02-29,NA,-1515.02,75.7359935042338
2012-03-31,-1595.07219615,-1595.07,46.8838057351235
2012-04-30,NA,-2032.74,-4.92862888893046
