"Date","Current_over_GDP"
"2002-03-31",-3.66731720484147
"2002-04-30",-3.66605748880557
"2002-05-31",-3.73962459157677
"2002-06-30",-3.54476470662109
"2002-07-31",-3.04072209541082
"2002-08-31",-2.26549908636764
"2002-09-30",-1.64561198699285
"2002-10-31",-1.54906593320482
"2002-11-30",-1.79493903829291
"2002-12-31",-2.27357491938107
"2003-01-31",-2.86726325033558
"2003-02-28",-3.50717076566354
"2003-03-31",-3.99788093830081
"2003-04-30",-3.80236257645214
"2003-05-31",-3.13546481854938
"2003-06-30",-2.65459348038427
"2003-07-31",-2.3287282634013
"2003-08-31",-1.99532784616594
"2003-09-30",-1.70182533631061
"2003-10-31",-1.41401402284676
"2003-11-30",-1.46021818459296
"2003-12-31",-1.94644839870464
"2004-01-31",-3.17916988664856
"2004-02-29",-5.04164055426685
"2004-03-31",-6.6798351387645
"2004-04-30",-7.71550527676111
"2004-05-31",-7.82144420754388
"2004-06-30",-7.28761653520953
"2004-07-31",-6.65274854649991
"2004-08-31",-6.23957969850149
"2004-09-30",-5.75162850705431
"2004-10-31",-5.27070418597705
"2004-11-30",-4.75892838229052
"2004-12-31",-4.19128124225441
"2005-01-31",-3.70926298145678
"2005-02-28",-3.07848080131444
"2005-03-31",-2.69477611089594
"2005-04-30",-2.76196255872164
"2005-05-31",-3.03763774944788
"2005-06-30",-3.37662838627196
"2005-07-31",-3.6432804145152
"2005-08-31",-3.64082132839594
"2005-09-30",-3.5734634499566
"2005-10-31",-3.60147379820733
"2005-11-30",-3.66782341498139
"2005-12-31",-3.49204771442683
"2006-01-31",-3.40191493243501
"2006-02-28",-3.50460299824581
"2006-03-31",-3.82356282424023
"2006-04-30",-4.22674252155975
"2006-05-31",-4.38646419010794
"2006-06-30",-4.72402911257062
"2006-07-31",-4.55805030986936
"2006-08-31",-4.2152054316513
"2006-09-30",-4.37208729160288
"2006-10-31",-4.78117205761966
"2006-11-30",-5.16679477726951
"2006-12-31",-5.38198787444034
"2007-01-31",-5.63400611829678
"2007-02-28",-5.65046982695581
"2007-03-31",-5.92728443650453
"2007-04-30",-6.5422890675659
"2007-05-31",-7.31100653015942
"2007-06-30",-7.82654787306379
"2007-07-31",-7.25974420401877
"2007-08-31",-6.7130808596459
"2007-09-30",-6.14960319365884
"2007-10-31",-6.07738988111661
"2007-11-30",-6.27702065866248
"2007-12-31",-6.46806260345896
"2008-01-31",-6.1913904697641
"2008-02-29",-5.75407735725988
"2008-03-31",-5.32801206495041
"2008-04-30",-5.58101730860493
"2008-05-31",-6.30862949959262
"2008-06-30",-6.90994558478894
"2008-07-31",-6.8939127219004
"2008-08-31",-7.32904260739787
"2008-09-30",-7.69180512926206
"2008-10-31",-8.47739754895074
"2008-11-30",-8.48584444410602
"2008-12-31",-7.39289845945518
"2009-01-31",-5.70988087174572
"2009-02-28",-3.67393229237772
"2009-03-31",-1.84215255139782
"2009-04-30",-1.74580300811608
"2009-05-31",-2.84446284946241
"2009-06-30",-4.11388995932057
"2009-07-31",-4.51173809685627
"2009-08-31",-4.40620046643381
"2009-09-30",-4.34011475911176
"2009-10-31",-4.41139996626888
"2009-11-30",-4.52843094205601
"2009-12-31",-4.81958718182534
"2010-01-31",-5.09691426357597
"2010-02-28",-5.36232635047455
"2010-03-31",-5.07528396183156
"2010-04-30",-4.41891809755757
"2010-05-31",-4.16897176205864
"2010-06-30",-4.10363452746421
"2010-07-31",-4.44507816928638
"2010-08-31",-5.26351584476061
"2010-09-30",-6.00030792291122
"2010-10-31",-5.8712044548494
"2010-11-30",-5.77177009809274
"2010-12-31",-5.59612631000569
"2011-01-31",-4.86175227479664
"2011-02-28",-4.34110977046469
"2011-03-31",-4.28648076777142
"2011-04-30",-4.6165229759971
"2011-05-31",-5.36546601112548
"2011-06-30",-6.1191523647569
"2011-07-31",-6.54869058791996
"2011-08-31",-6.66388075371609
"2011-09-30",-6.51347472011876
