"Date","Current_over_GDP"
"2002-09-30",-0.348374850087797
"2002-10-31",-2.60550133979242
"2002-11-30",-4.07382465799309
"2002-12-31",-4.29816838360621
"2003-01-31",-3.03231088546554
"2003-02-28",-1.35471686365665
"2003-03-31",-1.54048492371069
"2003-04-30",-5.26088736311406
"2003-05-31",-8.70387306079944
"2003-06-30",-9.69824549833783
"2003-07-31",-7.23448742898677
"2003-08-31",-3.94305175193752
"2003-09-30",-2.54540030531073
"2003-10-31",-4.34308922899452
"2003-11-30",-7.61309675678812
"2003-12-31",-9.29067494804824
"2004-01-31",-8.67116451182252
"2004-02-29",-6.21887340155322
"2004-03-31",-4.45585025366602
"2004-04-30",-5.33142222359833
"2004-05-31",-7.38951911027248
"2004-06-30",-8.85323098200924
"2004-07-31",-8.79589417458126
"2004-08-31",-8.37964307849777
"2004-09-30",-8.50501041283842
"2004-10-31",-9.3826037986632
"2004-11-30",-9.92202368532534
"2004-12-31",-9.75853145588658
"2005-01-31",-9.09962801879685
"2005-02-28",-7.38808850541046
"2005-03-31",-6.77626703976007
"2005-04-30",-8.29649303042934
"2005-05-31",-10.4234489324219
"2005-06-30",-11.6529079702313
"2005-07-31",-10.3132253325102
"2005-08-31",-8.0162290878337
"2005-09-30",-6.96390485098113
"2005-10-31",-7.70532071459622
"2005-11-30",-9.07669429477638
"2005-12-31",-9.56650132177936
"2006-01-31",-8.73413025250614
"2006-02-28",-7.35596597427766
"2006-03-31",-7.22811485440006
"2006-04-30",-9.16747145806401
"2006-05-31",-11.2139490576489
"2006-06-30",-12.7026834523407
"2006-07-31",-12.1039896781112
"2006-08-31",-10.4058404954707
"2006-09-30",-9.63752266276536
"2006-10-31",-10.0862970718532
"2006-11-30",-10.7781172441598
"2006-12-31",-11.0029941033971
"2007-01-31",-11.415841376111
"2007-02-28",-11.4327902762198
"2007-03-31",-12.200618006265
"2007-04-30",-13.7698501354423
"2007-05-31",-15.0160460739398
"2007-06-30",-15.2319456253112
"2007-07-31",-13.3690563011305
"2007-08-31",-12.4569708199656
"2007-09-30",-12.0862792010819
"2007-10-31",-12.5999402927766
"2007-11-30",-13.8818660375739
"2007-12-31",-14.7427305272026
"2008-01-31",-14.6512863776702
"2008-02-29",-13.1432414021581
"2008-03-31",-12.5647090006907
"2008-04-30",-13.9595457404609
"2008-05-31",-16.2856643693921
"2008-06-30",-16.966434934045
"2008-07-31",-14.8868287984589
"2008-08-31",-12.6888439471286
"2008-09-30",-10.6178827481162
"2008-10-31",-9.73630037504584
"2008-11-30",-8.90542177744695
"2008-12-31",-7.58379809866641
"2009-01-31",-6.46976862871339
"2009-02-28",-4.12741544883314
"2009-03-31",-2.61927919603382
"2009-04-30",-3.77562058675722
"2009-05-31",-5.85055535199637
"2009-06-30",-6.88213999942157
"2009-07-31",-6.17136515053828
"2009-08-31",-4.60111331762657
"2009-09-30",-3.46337910774957
"2009-10-31",-3.58453932419322
"2009-11-30",-4.34092708056665
"2009-12-31",-5.13239658794083
"2010-01-31",-5.61064122190382
"2010-02-28",-6.13842243327554
"2010-03-31",-6.91195258965453
"2010-04-30",-8.14626977667446
"2010-05-31",-9.30663428086291
"2010-06-30",-9.19178333018156
"2010-07-31",-7.19001720832864
"2010-08-31",-4.99019666640524
"2010-09-30",-3.38248069524572
"2010-10-31",-2.734810845907
"2010-11-30",-2.87632194046137
"2010-12-31",-2.98779369617148
"2011-01-31",-2.49926775233428
"2011-02-28",-2.06734395102258
"2011-03-31",-2.77318038287837
"2011-04-30",-5.22856957006355
"2011-05-31",-7.82714022560566
"2011-06-30",-9.01923386194403
"2011-07-31",-8.19402357527324
"2011-08-31",-6.09792484894588
"2011-09-30",-4.39428305380627
"2011-10-31",-3.46547280170639
"2011-11-30",-3.28726040208674
"2011-12-31",-3.43000816836349
"2012-01-31",-3.58513892586642
"2012-02-29",-3.70951842516739
"2012-03-31",-4.41488828746941
"2012-04-30",-5.58552161925556
"2012-05-31",-6.74634651989211
"2012-06-30",-7.21402837062069
"2012-07-31",-6.99041801515622
"2012-08-31",-5.9273398174265
"2012-09-30",-4.7284517808943
"2012-10-31",-4.0243396326805
"2012-11-30",-3.52571876846512
"2012-12-31",-2.94975985785806
"2013-01-31",-2.18614454893017
"2013-02-28",-1.1751148665449
"2013-03-31",-0.117736098213353
"2013-04-30",0.72097681308505
"2013-05-31",0.840814832116051
"2013-06-30",0.495526512779168
"2013-07-31",-0.126409896787037
"2013-08-31",-0.885220496905649
"2013-09-30",-1.62104524297651
"2013-10-31",-2.06657661439771
"2013-11-30",-2.25523612026882
"2013-12-31",-1.96703898270196
"2014-01-31",-1.12672167324779
"2014-02-28",0.10305125206041
"2014-03-31",0.753916111123957
"2014-04-30",-0.0167693277748801
"2014-05-31",-1.34252404530865
"2014-06-30",-2.14216495337109
"2014-07-31",-1.9497409526853
"2014-08-31",-1.22645073572716
"2014-09-30",-0.507944844823748
"2014-10-31",-0.156221731220983
"2014-11-30",0.131824177814024
"2014-12-31",0.801223447960145
"2015-01-31",2.45342439143023
"2015-02-28",4.28858422507461
"2015-03-31",4.98198506329826
"2015-04-30",2.20177509974758
"2015-05-31",-1.55349291908286
"2015-06-30",-3.90422803092418
"2015-07-31",-3.93096434360925
"2015-08-31",-2.66658196319065
"2015-09-30",-1.52573582907868
"2015-10-31",-1.23570392988611
"2015-11-30",-1.43975549967153
"2015-12-31",-1.43457912097535
"2016-01-31",-0.875842638892024
"2016-02-29",-0.0999225754051977
"2016-03-31",-0.168586307193571
"2016-04-30",-1.88871888656415
"2016-05-31",-3.77418528684691
"2016-06-30",-4.56219022839553
"2016-07-31",-3.71457191324435
"2016-08-31",-2.05694439774384
"2016-09-30",-0.762722292707144
"2016-10-31",-0.469053282281894
"2016-11-30",-0.743161215964277
"2016-12-31",-1.0525628111692
"2017-01-31",-1.04171053229129
"2017-02-28",-1.11269057611634
"2017-03-31",-1.95328813458518
"2017-04-30",-3.98585865796398
"2017-05-31",-5.6356574631689
"2017-06-30",-6.128861212416
"2017-07-31",-5.08510395409547
"2017-08-31",-3.49515529466806
"2017-09-30",-2.29789830343015
"2017-10-31",-1.95113283809006
"2017-11-30",-2.08953095596381
"2017-12-31",-2.24295094317789
"2018-01-31",-2.15686688302053
"2018-02-28",-2.08913428841752
"2018-03-31",-2.50465053231847
"2018-04-30",-3.62834704579514
"2018-05-31",-4.94367039717094
"2018-06-30",-5.86237022368724
"2018-07-31",-6.07548242718958
"2018-08-31",-5.99391418420368
"2018-09-30",-5.56625823263584
"2018-10-31",-5.19647596342302
"2018-11-30",-4.72504208964678
"2018-12-31",-4.14247106883413
"2019-01-31",-3.44291735640878
"2019-02-28",-2.76866811297851
"2019-03-31",-2.79402946204114
"2019-04-30",-3.97819619158654
"2019-05-31",-5.48165707040105
"2019-06-30",-6.4158090222473
"2019-07-31",-6.71868259576865
"2019-08-31",-6.52312297398216
"2019-09-30",-6.01794405110323
"2019-10-31",-5.3224930006758
"2019-11-30",-4.6381584258365
"2019-12-31",-3.94479830659033
"2020-01-31",-3.17306729592847
"2020-02-29",-2.45851158083441
"2020-03-31",-2.29792174204315
"2020-04-30",-3.33870132672468
"2020-05-31",-4.9448762782407
"2020-06-30",-6.19203658612665
"2020-07-31",-6.72786525293367
"2020-08-31",-6.59297101815853
"2020-09-30",-6.27407220967716
"2020-10-31",-5.65564706979258
"2020-11-30",-5.01736144681146
"2020-12-31",-4.49382525526659
"2021-01-31",-4.4545529765972
"2021-02-28",-4.83109419428141
"2021-03-31",-5.88535716109705
"2021-04-30",-7.18294075829554
"2021-05-31",-7.99418854921978
"2021-06-30",-8.58274233902067
"2021-07-31",-8.7504078424235
"2021-08-31",-8.41764508508606
"2021-09-30",-7.82414322441378
"2021-10-31",-7.18422906103366
"2021-11-30",-6.72171394892376
"2021-12-31",-6.71391465821405
"2022-01-31",-7.33537425075544
"2022-02-28",-8.43439655595954
"2022-03-31",-9.92740389187765
"2022-04-30",-10.5377877847206
"2022-05-31",-10.6512926067829
"2022-06-30",-10.6529042900287
"2022-07-31",-11.3912506416728
"2022-08-31",-11.5651531459883
"2022-09-30",-11.2060685136507
"2022-10-31",-9.55470346860682
"2022-11-30",-7.18350096065805
"2022-12-31",-5.53409026061413
"2023-01-31",-4.96174595546218
"2023-02-28",-5.2096022319042
"2023-03-31",-5.9072476944195
"2023-04-30",-6.30942230840946
"2023-05-31",-6.61628610165329
"2023-06-30",-6.77049795427228
