Date,Current_over_GDP,Curr Balance/GDP MA3
1995-03-31,-11.5782764273371,
1995-04-30,-9.54829636374291,
1995-05-31,-7.20180609779428,-9.442792962958096
1995-06-30,-4.72663105384442,-7.158911171793869
1995-07-31,-2.59114849696179,-4.83986188286683
1995-08-31,-0.737805326545827,-2.685194959117345
1995-09-30,0.705084758148346,-0.8746230217864236
1995-10-31,1.39712882021973,0.4548027506074164
1995-11-30,1.21592506793893,1.1060462154356687
1995-12-31,0.0228293694875551,0.8786277525487384
1996-01-31,-2.36682819008756,-0.3760245842203583
1996-02-29,-5.09296119922737,-2.4789866732757915
1996-03-31,-6.65418870062962,-4.70465936331485
1996-04-30,-6.14662743827925,-5.964592446045413
1996-05-31,-4.34265424513474,-5.714490128014536
1996-06-30,-2.41439341859415,-4.301225034002713
1996-07-31,-1.41531617524107,-2.724121279656653
1996-08-31,-1.24425641723316,-1.69132200368946
1996-09-30,-1.7494516676987,-1.4696747533909766
1996-10-31,-2.64778043679796,-1.88049617390994
1996-11-30,-3.82780810411004,-2.7416800695355668
1996-12-31,-5.31900373615387,-3.931530759020623
1997-01-31,-7.06330815084844,-5.403373330370783
1997-02-28,-8.75150228522804,-7.044604724076784
1997-03-31,-9.17460087381412,-8.329803769963533
1997-04-30,-7.9472791103837,-8.624460756475287
1997-05-31,-5.84549587785105,-7.65579195401629
1997-06-30,-3.87814959708145,-5.8903081951054
1997-07-31,-2.71969880789806,-4.1477814276101865
1997-08-31,-2.11548791001458,-2.9044454383313636
1997-09-30,-1.86550344687664,-2.2335633882630934
1997-10-31,-1.92171783508038,-1.9675697306572
1997-11-30,-2.43623433834794,-2.0744852067683204
1997-12-31,-3.65868519604451,-2.6722124564909433
1998-01-31,-5.8160285597515,-3.970316031381317
1998-02-28,-8.1840170059308,-5.886243587242269
1998-03-31,-9.79233345472343,-7.93079300680191
1998-04-30,-9.91908580536865,-9.298478755340959
1998-05-31,-8.86542821371773,-9.52561582460327
1998-06-30,-7.72928648662294,-8.837933501903107
1998-07-31,-6.70536595610627,-7.766693552148979
1998-08-31,-6.0726631369266,-6.83577185988527
1998-09-30,-5.81748985962042,-6.1985063175510975
