Date,Current_over_GDP,Curr Balance/GDP MA3
2002-03-31,-3.66731720484147,
2002-04-30,-3.66605748880557,
2002-05-31,-3.73962459157677,-3.69099976174127
2002-06-30,-3.54476470662109,-3.650148929001143
2002-07-31,-3.04072209541082,-3.4417037978695597
2002-08-31,-2.26549908636764,-2.9503286294665165
2002-09-30,-1.64561198699285,-2.31727772292377
2002-10-31,-1.54906593320482,-1.8200590021884366
2002-11-30,-1.79493903829291,-1.6632056528301933
2002-12-31,-2.27357491938107,-1.8725266302929333
2003-01-31,-2.86726325033558,-2.311925736003187
2003-02-28,-3.50717076566354,-2.88266964512673
2003-03-31,-3.99788093830081,-3.457438318099977
2003-04-30,-3.80236257645214,-3.769138093472163
2003-05-31,-3.13546481854938,-3.6452361111007767
2003-06-30,-2.65459348038427,-3.1974736251285965
2003-07-31,-2.3287282634013,-2.7062621874449833
2003-08-31,-1.99532784616594,-2.3262165299838364
2003-09-30,-1.70182533631061,-2.00862714862595
2003-10-31,-1.41401402284676,-1.7037224017744368
2003-11-30,-1.46021818459296,-1.5253525145834432
2003-12-31,-1.94644839870464,-1.6068935353814533
2004-01-31,-3.17916988664856,-2.1952788233153866
2004-02-29,-5.04164055426685,-3.38908627987335
2004-03-31,-6.6798351387645,-4.966881859893303
2004-04-30,-7.71550527676111,-6.4789936565974875
2004-05-31,-7.82144420754388,-7.405594874356496
2004-06-30,-7.28761653520953,-7.608188673171507
2004-07-31,-6.65274854649991,-7.253936429751107
2004-08-31,-6.23957969850149,-6.72664826007031
2004-09-30,-5.75162850705431,-6.214652250685237
2004-10-31,-5.27070418597705,-5.753970797177616
2004-11-30,-4.75892838229052,-5.260420358440626
2004-12-31,-4.19128124225441,-4.740304603507327
2005-01-31,-3.70926298145678,-4.219824202000571
2005-02-28,-3.07848080131444,-3.659675008341877
2005-03-31,-2.69477611089594,-3.16083996455572
2005-04-30,-2.76196255872164,-2.84507315697734
2005-05-31,-3.03763774944788,-2.8314588063551533
2005-06-30,-3.37662838627196,-3.0587428981471603
2005-07-31,-3.6432804145152,-3.352515516745013
2005-08-31,-3.64082132839594,-3.5535767097277
2005-09-30,-3.5734634499566,-3.6191883976225796
2005-10-31,-3.60147379820733,-3.6052528588532895
2005-11-30,-3.66782341498139,-3.6142535543817735
2005-12-31,-3.49204771442683,-3.58711497587185
2006-01-31,-3.40191493243501,-3.5205953539477437
2006-02-28,-3.50460299824581,-3.466188548369217
2006-03-31,-3.82356282424023,-3.576693584973684
2006-04-30,-4.22674252155975,-3.8516361146819293
2006-05-31,-4.38646419010794,-4.1455898453026405
2006-06-30,-4.72402911257062,-4.445745274746103
2006-07-31,-4.55805030986936,-4.55618120418264
2006-08-31,-4.2152054316513,-4.49909495136376
2006-09-30,-4.37208729160288,-4.38178101104118
2006-10-31,-4.78117205761966,-4.456154926957947
2006-11-30,-5.16679477726951,-4.7733513754973504
2006-12-31,-5.38198787444034,-5.1099849031098366
2007-01-31,-5.63400611829678,-5.3942629233355435
2007-02-28,-5.65046982695581,-5.555487939897643
2007-03-31,-5.92728443650453,-5.7372534605857055
2007-04-30,-6.5422890675659,-6.040014443675413
2007-05-31,-7.31100653015942,-6.593526678076617
2007-06-30,-7.82654787306379,-7.226614490263036
2007-07-31,-7.25974420401877,-7.465766202413993
2007-08-31,-6.7130808596459,-7.266457645576153
2007-09-30,-6.14960319365884,-6.707476085774505
2007-10-31,-6.07738988111661,-6.313357978140449
2007-11-30,-6.27702065866248,-6.168004577812643
2007-12-31,-6.46806260345896,-6.274157714412683
2008-01-31,-6.1913904697641,-6.312157910628514
2008-02-29,-5.75407735725988,-6.137843476827647
2008-03-31,-5.32801206495041,-5.75782663065813
2008-04-30,-5.58101730860493,-5.554368910271741
2008-05-31,-6.30862949959262,-5.739219624382653
2008-06-30,-6.90994558478894,-6.266530797662163
2008-07-31,-6.8939127219004,-6.704162602093987
