Date,Current_over_GDP,Curr Balance/GDP MA3
2002-09-30,-0.348374850087797,
2002-10-31,-2.60550133979242,
2002-11-30,-4.07382465799309,-2.3425669492911028
2002-12-31,-4.29816838360621,-3.6591647937972405
2003-01-31,-3.03231088546554,-3.801434642354947
2003-02-28,-1.35471686365665,-2.8950653775761332
2003-03-31,-1.54048492371069,-1.9758375576109604
2003-04-30,-5.26088736311406,-2.7186963834938003
2003-05-31,-8.70387306079944,-5.168415115874731
2003-06-30,-9.69824549833783,-7.8876686407504435
2003-07-31,-7.23448742898677,-8.545535329374681
2003-08-31,-3.94305175193752,-6.958594893087374
2003-09-30,-2.54540030531073,-4.574313162078341
2003-10-31,-4.34308922899452,-3.610513762080924
2003-11-30,-7.61309675678812,-4.8338620970311235
2003-12-31,-9.29067494804824,-7.082286977943627
2004-01-31,-8.67116451182252,-8.524978738886293
2004-02-29,-6.21887340155322,-8.06023762047466
2004-03-31,-4.45585025366602,-6.44862938901392
2004-04-30,-5.33142222359833,-5.335381959605857
2004-05-31,-7.38951911027248,-5.7255971958456096
2004-06-30,-8.85323098200924,-7.191390771960017
2004-07-31,-8.79589417458126,-8.346214755620993
2004-08-31,-8.37964307849777,-8.676256078362757
2004-09-30,-8.50501041283842,-8.560182555305817
2004-10-31,-9.3826037986632,-8.755752429999797
2004-11-30,-9.92202368532534,-9.269879298942321
2004-12-31,-9.75853145588658,-9.68771964662504
2005-01-31,-9.09962801879685,-9.593394386669589
2005-02-28,-7.38808850541046,-8.748749326697963
2005-03-31,-6.77626703976007,-7.754661187989126
2005-04-30,-8.29649303042934,-7.4869495251999565
2005-05-31,-10.4234489324219,-8.49873633420377
2005-06-30,-11.6529079702313,-10.124283311027513
2005-07-31,-10.3132253325102,-10.796527411721135
2005-08-31,-8.0162290878337,-9.994120796858402
2005-09-30,-6.96390485098113,-8.431119757108343
2005-10-31,-7.70532071459622,-7.561818217803683
2005-11-30,-9.07669429477638,-7.91530662011791
2005-12-31,-9.56650132177936,-8.782838777050653
2006-01-31,-8.73413025250614,-9.125775289687294
2006-02-28,-7.35596597427766,-8.552199182854386
2006-03-31,-7.22811485440006,-7.772737027061287
2006-04-30,-9.16747145806401,-7.917184095580577
2006-05-31,-11.2139490576489,-9.203178456704324
2006-06-30,-12.7026834523407,-11.028034656017871
2006-07-31,-12.1039896781112,-12.006874062700268
2006-08-31,-10.4058404954707,-11.737504541974198
2006-09-30,-9.63752266276536,-10.71578427878242
2006-10-31,-10.0862970718532,-10.043220076696421
2006-11-30,-10.7781172441598,-10.167312326259454
2006-12-31,-11.0029941033971,-10.6224694731367
2007-01-31,-11.415841376111,-11.065650907889301
2007-02-28,-11.4327902762198,-11.2838752519093
2007-03-31,-12.200618006265,-11.683083219531932
2007-04-30,-13.7698501354423,-12.4677528059757
2007-05-31,-15.0160460739398,-13.662171405215702
2007-06-30,-15.2319456253112,-14.672613944897767
2007-07-31,-13.3690563011305,-14.539016000127168
2007-08-31,-12.4569708199656,-13.6859909154691
2007-09-30,-12.0862792010819,-12.637435440726001
2007-10-31,-12.5999402927766,-12.381063437941366
2007-11-30,-13.8818660375739,-12.856028510477467
2007-12-31,-14.7427305272026,-13.741512285851035
2008-01-31,-14.6512863776702,-14.4252943141489
2008-02-29,-13.1432414021581,-14.179086102343632
2008-03-31,-12.5647090006907,-13.453078926839666
2008-04-30,-13.9595457404609,-13.222498714436567
2008-05-31,-16.2856643693921,-14.269973036847901
2008-06-30,-16.966434934045,-15.737215014632667
2008-07-31,-14.8868287984589,-16.046309367298665
2008-08-31,-12.6888439471286,-14.847369226544165
2008-09-30,-10.6178827481162,-12.731185164567899
2008-10-31,-9.73630037504584,-11.014342356763544
2008-11-30,-8.90542177744695,-9.753201633536328
2008-12-31,-7.58379809866641,-8.741840083719731
2009-01-31,-6.46976862871339,-7.652996168275583
2009-02-28,-4.12741544883314,-6.060327392070978
2009-03-31,-2.61927919603382,-4.405487757860115
2009-04-30,-3.77562058675722,-3.507438410541392
2009-05-31,-5.85055535199637,-4.081818378262469
2009-06-30,-6.88213999942157,-5.50277197939172
2009-07-31,-6.17136515053828,-6.3013535006520724
2009-08-31,-4.60111331762657,-5.884872822528806
2009-09-30,-3.46337910774957,-4.745285858638139
2009-10-31,-3.58453932419322,-3.8830105831897854
2009-11-30,-4.34092708056665,-3.796281837503146
2009-12-31,-5.13239658794083,-4.352620997566899
2010-01-31,-5.61064122190382,-5.027988296803766
2010-02-28,-6.13842243327554,-5.627153414373396
2010-03-31,-6.91195258965453,-6.220338748277963
2010-04-30,-8.14626977667446,-7.065548266534843
2010-05-31,-9.30663428086291,-8.1216188823973
2010-06-30,-9.19178333018156,-8.881562462572974
2010-07-31,-7.19001720832864,-8.562811606457702
2010-08-31,-4.99019666640524,-7.123999068305146
2010-09-30,-3.38248069524572,-5.187564856659866
2010-10-31,-2.734810845907,-3.7024960691859854
2010-11-30,-2.87632194046137,-2.997871160538029
2010-12-31,-2.98779369617148,-2.8663088275132824
2011-01-31,-2.49926775233428,-2.787794462989042
2011-02-28,-2.06734395102258,-2.5181351331761124
2011-03-31,-2.77318038287837,-2.4465973620784087
2011-04-30,-5.22856957006355,-3.3563646346548324
2011-05-31,-7.82714022560566,-5.276296726182525
2011-06-30,-9.01923386194403,-7.358314552537746
2011-07-31,-8.19402357527324,-8.346799220940976
2011-08-31,-6.09792484894588,-7.770394095387715
2011-09-30,-4.39428305380627,-6.228743826008462
2011-10-31,-3.46547280170639,-4.652560234819512
2011-11-30,-3.28726040208674,-3.7156720858664656
2011-12-31,-3.43000816836349,-3.3942471240522054
2012-01-31,-3.58513892586642,-3.434135832105549
2012-02-29,-3.70951842516739,-3.5748885064657654
2012-03-31,-4.41488828746941,-3.9031818795010724
2012-04-30,-5.58552161925556,-4.569976110630786
2012-05-31,-6.74634651989211,-5.582252142205692
2012-06-30,-7.21402837062069,-6.5152988365894515
2012-07-31,-6.99041801515622,-6.983597635223006
2012-08-31,-5.9273398174265,-6.710595401067802
2012-09-30,-4.7284517808943,-5.882069871159007
2012-10-31,-4.0243396326805,-4.893377077000433
2012-11-30,-3.52571876846512,-4.092836727346639
2012-12-31,-2.94975985785806,-3.4999394196678923
2013-01-31,-2.18614454893017,-2.887207725084449
2013-02-28,-1.1751148665449,-2.103673091111042
2013-03-31,-0.117736098213353,-1.159665171229473
2013-04-30,0.72097681308505,-0.1906247172243998
2013-05-31,0.840814832116051,0.4813518489959172
2013-06-30,0.495526512779168,0.6857727193267577
2013-07-31,-0.126409896787037,0.40331048270272846
2013-08-31,-0.885220496905649,-0.17203462697117147
2013-09-30,-1.62104524297651,-0.8775585455563976
2013-10-31,-2.06657661439771,-1.524280784759955
2013-11-30,-2.25523612026882,-1.9809526592143456
2013-12-31,-1.96703898270196,-2.0962839057894955
2014-01-31,-1.12672167324779,-1.7829989254061889
2014-02-28,0.10305125206041,-0.9969031346297789
2014-03-31,0.753916111123957,-0.08991810335447319
2014-04-30,-0.0167693277748801,0.2800660118031635
2014-05-31,-1.34252404530865,-0.20179242065318984
2014-06-30,-2.14216495337109,-1.167152775484872
2014-07-31,-1.9497409526853,-1.8114766504550122
2014-08-31,-1.22645073572716,-1.772785547261182
2014-09-30,-0.507944844823748,-1.2280455110787347
2014-10-31,-0.156221731220983,-0.6302057705906291
2014-11-30,0.131824177814024,-0.17744746607690118
2014-12-31,0.801223447960145,0.2589419648510632
2015-01-31,2.45342439143023,1.128824005734801
2015-02-28,4.28858422507461,2.5144106881549964
2015-03-31,4.98198506329826,3.9079978932677015
2015-04-30,2.20177509974758,3.824114796040151
2015-05-31,-1.55349291908286,1.876755747987661
2015-06-30,-3.90422803092418,-1.0853152834198188
2015-07-31,-3.93096434360925,-3.1295617645387623
2015-08-31,-2.66658196319065,-3.5005914459080256
2015-09-30,-1.52573582907868,-2.707760711959525
2015-10-31,-1.23570392988611,-1.8093405740518123
2015-11-30,-1.43975549967153,-1.4003984195454386
2015-12-31,-1.43457912097535,-1.3700128501776623
2016-01-31,-0.875842638892024,-1.2500590865129668
2016-02-29,-0.0999225754051977,-0.8034481117575227
2016-03-31,-0.168586307193571,-0.38145050716359635
2016-04-30,-1.88871888656415,-0.7190759230543051
2016-05-31,-3.77418528684691,-1.9438301602015426
2016-06-30,-4.56219022839553,-3.4083648006021954
2016-07-31,-3.71457191324435,-4.016982476162263
2016-08-31,-2.05694439774384,-3.444568846461239
2016-09-30,-0.762722292707144,-2.1780795345651103
2016-10-31,-0.469053282281894,-1.0962399909109581
2016-11-30,-0.743161215964277,-0.6583122636511037
2016-12-31,-1.0525628111692,-0.7549257698051225
2017-01-31,-1.04171053229129,-0.9458115198082545
2017-02-28,-1.11269057611634,-1.0689879731922756
2017-03-31,-1.95328813458518,-1.369229747664269
2017-04-30,-3.98585865796398,-2.3506124562218322
2017-05-31,-5.6356574631689,-3.8582680852393523
2017-06-30,-6.128861212416,-5.250125777849625
2017-07-31,-5.08510395409547,-5.616540876560123
2017-08-31,-3.49515529466806,-4.903040153726509
2017-09-30,-2.29789830343015,-3.6260525173978926
2017-10-31,-1.95113283809006,-2.5813954787294224
2017-11-30,-2.08953095596381,-2.1128540324946723
2017-12-31,-2.24295094317789,-2.094538245743919
2018-01-31,-2.15686688302053,-2.163116260720742
2018-02-28,-2.08913428841752,-2.162984038205312
2018-03-31,-2.50465053231847,-2.2502172345855054
2018-04-30,-3.62834704579514,-2.7407106221770423
2018-05-31,-4.94367039717094,-3.6922226584281823
2018-06-30,-5.86237022368724,-4.811462555551105
2018-07-31,-6.07548242718958,-5.627174349349251
2018-08-31,-5.99391418420368,-5.977255611693498
2018-09-30,-5.56625823263584,-5.878551614676365
2018-10-31,-5.19647596342302,-5.585549460087512
2018-11-30,-4.72504208964678,-5.162592095235212
2018-12-31,-4.14247106883413,-4.687996373967976
2019-01-31,-3.44291735640878,-4.1034768382965625
2019-02-28,-2.76866811297851,-3.4513521794071385
2019-03-31,-2.79402946204114,-3.001871643809475
2019-04-30,-3.97819619158654,-3.180297922202062
2019-05-31,-5.48165707040105,-4.084627574676243
2019-06-30,-6.4158090222473,-5.291887428078295
2019-07-31,-6.71868259576865,-6.205382896138999
2019-08-31,-6.52312297398216,-6.552538197332702
2019-09-30,-6.01794405110323,-6.419916540284678
2019-10-31,-5.3224930006758,-5.954520008587063
2019-11-30,-4.6381584258365,-5.326198492538508
