,Current Account Balance: % of Nominal GDP: Annual: Egypt
Region,Egypt
Subnational,
Frequency,"Annual, ending ""Jun"" of each year"
Unit,%
Source,CEIC Data
Status,Active
Series ID,374731467
SR Code,SR197222097
Trade Code,
Mnemonic,EG.BOPCA.FLRT.A
Function Description,
First Obs. Date,1991
Last Obs. Date,2022
Last Update Time,30/10/2022
Series remarks,
Suggestions,
Mean,-0.5002740478124998
Variance,11.564519678257707
Standard Deviation,3.4006645936136817
Skewness,0.7604201848681877
Kurtosis,0.4173601000714591
Coefficient Variation,-6.797603450515653
Min,-5.96429044
Max,8.44815593
Median,-1.0383864200000001
No. of Obs,32
1991,8.44815593
1992,6.35411088
1993,4.92816778
1994,0.78978302
1995,0.64141688
1996,-0.27412974
1997,0.15120794
1998,-2.92210037
1999,-1.90004678
2000,-1.16498093
2001,-0.0342059
2002,0.69920837
2003,2.34311838
2004,4.33519273
2005,3.2510908
2006,1.6331575
2007,1.74195287
2008,0.54715088
2009,-2.34526294
2010,-1.97750296
2011,-2.58586327
2012,-3.64012549
2013,-2.22072431
2014,-0.91179191
2015,-3.65693016
2016,-5.96429044
2017,-5.82732661
2018,-2.26626626
2019,-3.42699637
2020,-2.91823899
2021,-4.35486262
2022,-3.48083744
