,Current Account Balance: % of Nominal GDP: Annual: Nigeria
Region,Nigeria
Subnational,
Frequency,"Annual, ending ""Dec"" of each year"
Unit,%
Source,CEIC Data
Status,Active
Series ID,375317397
SR Code,SR197222577
Trade Code,
Mnemonic,NG.BOPCA.FLRT.A
Function Description,
First Obs. Date,1981
Last Obs. Date,2022
Last Update Time,21/08/2023
Series remarks,
Suggestions,
Mean,2.5450755195238104
Variance,27.005677698858086
Standard Deviation,5.1966987308153705
Skewness,1.6225508088392298
Kurtosis,3.019736162451762
Coefficient Variation,2.0418642554809865
Min,-3.69274924
Max,20.71533881
Median,1.18682091
No. of Obs,42
1981,-2.87056606
1982,-3.29014426
1983,-1.97669066
1984,0.05667629
1985,1.23888223
1986,0.18675253
1987,-0.12015683
1988,-0.42615167
1989,1.93414245
1990,8.10622644
1991,2.01958621
1992,4.32976064
1993,-1.36970898
1994,-2.64621355
1995,-0.56663931
1996,0.58850476
1997,0.08332964
1998,-0.55073426
1999,0.85182382
2000,10.6943074
2001,3.3469532
2002,1.13475959
2003,3.22467312
2004,12.35811576
2005,20.71533881
2006,15.25413158
2007,9.89622978
2008,8.60580241
2009,4.73664539
2010,3.89829322
2011,3.01628463
2012,4.05338302
2013,3.86134259
2014,0.15738054
2015,-3.12329058
2016,1.25226673
2017,3.60392304
2018,1.72411089
2019,-2.87933208
2020,-3.69274924
2021,-0.73715315
2022,0.21307574
