,Nominal GDP: USD mn: Quarterly: Egypt
Region,Egypt
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,USD mn
Source,CEIC Data
Status,Active
Series ID,210467102
SR Code,SR196805397
Trade Code,
Mnemonic,EG.GDP.NM.USD-MN-Q
Function Description,
First Obs. Date,09/2001
Last Obs. Date,03/2023
Last Update Time,08/10/2023
Series remarks,
Suggestions,
Mean,111758.69531417498
Variance,181643676.49643433
Standard Deviation,13477.524865361382
Skewness,-0.2392979479144712
Kurtosis,-0.4844866608934879
Coefficient Variation,0.12059486581758576
Min,87206.37447961
Max,127960.54736089
Median,110008.034433075
No. of Obs,10
12/2020,111046.70402278
03/2021,103162.41779229
06/2021,101495.01953254
09/2021,127802.21582607
12/2021,127960.54736089
03/2022,116966.72607844
06/2022,105248.58386804
09/2022,127728.99933772
12/2022,108969.36484337
03/2023,87206.37447961
