,Nominal GDP: USD mn: Quarterly: Hungary
Region,Hungary
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,USD mn
Source,CEIC Data
Status,Active
Series ID,212323702
SR Code,SR196805497
Trade Code,
Mnemonic,HU.GDP.NM.USD-MN-Q
Function Description,
First Obs. Date,03/1995
Last Obs. Date,06/2023
Last Update Time,02/10/2023
Series remarks,
Suggestions,
Mean,45580.397489576004
Variance,21218630.36708263
Standard Deviation,4606.368457590277
Skewness,0.39420369301158864
Kurtosis,0.5324589775140831
Coefficient Variation,0.1010602959011871
Min,37959.70907139
Max,54266.77232565
Median,45612.667242225
No. of Obs,10
03/2021,37959.70907139
06/2021,46082.61497101
09/2021,46931.17364039
12/2021,50782.72522385
03/2022,42208.20400077
06/2022,45142.71951344
09/2022,42850.77044031
12/2022,46793.88093042
03/2023,42785.40477853
06/2023,54266.77232565
