,Nominal GDP: USD mn: Quarterly: Nigeria
Region,Nigeria
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,USD mn
Source,CEIC Data
Status,Active
Series ID,356490447
SR Code,SR196805817
Trade Code,
Mnemonic,NG.GDP.NM.USD-MN-Q
Function Description,
First Obs. Date,03/2010
Last Obs. Date,06/2023
Last Update Time,28/08/2023
Series remarks,
Suggestions,
Mean,111852.16109702902
Variance,90900191.68115515
Standard Deviation,9534.159201584329
Skewness,0.5889287069699455
Kurtosis,-0.5492826961903416
Coefficient Variation,0.0852389360033346
Min,98937.95135021
Max,128608.85870363
Median,109580.98171143001
No. of Obs,10
03/2021,105440.00721556
06/2021,98937.95135021
09/2021,110095.22040587
12/2021,119956.13384056
03/2022,109066.74301699
06/2022,108400.96300839
09/2022,124041.79137782
12/2022,128608.85870363
03/2023,111733.78614079
06/2023,102240.15591047
