,Nominal GDP: USD mn: Quarterly: Poland
Region,Poland
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,USD mn
Source,CEIC Data
Status,Active
Series ID,212330302
SR Code,SR196805887
Trade Code,
Mnemonic,PL.GDP.NM.USD-MN-Q
Function Description,
First Obs. Date,03/1995
Last Obs. Date,06/2023
Last Update Time,31/08/2023
Series remarks,
Suggestions,
Mean,174535.51134142902
Variance,137382741.58066082
Standard Deviation,11721.038417335762
Skewness,0.3361632574967012
Kurtosis,-1.301443107706231
Coefficient Variation,0.06715560820403413
Min,157922.41979794
Max,193086.05446582
Median,170282.109469695
No. of Obs,10
03/2021,157922.41979794
06/2021,165126.93252521
09/2021,172075.41630552
12/2021,185114.03001327
03/2022,168488.80263387
06/2022,166433.42115174
09/2022,166672.71052154
12/2022,188184.2954927
03/2023,182251.03050668
06/2023,193086.05446582
