,Nominal GDP: USD mn: Quarterly: Romania
Region,Romania
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,USD mn
Source,CEIC Data
Status,Active
Series ID,414264457
SR Code,SR196805917
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,03/1995
Last Obs. Date,06/2023
Last Update Time,12/10/2023
Series remarks,
Suggestions,
Mean,73620.153620774
Variance,103513124.65232615
Standard Deviation,10174.139995710997
Skewness,-0.4110846021884381
Kurtosis,-0.9398315130247612
Coefficient Variation,0.13819775557816924
Min,56208.65656563
Max,86904.54679728
Median,74586.49081114
No. of Obs,10
03/2021,56208.65656563
06/2021,67121.00555696
09/2021,77641.93603981
12/2021,83424.65622882
03/2022,61281.17746363
06/2022,71531.04558247
09/2022,79571.13830162
12/2022,86904.54679728
03/2023,69495.24759962
06/2023,83022.1260719
