"Date","Balance","Interp.Balance"
1989-12-31,111.04323971,111.04
1990-01-31,NA,-4.86
1990-02-28,NA,-83.76
1990-03-31,-92.43037393,-92.43
1990-04-30,NA,-15.02
1990-05-31,NA,104.51
1990-06-30,214.54256494,214.54
1990-07-31,NA,261.99
1990-08-31,NA,249.54
1990-09-30,186.50789236,186.51
1990-10-31,NA,97.52
1990-11-30,NA,35.46
1990-12-31,69.96365489,69.96
1991-01-31,NA,232.19
1991-02-28,NA,394.91
1991-03-31,402.77968874,402.78
1991-04-30,NA,170.33
1991-05-31,NA,-135.59
1991-06-30,-305.42412699,-305.42
1991-07-31,NA,-179.24
1991-08-31,NA,101.47
1991-09-30,302.81240013,302.81
1991-10-31,NA,265.48
1991-11-30,NA,102.5
1991-12-31,2.99636903,3
1992-01-31,NA,89.92
1992-02-29,NA,275.28
1992-03-31,404.67163151,404.67
1992-04-30,NA,395.86
1992-05-31,NA,301.31
1992-06-30,215.15413343,215.15
1992-07-31,NA,210.08
1992-08-31,NA,231.2
1992-09-30,191.12687542,191.13
1992-10-31,NA,34.18
1992-11-30,NA,-209.22
1992-12-31,-459.03622005,-459.04
1993-01-31,NA,-676.68
1993-02-28,NA,-844.58
1993-03-31,-955.85838321,-955.86
1993-04-30,NA,-1031.73
1993-05-31,NA,-1035.94
1993-06-30,-940.87222978,-940.87
1993-07-31,NA,-756.64
1993-08-31,NA,-607.11
1993-09-30,-671.88635513,-671.89
1993-10-31,NA,-1029.15
1993-11-30,NA,-1477.4
1993-12-31,-1693.86835305,-1693.87
1994-01-31,NA,-1493.72
1994-02-28,NA,-1087.6
1994-03-31,-818.97192892,-818.97
1994-04-30,NA,-839.71
1994-05-31,NA,-1036.38
1994-06-30,-1187.61635461,-1187.62
1994-07-31,NA,-1122.39
1994-08-31,NA,-939.28
1994-09-30,-814.0209415,-814.02
1994-10-31,NA,-870.76
1994-11-30,NA,-1050
1994-12-31,-1232.96074778,-1232.96
1995-01-31,NA,-1338.76
1995-02-28,NA,-1340.53
1995-03-31,-1251.56642167,-1251.57
1995-04-30,NA,-1059.14
1995-05-31,NA,-813.13
1995-06-30,-540.27101663,-540.27
1995-07-31,NA,-295.13
1995-08-31,NA,-81.25
1995-09-30,77.19262538,77.19
1995-10-31,NA,160.56
1995-11-30,NA,145.55
1995-12-31,2.76129451,2.76
1996-01-31,NA,-278.41
1996-02-29,NA,-575.06
1996-03-31,-732.72462519,-732.72
1996-04-30,NA,-677.52
1996-05-31,NA,-486.28
1996-06-30,-276.40131344,-276.4
1996-07-31,NA,-162.51
1996-08-31,NA,-141.76
1996-09-30,-198.0503197,-198.05
1996-10-31,NA,-307.03
1996-11-30,NA,-463.44
1996-12-31,-646.90901125,-646.91
1997-01-31,NA,-848.28
1997-02-28,NA,-997.61
1997-03-31,-1025.38269315,-1025.38
1997-04-30,NA,-897.34
1997-05-31,NA,-680.39
1997-06-30,-455.51049522,-455.51
1997-07-31,NA,-310.48
1997-08-31,NA,-234.34
1997-09-30,-211.484505,-211.48
1997-10-31,NA,-226.78
1997-11-30,NA,-298.8
1997-12-31,-447.35165878,-447.35
1998-01-31,NA,-687.34
1998-02-28,NA,-938.62
1998-03-31,-1094.40078002,-1094.4
1998-04-30,NA,-1125.11
1998-05-31,NA,-1048
1998-06-30,-918.56091692,-918.56
1998-07-31,NA,-798.19
1998-08-31,NA,-713.06
1998-09-30,-697.03640689,-697.04
1998-10-31,NA,-763.74
1998-11-30,NA,-885.49
1998-12-31,-1011.63617724,-1011.64
1999-01-31,NA,-1113.8
1999-02-28,NA,-1181.37
1999-03-31,-1214.00086347,-1214
1999-04-30,NA,-1218.1
1999-05-31,NA,-1181.86
1999-06-30,-1092.30233537,-1092.3
1999-07-31,NA,-956.99
1999-08-31,NA,-819.72
1999-09-30,-752.03109155,-752.03
1999-10-31,NA,-796.91
1999-11-30,NA,-918.41
1999-12-31,-1050.65860833,-1050.66
2000-01-31,NA,-1149.92
2000-02-29,NA,-1189.76
2000-03-31,-1160.95722343,-1160.96
2000-04-30,NA,-1056.99
2000-05-31,NA,-921.09
2000-06-30,-792.58508405,-792.59
2000-07-31,NA,-721.75
2000-08-31,NA,-728.98
2000-09-30,-838.57296698,-838.57
2000-10-31,NA,-1041.39
2000-11-30,NA,-1262.49
2000-12-31,-1381.4478872,-1381.45
2001-01-31,NA,-1334.37
2001-02-28,NA,-1196.62
2001-03-31,-1094.61673146,-1094.62
2001-04-30,NA,-1077.02
2001-05-31,NA,-1076.58
2001-06-30,-973.7272258,-973.73
2001-07-31,NA,-708.98
2001-08-31,NA,-403.23
2001-09-30,-259.73740254,-259.74
2001-10-31,NA,-400.58
2001-11-30,NA,-704.12
2001-12-31,-961.52843459,-961.53
2002-01-31,NA,-1044.25
2002-02-28,NA,-999
2002-03-31,-938.77315765,-938.77
2002-04-30,NA,-921.69
2002-05-31,NA,-917.6
2002-06-30,-860.9438403,-860.94
2002-07-31,NA,-727.11
2002-08-31,NA,-624.75
2002-09-30,-716.80100211,-716.8
2002-10-31,NA,-1077.48
2002-11-30,NA,-1545.27
2002-12-31,-1844.92538586,-1844.93
2003-01-31,NA,-1826.19
2003-02-28,NA,-1640.97
2003-03-31,-1539.88400124,-1539.88
2003-04-30,NA,-1655.9
2003-05-31,NA,-1866.92
2003-06-30,-1981.69548094,-1981.7
2003-07-31,NA,-1860.45
2003-08-31,NA,-1632.63
2003-09-30,-1512.36239106,-1512.36
2003-10-31,NA,-1635.2
2003-11-30,NA,-1871.58
2003-12-31,-2005.95815196,-2005.96
2004-01-31,NA,-1915.82
2004-02-29,NA,-1767.96
2004-03-31,-1800.39280645,-1800.39
2004-04-30,NA,-2164.05
2004-05-31,NA,-2642.4
2004-06-30,-2975.33211962,-2975.33
2004-07-31,NA,-2940.86
2004-08-31,NA,-2666.63
2004-09-30,-2370.53658673,-2370.54
2004-10-31,NA,-2230.47
2004-11-30,NA,-2225.5
2004-12-31,-2299.61662054,-2299.62
2005-01-31,NA,-2407.1
2005-02-28,NA,-2526.97
2005-03-31,-2636.43984134,-2636.44
2005-04-30,NA,-2748.87
2005-05-31,NA,-2840.22
2005-06-30,-2907.61034942,-2907.61
2005-07-31,NA,-2940.45
2005-08-31,NA,-2944.42
2005-09-30,-2924.07181608,-2924.07
2005-10-31,NA,-2884.61
2005-11-30,NA,-2816.19
2005-12-31,-2713.68607798,-2713.69
2006-01-31,NA,-2567.02
2006-02-28,NA,-2402.17
2006-03-31,-2262.5451405,-2262.55
2006-04-30,NA,-2140.03
2006-05-31,NA,-2054.02
2006-06-30,-1994.23080935,-1994.23
2006-07-31,NA,-1961.92
2006-08-31,NA,-1959.7
2006-09-30,-1995.9285158,-1995.93
2006-10-31,NA,-2066.19
2006-11-30,NA,-2139.72
2006-12-31,-2169.56151998,-2169.56
2007-01-31,NA,-2137.57
2007-02-28,NA,-2116.55
2007-03-31,-2189.11053194,-2189.11
2007-04-30,NA,-2415.78
2007-05-31,NA,-2657.81
2007-06-30,-2759.06059561,-2759.06
2007-07-31,NA,-2610.81
2007-08-31,NA,-2365.64
2007-09-30,-2262.42962848,-2262.43
2007-10-31,NA,-2448.72
2007-11-30,NA,-2777.92
2007-12-31,-2999.29545232,-2999.3
2008-01-31,NA,-2954.09
2008-02-29,NA,-2716.79
2008-03-31,-2454.67780323,-2454.68
2008-04-30,NA,-2254.84
2008-05-31,NA,-2187.5
2008-06-30,-2279.83363889,-2279.83
2008-07-31,NA,-2535.87
2008-08-31,NA,-2895.8
2008-09-30,-3251.71792429,-3251.72
2008-10-31,NA,-3490.33
2008-11-30,NA,-3496.65
2008-12-31,-3138.78170246,-3138.78
2009-01-31,NA,-2338.03
2009-02-28,NA,-1371.16
2009-03-31,-649.77621769,-649.78
2009-04-30,NA,-249.96
2009-05-31,NA,-140.2
2009-06-30,-99.59861847,-99.6
2009-07-31,NA,21.08
2009-08-31,NA,162.49
2009-09-30,193.37499062,193.37
2009-10-31,NA,41.18
2009-11-30,NA,-191.85
2009-12-31,-336.03380864,-336.03
2010-01-31,NA,-286.21
2010-02-28,NA,-103.21
2010-03-31,81.17081388,81.17
2010-04-30,NA,227.42
2010-05-31,NA,330.04
2010-06-30,439.34054166,439.34
2010-07-31,NA,563.77
2010-08-31,NA,615.77
2010-09-30,463.22113922,463.22
2010-10-31,NA,62.58
2010-11-30,NA,-404.5
2010-12-31,-642.55209332,-642.55
2011-01-31,NA,-484.22
2011-02-28,NA,-101.5
2011-03-31,204.98121814,204.98
2011-04-30,NA,317.34
2011-05-31,NA,285.94
2011-06-30,265.53050244,265.53
2011-07-31,NA,361.75
2011-08-31,NA,493.2
2011-09-30,516.54025413,516.54
2011-10-31,NA,348.5
2011-11-30,NA,86.31
2011-12-31,-100.49771475,-100.5
2012-01-31,NA,-107.11
2012-02-29,NA,27.71
2012-03-31,202.89476867,202.89
2012-04-30,NA,383.64
2012-05-31,NA,588.69
2012-06-30,893.45011868,893.45
2012-07-31,NA,1283.33
2012-08-31,NA,1557.48
2012-09-30,1409.61419705,1409.61
2012-10-31,NA,721.59
2012-11-30,NA,-122.84
2012-12-31,-516.28647754,-516.29
2013-01-31,NA,-109.58
2013-02-28,NA,703.18
2013-03-31,1270.8562768,1270.86
2013-04-30,NA,1322.66
2013-05-31,NA,1060.09
2013-06-30,903.37514254,903.38
2013-07-31,NA,1155.25
2013-08-31,NA,1595.37
2013-09-30,1835.53911653,1835.54
2013-10-31,NA,1618.75
2013-11-30,NA,1117.91
2013-12-31,656.22700229,656.23
2014-01-31,NA,422.53
2014-02-28,NA,324.99
2014-03-31,192.98487098,192.98
2014-04-30,NA,-101.34
2014-05-31,NA,-344.96
2014-06-30,-283.14946739,-283.15
2014-07-31,NA,229.24
2014-08-31,NA,908.75
2014-09-30,1294.33063606,1294.33
2014-10-31,NA,1104.45
2014-11-30,NA,645
2014-12-31,400.44194747,400.44
2015-01-31,NA,671.36
2015-02-28,NA,1168.82
2015-03-31,1429.19052503,1429.19
2015-04-30,NA,1225.39
2015-05-31,NA,775.53
2015-06-30,429.4005271,429.4
2015-07-31,NA,466.39
2015-08-31,NA,700.29
2015-09-30,821.8851207,821.89
2015-10-31,NA,633.25
2015-11-30,NA,333.02
2015-12-31,245.0401172,245.04
2016-01-31,NA,576.74
2016-02-29,NA,1138.91
2016-03-31,1605.86692741,1605.87
2016-04-30,NA,1834.61
2016-05-31,NA,1878.65
2016-06-30,1906.13454195,1906.13
2016-07-31,NA,2018.71
2016-08-31,NA,2096.69
2016-09-30,1945.00977523,1945.01
2016-10-31,NA,1471.68
2016-11-30,NA,851
2016-12-31,397.90091048,397.9
2017-01-31,NA,293.47
2017-02-28,NA,472.61
2017-03-31,744.97309564,744.97
2017-04-30,NA,1040.93
2017-05-31,NA,1266.25
2017-06-30,1393.61858446,1393.62
2017-07-31,NA,1378.9
