,Current Account Balance: USD mn: Quarterly: Romania
Region,Romania
Subnational,
Frequency,"Quarterly, ending ""Mar, June, Sep, Dec"""
Unit,USD mn
Source,CEIC Data
Status,Active
Series ID,375317617
SR Code,SR197224447
Trade Code,
Mnemonic,RO.BOPCA.FL.USD-MN-Q
Function Description,
First Obs. Date,2002-09
Last Obs. Date,2023-06
Last Update Time,13/10/2023
Series remarks,
Suggestions,
Mean,-2649.338451926667
Variance,4879010.70051414
Standard Deviation,2208.8482746703403
Skewness,-0.8648683108573587
Kurtosis,0.5125415733226597
Coefficient Variation,-0.8337357852727382
Min,-9031.1363415
Max,1701.31990355
Median,-2136.5852062100003
No. of Obs,84
2002-09,-44.56329953
2002-12,-601.94449936
2003-03,-160.34569999
2003-06,-1294.12739957
2003-09,-407.8460992
2003-12,-1683.71459924
2004-03,-601.18570032
2004-06,-1451.78630251
2004-09,-1735.65619752
2004-12,-2601.2424004
2005-03,-1348.86189669
2005-06,-2493.83719723
2005-09,-1930.64659173
2005-12,-2766.57120072
2006-03,-1600.75799618
2006-06,-3566.84758843
2006-09,-3265.44811125
2006-12,-4504.31478707
2007-03,-3790.05081027
2007-06,-6146.71341054
2007-09,-5775.01800148
2007-12,-8186.51028722
2008-03,-5290.22537975
2008-06,-9031.1363415
2008-09,-6295.52432516
2008-12,-4296.12339763
2009-03,-808.44300628
2009-06,-2855.50740542
2009-09,-1698.66129432
2009-12,-2869.69519443
2010-03,-2375.56359659
2010-06,-3368.41908925
2010-09,-1539.9201048
2010-12,-1487.51719653
2011-03,-1085.93980263
2011-06,-4239.82840765
2011-09,-2279.3256062
2011-12,-1801.42779859
2012-03,-1595.07219615
2012-06,-2969.46129855
2012-09,-2301.52249735
2012-12,-1593.76700401
2013-03,-41.94149872
2013-06,214.80550248
2013-09,-845.25679924
2013-12,-1144.81259869
2014-03,299.95949978
2014-06,-1037.40509833
2014-09,-274.27119843
2014-12,439.29990486
2015-03,1701.31990355
2015-06,-1593.74940052
2015-09,-765.43609883
2015-12,-737.17789734
2016-03,-60.71839771
2016-06,-1993.84480622
2016-09,-395.45429771
2016-12,-554.23649952
2017-03,-748.81439526
2017-06,-2935.8917006
2017-09,-1412.33510125
2017-12,-1465.3614967
2018-03,-1201.95519686
2018-06,-3251.76779348
2018-09,-3734.46509634
2018-12,-2930.29159974
2019-03,-1347.4906021
2019-06,-3792.41709224
2019-09,-4089.39889502
2019-12,-2953.62200759
2020-03,-1155.95449926
2020-06,-3265.49329533
2020-09,-4399.68990313
2020-12,-3727.30000856
2021-03,-3295.78479633
2021-06,-5748.75309318
2021-09,-6042.88090325
2021-12,-5527.48430004
2022-03,-5970.71410508
2022-06,-7553.37597041
2022-09,-8789.62929376
2022-12,-4994.32030793
2023-03,-4090.85941613
2023-06,-5588.38829244
