"Date","Balance","Interp.Balance"
1993-12-31,-21.5,-21.5
1994-01-31,NA,-135.43
1994-02-28,NA,-207.3
1994-03-31,-201.1,-201.1
1994-04-30,NA,-92.6
1994-05-31,NA,78.72
1994-06-30,272.7,272.7
1994-07-31,NA,430.1
1994-08-31,NA,524.03
1994-09-30,513.1,513.1
1994-10-31,NA,384.23
1994-11-30,NA,173.86
1994-12-31,-45.6,-45.6
1995-01-31,NA,-231.15
1995-02-28,NA,-331.37
1995-03-31,-315.1,-315.1
1995-04-30,NA,-164.52
1995-05-31,NA,44.85
1995-06-30,233.5,233.5
1995-07-31,NA,315.37
1995-08-31,NA,285.78
1995-09-30,147.3,147.3
1995-10-31,NA,-67.69
1995-11-30,NA,-281.73
1995-12-31,-376.4,-376.4
1996-01-31,NA,-288.64
1996-02-29,NA,-100.06
1996-03-31,55,55
1996-04-30,NA,107.43
1996-05-31,NA,69.19
1996-06-30,-11.3,-11.3
1996-07-31,NA,-86.87
1996-08-31,NA,-148.13
1996-09-30,-185.3,-185.3
1996-10-31,NA,-192.03
1996-11-30,NA,-163.78
1996-12-31,-98,-98
1997-01-31,NA,7.42
1997-02-28,NA,121.29
1997-03-31,201,201
1997-04-30,NA,238.95
1997-05-31,NA,233.79
1997-06-30,202,202
1997-07-31,NA,154.74
1997-08-31,NA,68.18
1997-09-30,-85.6,-85.6
1997-10-31,NA,-308.32
1997-11-30,NA,-549.21
1997-12-31,-711.3,-711.3
1998-01-31,NA,-751.35
1998-02-28,NA,-729.9
1998-03-31,-739.7,-739.7
1998-04-30,NA,-837.54
1998-05-31,NA,-941.12
1998-06-30,-942.4,-942.4
1998-07-31,NA,-770.61
1998-08-31,NA,-509.45
1998-09-30,-304.1,-304.1
1998-10-31,NA,-259.59
1998-11-30,NA,-335.22
1998-12-31,-455.1,-455.1
1999-01-31,NA,-562.02
1999-02-28,NA,-620.99
1999-03-31,-614.4,-614.4
1999-04-30,NA,-534.22
1999-05-31,NA,-428.49
1999-06-30,-350.2,-350.2
1999-07-31,NA,-343.77
1999-08-31,NA,-372
1999-09-30,-378,-378
1999-10-31,NA,-327.07
1999-11-30,NA,-262.47
1999-12-31,-253.5,-253.5
2000-01-31,NA,-339.09
2000-02-29,NA,-448.21
2000-03-31,-482,-482
2000-04-30,NA,-382.08
2000-05-31,NA,-210.95
2000-06-30,-49.7,-49.7
2000-07-31,NA,20.54
2000-08-31,NA,7
2000-09-30,-71.5,-71.5
2000-10-31,NA,-181.06
2000-11-30,NA,-270.52
2000-12-31,-271,-271
2001-01-31,NA,-144.75
2001-02-28,NA,36.93
2001-03-31,164.4,164.4
2001-04-30,NA,200.42
2001-05-31,NA,171.44
2001-06-30,144.7,144.7
2001-07-31,NA,166.51
2001-08-31,NA,191.89
2001-09-30,148.7,148.7
2001-10-31,NA,4.1
2001-11-30,NA,-158.89
2001-12-31,-208.8,-208.8
2002-01-31,NA,-67.69
2002-02-28,NA,173.06
2002-03-31,359.2,359.2
2002-04-30,NA,434.2
2002-05-31,NA,401.43
2002-06-30,315.1,315.1
2002-07-31,NA,227.58
2002-08-31,NA,151.08
2002-09-30,99,99
2002-10-31,NA,80.36
2002-11-30,NA,97.21
2002-12-31,150.3,150.3
2003-01-31,NA,244.13
2003-02-28,NA,374.85
2003-03-31,521.6,521.6
2003-04-30,NA,712.87
2003-05-31,NA,925.39
2003-06-30,1172.2,1172.2
2003-07-31,NA,1418.35
2003-08-31,NA,1583.34
2003-09-30,1538.9,1538.9
2003-10-31,NA,1234.26
2003-11-30,NA,803.15
2003-12-31,474.4,474.4
2004-01-31,NA,377.76
2004-02-29,NA,450.98
2004-03-31,554.4,554.4
2004-04-30,NA,614.05
2004-05-31,NA,679.22
2004-06-30,850.3,850.3
2004-07-31,NA,1157.82
2004-08-31,NA,1449.36
2004-09-30,1482,1482
2004-10-31,NA,1135.47
2004-11-30,NA,636.17
2004-12-31,349.7,349.7
2005-01-31,NA,485.87
2005-02-28,NA,820.42
2005-03-31,995,995
2005-04-30,NA,820.68
2005-05-31,NA,439.87
2005-06-30,83.9,83.9
2005-07-31,NA,-33.99
2005-08-31,NA,38.94
2005-09-30,207.6,207.6
2005-10-31,NA,382.13
2005-11-30,NA,567.05
2005-12-31,762.1,762.1
2006-01-31,NA,966.14
2006-02-28,NA,1053.8
2006-03-31,911.9,911.9
2006-04-30,NA,462.44
2006-05-31,NA,4.37
2006-06-30,-129.7,-129.7
2006-07-31,NA,285.28
2006-08-31,NA,939.5
2006-09-30,1332.7,1332.7
2006-10-31,NA,1145.94
2006-11-30,NA,674.45
2006-12-31,399.4,399.4
2007-01-31,NA,612.19
2007-02-28,NA,1005.48
2007-03-31,1113.9,1113.9
2007-04-30,NA,672.85
2007-05-31,NA,-24.53
2007-06-30,-577,-577
2007-07-31,NA,-637.42
2007-08-31,NA,-387.35
2007-09-30,-131.4,-131.4
2007-10-31,NA,-96.88
2007-11-30,NA,-171.39
2007-12-31,-162.3,-162.3
2008-01-31,NA,66
2008-02-29,NA,411.17
2008-03-31,693.1,693.1
2008-04-30,NA,821.79
2008-05-31,NA,754.47
2008-06-30,488.9,488.9
2008-07-31,NA,61.15
2008-08-31,NA,-465.48
2008-09-30,-966,-966
2008-10-31,NA,-1330.91
2008-11-30,NA,-1539.13
2008-12-31,-1546.6,-1546.6
2009-01-31,NA,-1354.25
2009-02-28,NA,-1087.72
2009-03-31,-917.8,-917.8
2009-04-30,NA,-905.51
2009-05-31,NA,-977.16
2009-06-30,-993.9,-993.9
2009-07-31,NA,-859.54
2009-08-31,NA,-647.76
2009-09-30,-493.4,-493.4
2009-10-31,NA,-493.61
2009-11-30,NA,-615.98
2009-12-31,-789.6,-789.6
2010-01-31,NA,-972.62
2010-02-28,NA,-1154.36
2010-03-31,-1323.2,-1323.2
2010-04-30,NA,-1511.67
2010-05-31,NA,-1655.19
2010-06-30,-1711.4,-1711.4
2010-07-31,NA,-1644.14
2010-08-31,NA,-1488.7
2010-09-30,-1305.6,-1305.6
2010-10-31,NA,-1161.53
2010-11-30,NA,-1119.73
2010-12-31,-1255.4,-1255.4
2011-01-31,NA,-1599.66
2011-02-28,NA,-1960.71
2011-03-31,-2098,-2098
2011-04-30,NA,-1908.53
2011-05-31,NA,-1591.53
2011-06-30,-1428.8,-1428.8
2011-07-31,NA,-1628.99
2011-08-31,NA,-2018.11
2011-09-30,-2299.1,-2299.1
2011-10-31,NA,-2274.51
2011-11-30,NA,-2112.08
2011-12-31,-2075,-2075
2012-01-31,NA,-2342.39
2012-02-29,NA,-2778.05
2012-03-31,-3140.1,-3140.1
2012-04-30,NA,-3295.66
2012-05-31,NA,-3146.36
2012-06-30,-2632.1,-2632.1
2012-07-31,NA,-1821.34
2012-08-31,NA,-1054.56
2012-09-30,-854.3,-854.3
2012-10-31,NA,-1478.09
2012-11-30,NA,-2425.82
2012-12-31,-2914.5,-2914.5
2013-01-31,NA,-2477.91
2013-02-28,NA,-1590.33
2013-03-31,-1030.8,-1030.8
2013-04-30,NA,-1136.41
2013-05-31,NA,-1536.34
2013-06-30,-1590.8,-1590.8
2013-07-31,NA,-883.57
2013-08-31,NA,96.26
2013-09-30,531.6,531.6
2013-10-31,NA,-63.39
2013-11-30,NA,-1116.23
2013-12-31,-1696.8,-1696.8
2014-01-31,NA,-1245.49
2014-02-28,NA,-317.54
2014-03-31,190.6,190.6
2014-04-30,NA,-169.68
2014-05-31,NA,-1036.08
2014-06-30,-1805.1,-1805.1
2014-07-31,NA,-1960.81
2014-08-31,NA,-1742.12
2014-09-30,-1556.8,-1556.8
2014-10-31,NA,-1719.45
2014-11-30,NA,-2178.8
2014-12-31,-2751.9,-2751.9
2015-01-31,NA,-3329.37
2015-02-28,NA,-3791.82
2015-03-31,-4036.6,-4036.6
2015-04-30,NA,-4070.23
2015-05-31,NA,-3951.8
2015-06-30,-3797.3,-3797.3
2015-07-31,NA,-3722.46
2015-08-31,NA,-3777.74
2015-09-30,-4009.8,-4009.8
2015-10-31,NA,-4415.87
2015-11-30,NA,-4921.23
2015-12-31,-5367.5,-5367.5
2016-01-31,NA,-5671.38
2016-02-29,NA,-5773.17
2016-03-31,-5663.2,-5663.2
2016-04-30,NA,-5341.82
2016-05-31,NA,-4990.46
2016-06-30,-4790.6,-4790.6
2016-07-31,NA,-4886.7
2016-08-31,NA,-5145.13
2016-09-30,-5350.5,-5350.5
2016-10-31,NA,-5332.92
2016-11-30,NA,-5086.53
2016-12-31,-4663.6,-4663.6
2017-01-31,NA,-4080.66
2017-02-28,NA,-3421.52
2017-03-31,-2826.7,-2826.7
2017-04-30,NA,-2239.41
2017-05-31,NA,-1803.52
2017-06-30,-1553.2,-1553.2
2017-07-31,NA,-1534.52
2017-08-31,NA,-1646
2017-09-30,-1754.2,-1754.2
2017-10-31,NA,-1763.38
2017-11-30,NA,-1739.18
2017-12-31,-1784.8,-1784.8
2018-01-31,NA,-1952.49
2018-02-28,NA,-2066.75
2018-03-31,-1930.5,-1930.5
2018-04-30,NA,-1406.65
2018-05-31,NA,-809.14
2018-06-30,-492.8,-492.8
2018-07-31,NA,-742.39
2018-08-31,NA,-1363.49
2018-09-30,-2012,-2012
2018-10-31,NA,-2428.3
2018-11-30,NA,-2773.68
2018-12-31,-3246.6,-3246.6
2019-01-31,NA,-3982.6
2019-02-28,NA,-4573.45
2019-03-31,-4547.6,-4547.6
2019-04-30,NA,-3618.62
2019-05-31,NA,-2274.62
2019-06-30,-1087.7,-1087.7
2019-07-31,NA,-629.96
2019-08-31,NA,-796.34
2019-09-30,-1382.2,-1382.2
2019-10-31,NA,-2124.9
2019-11-30,NA,-2824.36
2019-12-31,-3192,-3192
2020-01-31,NA,-3107.31
2020-02-29,NA,-2836.68
2020-03-31,-2764.7,-2764.7
2020-04-30,NA,-3117.24
2020-05-31,NA,-3601.16
2020-06-30,-3827.8,-3827.8
2020-07-31,NA,-3522.13
2020-08-31,NA,-3003.75
2020-09-30,-2784.9,-2784.9
2020-10-31,NA,-3200.52
2020-11-30,NA,-4033.57
2020-12-31,-4849.3,-4849.3
2021-01-31,NA,-5387.64
2021-02-28,NA,-5628.48
2021-03-31,-5667.4,-5667.4
2021-04-30,NA,-5585.39
2021-05-31,NA,-5406.42
2021-06-30,-5134.8,-5134.8
2021-07-31,NA,-4804.61
2021-08-31,NA,-4415.47
2021-09-30,-4000.7,-4000.7
2021-10-31,NA,-3630.73
2021-11-30,NA,-3484.26
2021-12-31,-3801.1,-3801.1
2022-01-31,NA,-4682.76
2022-02-28,NA,-5573.56
2022-03-31,-5791.7,-5791.7
2022-04-30,NA,-4994.98
2022-05-31,NA,-3785.35
2022-06-30,-2957.8,-2957.8
2022-07-31,NA,-3107.41
2022-08-31,NA,-3536.38
2022-09-30,-3192.3,-3192.3
2022-10-31,NA,-1515.04
2022-11-30,NA,541.75
2022-12-31,1410.1,1410.1
2023-01-31,NA,186.95
2023-02-28,NA,-2031.74
2023-03-31,-3485.3,-3485.3
2023-04-30,NA,-3334.98
2023-05-31,NA,-1779.24
