"Date","Balance","Interp.Balance"
2008-03-31,9432.16236364,9432.16
2008-04-30,NA,9548.75
2008-05-31,NA,9809.26
2008-06-30,10383.67145622,10383.67
2008-07-31,NA,11196.41
2008-08-31,NA,11468.55
2008-09-30,10109.89160108,10109.89
2008-10-31,NA,6698.85
2008-11-30,NA,2426.91
2008-12-31,-586.42529415,-586.43
2009-01-31,NA,-1178.57
2009-02-28,NA,-54.72
2009-03-31,1272.65916595,1272.66
2009-04-30,NA,2087.92
2009-05-31,NA,2283.97
2009-06-30,2190.24228546,2190.24
2009-07-31,NA,2119.54
2009-08-31,NA,2404.66
2009-09-30,3401.27366953,3401.27
2009-10-31,NA,5136.91
2009-11-30,NA,6803.02
2009-12-31,7156.93371241,7156.93
2010-01-31,NA,5525.67
2010-02-28,NA,3097.82
2010-03-31,1648.69388433,1648.69
2010-04-30,NA,1920.87
2010-05-31,NA,3169.03
2010-06-30,4061.99404885,4061.99
2010-07-31,NA,3603.31
2010-08-31,NA,2564.53
2010-09-30,2232.44627252,2232.45
2010-10-31,NA,3409.06
2010-11-30,NA,5327.04
2010-12-31,6636.55631585,6636.56
2011-01-31,NA,6565.65
2011-02-28,NA,5846.59
2011-03-31,5649.53646585,5649.54
2011-04-30,NA,6566.4
2011-05-31,NA,7446.39
2011-06-30,6705.71999915,6705.72
2011-07-31,NA,3459.01
2011-08-31,NA,-740.24
2011-09-30,-3282.08177163,-3282.08
2011-10-31,NA,-2464.15
2011-11-30,NA,529.2
2011-12-31,3584.44250821,3584.44
2012-01-31,NA,5293.97
2012-02-29,NA,5461.41
2012-03-31,4495.20881299,4495.21
2012-04-30,NA,2713.63
2012-05-31,NA,1281.18
2012-06-30,1333.62214667,1333.62
2012-07-31,NA,3549.21
2012-08-31,NA,6653.34
2012-09-30,8582.59995664,8582.6
2012-10-31,NA,8008.05
2012-11-30,NA,6039.74
2012-12-31,4520.78655498,4520.79
2013-01-31,NA,4632.24
2013-02-28,NA,5730.3
2013-03-31,6554.4623385,6554.46
2013-04-30,NA,6456.81
2013-05-31,NA,5634.15
2013-06-30,4594.95351939,4594.95
2013-07-31,NA,3865.35
2013-08-31,NA,3532.14
2013-09-30,3674.3414541,3674.34
2013-10-31,NA,4239.46
2013-11-30,NA,4934.75
2013-12-31,5324.42925156,5324.43
2014-01-31,NA,5115.77
2014-02-28,NA,4317.65
2014-03-31,3188.7057895,3188.71
2014-04-30,NA,1668.07
2014-05-31,NA,367.87
2014-06-30,-263.4856719,-263.49
2014-07-31,NA,108.84
2014-08-31,NA,880.06
2014-09-30,1159.5987308,1159.6
2014-10-31,NA,341.17
2014-11-30,NA,-1317.91
2014-12-31,-3178.27797119,-3178.28
2015-01-31,NA,-4833.15
2015-02-28,NA,-5777.11
2015-03-31,-5669.82837222,-5669.83
2015-04-30,NA,-4372.5
2015-05-31,NA,-2813.4
2015-06-30,-2059.63333706,-2059.63
2015-07-31,NA,-2902.44
2015-08-31,NA,-4548.64
2015-09-30,-5695.26737236,-5695.27
2015-10-31,NA,-5397.34
2015-11-30,NA,-3938.49
2015-12-31,-2013.91345233,-2013.91
2016-01-31,NA,-89.23
2016-02-29,NA,1301.67
2016-03-31,1728.86275694,1728.86
2016-04-30,NA,1046.04
2016-05-31,NA,-150.81
2016-06-30,-1130.32934227,-1130.33
2016-07-31,NA,-1226.73
2016-08-31,NA,-563.7
2016-09-30,560.26754509,560.27
2016-10-31,NA,1802.57
2016-11-30,NA,3016.16
2016-12-31,3918.41651634,3918.42
2017-01-31,NA,4400.82
2017-02-28,NA,4432.32
2017-03-31,4114.46403444,4114.46
2017-04-30,NA,3460.95
2017-05-31,NA,2740.02
2017-06-30,2162.93022334,2162.93
2017-07-31,NA,1972.26
2017-08-31,NA,2185.73
2017-09-30,2799.28437894,2799.28
2017-10-31,NA,3676.69
2017-11-30,NA,4427.26
2017-12-31,4487.08658258,4487.09
2018-01-31,NA,3590.36
2018-02-28,NA,2511.19
2018-03-31,2260.47660453,2260.48
2018-04-30,NA,3340.22
2018-05-31,NA,4756.96
2018-06-30,5185.93745219,5185.94
2018-07-31,NA,3697.51
2018-08-31,NA,1211.22
2018-09-30,-691.3892277,-691.39
2018-10-31,NA,-913.08
