"Date","Balance","Interp.Balance"
2002-09-30,-44.56329953,-44.56
2002-10-31,NA,-356.27
2002-11-30,NA,-578.93
2002-12-31,-601.94449936,-601.94
2003-01-31,NA,-390.37
2003-02-28,NA,-156.66
2003-03-31,-160.34569999,-160.35
2003-04-30,NA,-548.77
2003-05-31,NA,-1043.1
2003-06-30,-1294.12739957,-1294.13
2003-07-31,NA,-1049.06
2003-08-31,NA,-599.39
2003-09-30,-407.8460992,-407.85
2003-10-31,NA,-759.01
2003-11-30,NA,-1351.7
2003-12-31,-1683.71459924,-1683.71
2004-01-31,NA,-1451.67
2004-02-29,NA,-935.78
2004-03-31,-601.18570032,-601.19
2004-04-30,NA,-705.98
2004-05-31,NA,-1083.22
2004-06-30,-1451.78630251,-1451.79
2004-07-31,NA,-1576.73
2004-08-31,NA,-1598.07
2004-09-30,-1735.65619752,-1735.66
2004-10-31,NA,-2109.26
2004-11-30,NA,-2510.78
2004-12-31,-2601.2424004,-2601.24
2005-01-31,NA,-2194.54
2005-02-28,NA,-1619.37
2005-03-31,-1348.86189669,-1348.86
2005-04-30,NA,-1606.25
2005-05-31,NA,-2124.08
2005-06-30,-2493.83719723,-2493.84
2005-07-31,NA,-2397.17
2005-08-31,NA,-2076.73
2005-09-30,-1930.64659173,-1930.65
2005-10-31,NA,-2206.8
2005-11-30,NA,-2632.52
2005-12-31,-2766.57120072,-2766.57
2006-01-31,NA,-2354.18
2006-02-28,NA,-1782.43
2006-03-31,-1600.75799618,-1600.76
2006-04-30,NA,-2102.61
2006-05-31,NA,-2925.31
2006-06-30,-3566.84758843,-3566.85
2006-07-31,NA,-3611.77
2006-08-31,NA,-3355.1
2006-09-30,-3265.44811125,-3265.45
2006-10-31,NA,-3645.8
2006-11-30,NA,-4218.54
2006-12-31,-4504.31478707,-4504.31
2007-01-31,NA,-4237.59
2007-02-28,NA,-3814.81
2007-03-31,-3790.05081027,-3790.05
2007-04-30,NA,-4493.12
2007-05-31,NA,-5471.67
2007-06-30,-6146.71341054,-6146.71
2007-07-31,NA,-6067.72
2007-08-31,NA,-5704.97
2007-09-30,-5775.01800148,-5775.02
2007-10-31,NA,-6681.17
2007-11-30,NA,-7813.89
2007-12-31,-8186.51028722,-8186.51
2008-01-31,NA,-7245.36
2008-02-29,NA,-5859.65
2008-03-31,-5290.22537975,-5290.23
2008-04-30,NA,-6238.38
2008-05-31,NA,-7867.51
2008-06-30,-9031.1363415,-9031.14
2008-07-31,NA,-8779.15
2008-08-31,NA,-7582.39
2008-09-30,-6295.52432516,-6295.52
2008-10-31,NA,-5570.56
2008-11-30,NA,-5063.06
2008-12-31,-4296.12339763,-4296.12
2009-01-31,NA,-2908.15
2009-02-28,NA,-1480.04
2009-03-31,-808.44300628,-808.44
2009-04-30,NA,-1196.82
