"Date","Balance","Interp.Balance"
2000-03-31,-2965,-2965
2000-04-30,NA,-3030.73
2000-05-31,NA,-3011.4
2000-06-30,-2820,-2820
2000-07-31,NA,-2439.64
2000-08-31,NA,-2041.22
2000-09-30,-1896,-1896
2000-10-31,NA,-2144.46
2000-11-30,NA,-2532.22
2000-12-31,-2671,-2671
2001-01-31,NA,-2329.93
2001-02-28,NA,-1805.32
2001-03-31,-1545,-1545
2001-04-30,NA,-1750.32
2001-05-31,NA,-2133.63
2001-06-30,-2256,-2256
2001-07-31,NA,-1812.05
2001-08-31,NA,-1093.38
2001-09-30,-602,-602
2001-10-31,NA,-680.03
2001-11-30,NA,-1117.74
2001-12-31,-1543,-1543
2002-01-31,NA,-1715.67
2002-02-28,NA,-1704.38
2002-03-31,-1682,-1682
2002-04-30,NA,-1751.25
2002-05-31,NA,-1820.72
2002-06-30,-1750,-1750
2002-07-31,NA,-1458.68
2002-08-31,NA,-1069.85
2002-09-30,-797,-797
2002-10-31,NA,-790.73
2002-11-30,NA,-995.86
2002-12-31,-1296,-1296
2003-01-31,NA,-1609.96
2003-02-28,NA,-1851.07
2003-03-31,-1947,-1947
2003-04-30,NA,-1878.25
2003-05-31,NA,-1690.51
2003-06-30,-1451,-1451
2003-07-31,NA,-1238.75
2003-08-31,NA,-1051.1
2003-09-30,-893,-893
2003-10-31,NA,-788.42
2003-11-30,NA,-849.65
2003-12-31,-1211,-1211
2004-01-31,NA,-1968.48
2004-02-29,NA,-2901.75
2004-03-31,-3680,-3680
2004-04-30,NA,-4197.15
2004-05-31,NA,-4394.76
2004-06-30,-4346,-4346
2004-07-31,NA,-4125.07
2004-08-31,NA,-3849.85
2004-09-30,-3677,-3677
2004-10-31,NA,-3691.49
2004-11-30,NA,-3729.24
2004-12-31,-3568,-3568
2005-01-31,NA,-3060.07
2005-02-28,NA,-2433.85
2005-03-31,-2033,-2033
2005-04-30,NA,-1976.58
2005-05-31,NA,-2182.67
2005-06-30,-2451,-2451
2005-07-31,NA,-2603.87
2005-08-31,NA,-2675.08
2005-09-30,-2732,-2732
2005-10-31,NA,-2822.73
2005-11-30,NA,-2913.23
2005-12-31,-2937,-2937
2006-01-31,NA,-2867.8
2006-02-28,NA,-2816.17
2006-03-31,-2908,-2908
2006-04-30,NA,-3234.74
2006-05-31,NA,-3609.81
2006-06-30,-3824,-3824
2006-07-31,NA,-3729.91
2006-08-31,NA,-3570.8
2006-09-30,-3704,-3704
2006-10-31,NA,-4322.53
2006-11-30,NA,-5139.48
2006-12-31,-5654,-5654
2007-01-31,NA,-5608.87
2007-02-28,NA,-5381.89
2007-03-31,-5502,-5502
2007-04-30,NA,-6313.92
2007-05-31,NA,-7310.94
2007-06-30,-7873,-7873
2007-07-31,NA,-7536.8
2007-08-31,NA,-6822.3
2007-09-30,-6544,-6544
2007-10-31,NA,-7202.79
2007-11-30,NA,-8262.2
2007-12-31,-8826,-8826
2008-01-31,NA,-8368.11
2008-02-29,NA,-7474.6
2008-03-31,-7058,-7058
2008-04-30,NA,-7654.8
2008-05-31,NA,-8816.81
2008-06-30,-9905,-9905
2008-07-31,NA,-10334.87
2008-08-31,NA,-10334.65
2008-09-30,-10278,-10278
2008-10-31,NA,-10378.81
2008-11-30,NA,-10141.19
2008-12-31,-8923,-8923
2009-01-31,NA,-6310.63
2009-02-28,NA,-3390.75
2009-03-31,-1671,-1671
2009-04-30,NA,-1664.09
2009-05-31,NA,-2862.92
2009-06-30,-4235,-4235
2009-07-31,NA,-4872.66
2009-08-31,NA,-5017.83
2009-09-30,-5119,-5119
2009-10-31,NA,-5513.74
2009-11-30,NA,-6076.37
2009-12-31,-6502,-6502
2010-01-31,NA,-6593.8
2010-02-28,NA,-6322.83
2010-03-31,-5803,-5803
2010-04-30,NA,-5023.75
2010-05-31,NA,-4385.83
2010-06-30,-4241,-4241
2010-07-31,NA,-4844.48
2010-08-31,NA,-5928.28
2010-09-30,-7019,-7019
2010-10-31,NA,-7701.91
2010-11-30,NA,-7887.14
2010-12-31,-7496,-7496
2011-01-31,NA,-6555.35
2011-02-28,NA,-5609.78
2011-03-31,-5304,-5304
2011-04-30,NA,-5960.21
2011-05-31,NA,-7154.16
2011-06-30,-8304,-8304
2011-07-31,NA,-8817.62
2011-08-31,NA,-8682.93
2011-09-30,-7954,-7954
2011-10-31,NA,-6840.1
2011-11-30,NA,-5770.3
2011-12-31,-5379,-5379
2012-01-31,NA,-5984.31
2012-02-29,NA,-6987.92
2012-03-31,-7515,-7515
2012-04-30,NA,-7077.3
2012-05-31,NA,-6100.68
2012-06-30,-5217,-5217
2012-07-31,NA,-4963.54
2012-08-31,NA,-5022.46
2012-09-30,-4892,-4892
2012-10-31,NA,-4243.28
2012-11-30,NA,-3319.65
2012-12-31,-2612,-2612
2013-01-31,NA,-2410.57
2013-02-28,NA,-2641.53
2013-03-31,-3042,-3042
2013-04-30,NA,-3512.73
2013-05-31,NA,-3863.81
2013-06-30,-3990,-3990
2013-07-31,NA,-3784.95
2013-08-31,NA,-3239.37
2013-09-30,-2387,-2387
2013-10-31,NA,-1380.16
2013-11-30,NA,-607.01
2013-12-31,-637,-637
2014-01-31,NA,-1797.61
2014-02-28,NA,-3575.06
2014-03-31,-5090,-5090
2014-04-30,NA,-6135.08
2014-05-31,NA,-6555.74
2014-06-30,-6560,-6560
2014-07-31,NA,-6269.75
2014-08-31,NA,-5578.07
2014-09-30,-4343,-4343
2014-10-31,NA,-2625.68
2014-11-30,NA,-881.88
2014-12-31,89,89
2015-01-31,NA,-115.11
2015-02-28,NA,-1025.73
2015-03-31,-1817,-1817
2015-04-30,NA,-2158.68
2015-05-31,NA,-2218.53
2015-06-30,-2463,-2463
2015-07-31,NA,-3127.62
2015-08-31,NA,-3697.35
2015-09-30,-3365,-3365
2015-10-31,NA,-1756.33
2015-11-30,NA,311.02
2015-12-31,1483,1483
2016-01-31,NA,1005.87
2016-02-29,NA,-273.87
2016-03-31,-1002,-1002
2016-04-30,NA,-463.3
2016-05-31,NA,438.97
2016-06-30,378,378
2016-07-31,NA,-1471.05
2016-08-31,NA,-3954.55
2016-09-30,-5163,-5163
2016-10-31,NA,-3906.19
2016-11-30,NA,-1242.64
2016-12-31,975,975
2017-01-31,NA,1577.66
2017-02-28,NA,866.8
2017-03-31,-214,-214
2017-04-30,NA,-1266.09
2017-05-31,NA,-2006.7
